TIPO,year,month,accumulate
MERGE_GPM,2000,6,26.98
MERGE_GPM,2000,7,41.67
MERGE_GPM,2000,8,93.49
MERGE_GPM,2000,9,154.99
MERGE_GPM,2000,10,95.55
MERGE_GPM,2000,11,154.76
MERGE_GPM,2000,12,234.61
MERGE_GPM,2001,1,161.12
MERGE_GPM,2001,2,246.71
MERGE_GPM,2001,3,165.71
MERGE_GPM,2001,4,52.28
MERGE_GPM,2001,5,145.43
MERGE_GPM,2001,6,101.43
MERGE_GPM,2001,7,68.5
MERGE_GPM,2001,8,67.22
MERGE_GPM,2001,9,79.69
MERGE_GPM,2001,10,173.24
MERGE_GPM,2001,11,108.11
MERGE_GPM,2001,12,288.6
MERGE_GPM,2002,1,263.39
MERGE_GPM,2002,2,128.42
MERGE_GPM,2002,3,113.49
MERGE_GPM,2002,4,25.88
MERGE_GPM,2002,5,113.63
MERGE_GPM,2002,6,5.05
MERGE_GPM,2002,7,39.88
MERGE_GPM,2002,8,93.53
MERGE_GPM,2002,9,100.8
MERGE_GPM,2002,10,110.82
MERGE_GPM,2002,11,191.3
MERGE_GPM,2002,12,124.59
MERGE_GPM,2003,1,275.97
MERGE_GPM,2003,2,152.58
MERGE_GPM,2003,3,185.7
MERGE_GPM,2003,4,125.23
MERGE_GPM,2003,5,48.67
MERGE_GPM,2003,6,74.46
MERGE_GPM,2003,7,68.32
MERGE_GPM,2003,8,31.1
MERGE_GPM,2003,9,66.2
MERGE_GPM,2003,10,108.04
MERGE_GPM,2003,11,172.29
MERGE_GPM,2003,12,164.95
MERGE_GPM,2004,1,355.89
MERGE_GPM,2004,2,127.64
MERGE_GPM,2004,3,121.91
MERGE_GPM,2004,4,115.8
MERGE_GPM,2004,5,134.14
MERGE_GPM,2004,6,88.32
MERGE_GPM,2004,7,94.04
MERGE_GPM,2004,8,1.21
MERGE_GPM,2004,9,26.34
MERGE_GPM,2004,10,169.15
MERGE_GPM,2004,11,119.3
MERGE_GPM,2004,12,166.63
MERGE_GPM,2005,1,280.91
MERGE_GPM,2005,2,38.91
MERGE_GPM,2005,3,40.21
MERGE_GPM,2005,4,37.38
MERGE_GPM,2005,5,137.39
MERGE_GPM,2005,6,32.81
MERGE_GPM,2005,7,62.96
MERGE_GPM,2005,8,26.68
MERGE_GPM,2005,9,190.19
MERGE_GPM,2005,10,194.04
MERGE_GPM,2005,11,69.83
MERGE_GPM,2005,12,108.98
MERGE_GPM,2006,1,219.97
MERGE_GPM,2006,2,169.61
MERGE_GPM,2006,3,179.47
MERGE_GPM,2006,4,61.32
MERGE_GPM,2006,5,15.53
MERGE_GPM,2006,6,22.62
MERGE_GPM,2006,7,71.76
MERGE_GPM,2006,8,13.3
MERGE_GPM,2006,9,81.7
MERGE_GPM,2006,10,61.8
MERGE_GPM,2006,11,67.53
