,year_month,accumulate_paranapanema,accumulate_capivara,accumulate_chavantes,accumulate_jurumirim,Paranapanema_total
0,200006,43.53,35.09,57.85,26.98,163.45
1,200007,59.1,59.97,62.34,41.67,223.07999999999998
2,200008,126.6,77.26,108.46,93.49,405.81
3,200009,202.69,148.17,166.21,154.99,672.0600000000001
4,200010,74.5,79.59,103.55,95.55,353.19
5,200011,134.57,201.5,154.33,154.76,645.16
6,200012,167.77,171.52,171.4,234.61,745.3000000000001
7,200101,150.26,148.53,104.83,161.12,564.74
8,200102,195.44,266.56,217.76,246.71,926.47
9,200103,126.08,129.65,121.67,165.71,543.11
10,200104,61.15,57.71,75.42,52.28,246.56
11,200105,145.0,139.55,157.83,145.43,587.81
12,200106,85.39,82.61,108.64,101.43,378.07
13,200107,34.57,51.57,76.54,68.5,231.18
14,200108,80.09,58.99,78.12,67.22,284.42
15,200109,65.73,77.0,79.16,79.69,301.58000000000004
16,200110,64.67,129.8,159.98,173.24,527.69
17,200111,134.0,112.8,118.04,108.11,472.95000000000005
18,200112,180.72,197.0,218.39,288.6,884.71
19,200201,238.79,238.66,258.47,263.39,999.3100000000001
20,200202,124.42,131.26,117.56,128.42,501.65999999999997
21,200203,73.51,109.96,145.37,113.49,442.33000000000004
22,200204,17.19,10.31,15.51,25.88,68.89
23,200205,263.61,183.23,161.0,113.63,721.47
24,200206,8.04,8.21,6.95,5.05,28.25
25,200207,76.2,54.0,55.68,39.88,225.76
26,200208,46.54,86.78,92.17,93.53,319.02
27,200209,98.44,96.97,114.24,100.8,410.45
28,200210,50.44,49.62,85.16,110.82,296.03999999999996
29,200211,174.8,208.35,211.66,191.3,786.1099999999999
30,200212,119.16,180.77,146.5,124.59,571.02
31,200301,347.01,266.74,260.03,275.97,1149.75
32,200302,257.98,168.35,154.17,152.58,733.08
33,200303,110.36,100.35,130.1,185.7,526.51
34,200304,104.87,123.19,117.36,125.23,470.65000000000003
35,200305,33.65,41.24,51.51,48.67,175.07
36,200306,52.1,48.37,64.32,74.46,239.25
37,200307,59.47,61.71,102.57,68.32,292.07
38,200308,66.32,39.23,29.15,31.1,165.79999999999998
39,200309,95.95,75.54,92.99,66.2,330.68
40,200310,88.02,102.47,128.63,108.04,427.16
41,200311,99.2,142.79,174.65,172.29,588.93
42,200312,170.6,143.68,176.37,164.95,655.5999999999999
43,200401,120.34,185.16,248.05,355.89,909.4399999999999
44,200402,86.39,119.83,110.6,127.64,444.46
45,200403,125.53,97.16,109.03,121.91,453.63
46,200404,79.21,119.93,115.73,115.8,430.67
47,200405,260.57,168.01,189.89,134.14,752.61
48,200406,98.9,63.3,84.3,88.32,334.82
49,200407,87.18,90.18,113.32,94.04,384.72
50,200408,0.75,0.59,1.51,1.21,4.06
51,200409,40.76,27.66,40.91,26.34,135.67
52,200410,258.25,204.02,187.83,169.15,819.25
53,200411,204.91,132.07,123.98,119.3,580.26
54,200412,99.67,142.89,130.12,166.63,539.31
55,200501,347.1,355.29,360.89,280.91,1344.1900000000003
56,200502,19.59,36.01,21.26,38.91,115.77
57,200503,59.94,94.23,73.17,40.21,267.55
58,200504,81.0,58.98,58.53,37.38,235.89
59,200505,72.96,96.86,110.56,137.39,417.77
60,200506,53.99,49.94,34.83,32.81,171.57
61,200507,33.51,32.01,60.57,62.96,189.05
62,200508,21.87,21.75,38.41,26.68,108.71000000000001
63,200509,210.96,145.38,195.49,190.19,742.02
64,200510,230.87,195.21,228.38,194.04,848.5
65,200511,78.58,77.88,84.78,69.83,311.07
66,200512,65.93,149.64,103.27,108.98,427.82
67,200601,157.62,149.7,190.25,219.97,717.54
68,200602,217.82,201.06,161.14,169.61,749.63
69,200603,175.24,96.81,94.66,179.47,546.1800000000001
70,200604,57.24,57.63,44.76,61.32,220.95
71,200605,22.67,14.89,6.53,15.53,59.620000000000005
72,200606,19.49,24.81,22.07,22.62,88.99000000000001
73,200607,37.55,26.11,48.57,71.76,183.99
74,200608,22.52,15.51,19.95,13.3,71.28
75,200609,176.66,104.98,120.93,81.7,484.27
76,200610,101.85,98.94,105.46,61.8,368.05
77,200611,78.3,70.61,58.83,67.53,275.27
78,200612,213.65,185.27,110.73,84.02,593.6700000000001
79,200701,255.42,246.53,209.8,167.56,879.31
80,200702,152.59,124.72,150.82,121.55,549.68
81,200703,107.89,125.0,102.67,86.07,421.63
82,200704,59.78,73.78,68.84,44.06,246.46
83,200705,41.57,41.91,64.89,37.32,185.69
84,200706,5.51,9.53,11.61,13.72,40.37
85,200707,180.57,155.12,126.0,78.74,540.43
86,200708,4.39,3.52,9.49,4.79,22.189999999999998
87,200709,8.96,15.21,24.22,14.85,63.24
88,200710,61.01,62.47,65.37,35.35,224.2
89,200711,192.96,154.84,147.35,96.83,591.98
90,200712,118.53,160.54,181.57,174.01,634.65
91,200801,164.13,170.61,181.04,186.05,701.8299999999999
92,200802,117.33,133.32,110.05,140.48,501.17999999999995
93,200803,100.82,102.48,67.15,105.0,375.45000000000005
94,200804,81.9,84.88,88.22,98.48,353.48
95,200805,47.07,57.67,52.01,57.51,214.26
96,200806,25.32,42.53,53.86,40.39,162.1
97,200807,6.7,5.6,23.36,12.87,48.529999999999994
98,200808,96.56,92.07,134.31,76.58,399.52
99,200809,44.65,47.11,53.23,47.39,192.38
100,200810,94.86,92.13,113.37,95.13,395.49
101,200811,103.17,80.84,90.79,80.91,355.71000000000004
102,200812,37.95,73.84,77.1,87.55,276.44
103,200901,276.04,360.73,332.7,289.28,1258.75
104,200902,171.68,206.29,165.44,192.96,736.3700000000001
105,200903,61.62,71.14,45.83,104.48,283.07
106,200904,19.34,31.84,20.18,78.94,150.3
107,200905,52.22,74.56,94.82,102.38,323.98
108,200906,57.72,74.88,88.58,80.74,301.92
109,200907,146.58,199.44,288.65,265.63,900.3
110,200908,131.74,100.55,54.34,55.53,342.15999999999997
111,200909,173.02,161.31,210.61,240.2,785.1400000000001
112,200910,310.11,244.72,222.58,174.26,951.6700000000001
113,200911,204.59,209.0,210.69,198.78,823.06
114,200912,230.61,197.16,165.35,219.71,812.83
115,201001,255.15,254.84,327.59,333.99,1171.57
116,201002,178.25,117.78,104.05,136.57,536.65
117,201003,118.81,119.38,174.31,163.12,575.62
118,201004,51.69,71.66,93.29,101.78,318.41999999999996
119,201005,56.48,39.67,35.92,34.89,166.95999999999998
120,201006,13.12,25.44,27.99,30.95,97.5
121,201007,33.93,46.34,66.9,73.85,221.02
122,201008,12.94,15.45,39.76,27.93,96.08000000000001
123,201009,183.92,101.33,70.71,50.27,406.22999999999996
124,201010,166.49,137.73,159.69,123.11,587.02
125,201011,96.43,60.22,45.98,61.98,264.61
126,201012,243.01,239.38,215.78,274.91,973.0799999999999
127,201101,155.04,207.34,235.3,197.56,795.24
128,201102,254.59,141.93,170.35,190.61,757.48
129,201103,132.9,94.75,86.46,77.64,391.75
130,201104,104.26,92.49,83.96,55.08,335.78999999999996
131,201105,12.13,10.8,7.67,9.65,40.25
132,201106,46.88,63.61,84.81,76.22,271.52
133,201107,43.85,37.17,48.12,33.47,162.61
134,201108,22.34,34.31,84.22,63.77,204.64000000000001
135,201109,15.4,5.91,6.4,6.13,33.84
136,201110,156.13,250.97,295.45,229.55,932.0999999999999
137,201111,114.31,89.28,113.12,76.54,393.25000000000006
138,201112,56.78,69.24,89.28,52.28,267.58000000000004
139,201201,171.22,218.24,189.13,210.46,789.0500000000001
140,201202,85.62,97.31,122.84,166.8,472.57
141,201203,86.04,54.8,77.05,68.87,286.76
142,201204,139.41,102.41,105.51,73.97,421.29999999999995
143,201205,104.39,69.55,40.02,27.44,241.4
144,201206,314.39,254.29,256.06,240.07,1064.81
145,201207,24.51,43.59,73.41,78.95,220.45999999999998
146,201208,2.24,2.99,9.32,4.73,19.28
147,201209,83.4,87.99,64.4,52.22,288.01
148,201210,43.6,84.81,105.05,94.93,328.39
149,201211,113.17,75.62,73.63,79.02,341.44
150,201212,208.78,179.03,175.94,197.95,761.7
151,201301,130.56,150.32,124.22,138.65,543.75
152,201302,235.82,206.6,242.3,184.99,869.71
153,201303,147.9,178.86,146.48,162.88,636.12
