,year_month,accumulate_riopaco,accumulate_marias,accumulate_sobradinho,accumulate_xingo,SaoFrancisco_total
0,200006,128.82,0.79,1.36,26.52,157.49
1,200007,85.86,9.6,2.51,17.28,115.25
2,200008,64.68,19.9,7.91,16.18,108.67000000000002
3,200009,64.61,73.28,31.88,15.0,184.76999999999998
4,200010,4.61,38.03,25.04,2.89,70.57000000000001
5,200011,24.95,250.76,230.24,68.94,574.89
6,200012,86.36,240.12,270.5,86.47,683.45
7,200101,9.27,150.54,67.12,17.96,244.89000000000001
8,200102,7.62,61.46,51.9,47.39,168.37
9,200103,47.43,146.69,131.78,136.18,462.08
10,200104,38.89,14.9,21.41,15.15,90.35000000000001
11,200105,12.21,44.97,24.54,13.32,95.03999999999999
12,200106,164.65,0.08,3.17,40.7,208.60000000000002
13,200107,125.13,5.83,1.65,23.08,155.69
14,200108,83.34,25.92,9.15,17.53,135.94
15,200109,14.24,49.93,14.39,10.38,88.94
16,200110,89.68,104.34,99.8,32.96,326.78
17,200111,4.61,256.52,173.19,4.32,438.64
18,200112,42.71,299.73,159.93,54.2,556.57
19,200201,189.94,200.35,221.54,216.42,828.2499999999999
20,200202,75.95,258.59,144.8,51.32,530.66
21,200203,60.65,84.96,67.99,54.56,268.15999999999997
22,200204,31.74,13.16,24.96,27.54,97.4
23,200205,128.55,21.59,15.16,28.94,194.24
24,200206,122.03,0.1,2.3,26.83,151.26
25,200207,82.61,10.43,2.98,30.91,126.92999999999999
26,200208,60.96,2.73,3.62,12.67,79.98
27,200209,14.98,60.87,48.38,5.84,130.07
28,200210,9.95,40.01,15.08,1.97,67.00999999999999
29,200211,9.71,137.31,124.06,11.13,282.21000000000004
30,200212,38.38,256.9,230.7,87.6,613.58
31,200301,22.63,320.88,204.22,89.83,637.5600000000001
32,200302,48.91,82.3,59.74,40.35,231.29999999999998
33,200303,59.87,147.15,144.57,95.72,447.31000000000006
34,200304,37.08,35.18,40.77,37.93,150.96
35,200305,59.52,32.65,24.17,39.17,155.51
