TIPO,year,month,accumulate
MERGE_GPM,2000,6,128.82
MERGE_GPM,2000,7,85.86
MERGE_GPM,2000,8,64.68
MERGE_GPM,2000,9,64.61
MERGE_GPM,2000,10,4.61
MERGE_GPM,2000,11,24.95
MERGE_GPM,2000,12,86.36
MERGE_GPM,2001,1,9.27
MERGE_GPM,2001,2,7.62
MERGE_GPM,2001,3,47.43
MERGE_GPM,2001,4,38.89
MERGE_GPM,2001,5,12.21
MERGE_GPM,2001,6,164.65
MERGE_GPM,2001,7,125.13
MERGE_GPM,2001,8,83.34
MERGE_GPM,2001,9,14.24
MERGE_GPM,2001,10,89.68
MERGE_GPM,2001,11,4.61
MERGE_GPM,2001,12,42.71
MERGE_GPM,2002,1,189.94
MERGE_GPM,2002,2,75.95
MERGE_GPM,2002,3,60.65
MERGE_GPM,2002,4,31.74
MERGE_GPM,2002,5,128.55
MERGE_GPM,2002,6,122.03
MERGE_GPM,2002,7,82.61
MERGE_GPM,2002,8,60.96
MERGE_GPM,2002,9,14.98
MERGE_GPM,2002,10,9.95
MERGE_GPM,2002,11,9.71
MERGE_GPM,2002,12,38.38
MERGE_GPM,2003,1,22.63
MERGE_GPM,2003,2,48.91
MERGE_GPM,2003,3,59.87
MERGE_GPM,2003,4,37.08
MERGE_GPM,2003,5,59.52
MERGE_GPM,2003,6,61.25
MERGE_GPM,2003,7,69.6
MERGE_GPM,2003,8,31.1
MERGE_GPM,2003,9,32.27
MERGE_GPM,2003,10,38.35
MERGE_GPM,2003,11,53.29
MERGE_GPM,2003,12,6.42
MERGE_GPM,2004,1,317.94
MERGE_GPM,2004,2,71.48
MERGE_GPM,2004,3,35.86
MERGE_GPM,2004,4,51.9
MERGE_GPM,2004,5,78.17
MERGE_GPM,2004,6,147.61
MERGE_GPM,2004,7,74.81
MERGE_GPM,2004,8,77.39
MERGE_GPM,2004,9,62.18
MERGE_GPM,2004,10,1.95
MERGE_GPM,2004,11,20.15
MERGE_GPM,2004,12,3.13
MERGE_GPM,2005,1,31.31
MERGE_GPM,2005,2,32.62
MERGE_GPM,2005,3,82.55
MERGE_GPM,2005,4,74.34
MERGE_GPM,2005,5,221.01
MERGE_GPM,2005,6,144.91
MERGE_GPM,2005,7,90.69
MERGE_GPM,2005,8,90.42
MERGE_GPM,2005,9,22.82
MERGE_GPM,2005,10,2.62
MERGE_GPM,2005,11,0.76
MERGE_GPM,2005,12,52.38
MERGE_GPM,2006,1,5.19
MERGE_GPM,2006,2,9.76
MERGE_GPM,2006,3,71.34
MERGE_GPM,2006,4,58.04
MERGE_GPM,2006,5,118.04
MERGE_GPM,2006,6,152.47
MERGE_GPM,2006,7,119.94
MERGE_GPM,2006,8,42.94
MERGE_GPM,2006,9,78.21
MERGE_GPM,2006,10,37.65
MERGE_GPM,2006,11,17.94
MERGE_GPM,2006,12,8.14
MERGE_GPM,2007,1,14.14
MERGE_GPM,2007,2,132.78
MERGE_GPM,2007,3,115.93
MERGE_GPM,2007,4,68.15
MERGE_GPM,2007,5,142.36
MERGE_GPM,2007,6,77.44
MERGE_GPM,2007,7,92.52
MERGE_GPM,2007,8,104.54
MERGE_GPM,2007,9,46.66
MERGE_GPM,2007,10,9.38
MERGE_GPM,2007,11,2.9
MERGE_GPM,2007,12,11.22
MERGE_GPM,2008,1,11.59
MERGE_GPM,2008,2,47.81
MERGE_GPM,2008,3,157.66
MERGE_GPM,2008,4,66.58
MERGE_GPM,2008,5,182.74
MERGE_GPM,2008,6,76.38
MERGE_GPM,2008,7,112.06
MERGE_GPM,2008,8,59.04
MERGE_GPM,2008,9,14.91
MERGE_GPM,2008,10,10.42
MERGE_GPM,2008,11,2.24
MERGE_GPM,2008,12,18.58
MERGE_GPM,2009,1,9.28
MERGE_GPM,2009,2,56.24
MERGE_GPM,2009,3,40.91
MERGE_GPM,2009,4,118.93
MERGE_GPM,2009,5,333.68
MERGE_GPM,2009,6,142.24
MERGE_GPM,2009,7,82.32
MERGE_GPM,2009,8,145.59
MERGE_GPM,2009,9,27.27
MERGE_GPM,2009,10,14.92
MERGE_GPM,2009,11,2.84
MERGE_GPM,2009,12,40.87
MERGE_GPM,2010,1,57.3
MERGE_GPM,2010,2,60.51
MERGE_GPM,2010,3,54.91
MERGE_GPM,2010,4,177.23
MERGE_GPM,2010,5,60.64
MERGE_GPM,2010,6,219.38
MERGE_GPM,2010,7,126.51
MERGE_GPM,2010,8,53.58
MERGE_GPM,2010,9,65.45
MERGE_GPM,2010,10,45.46
MERGE_GPM,2010,11,7.19
MERGE_GPM,2010,12,22.11
MERGE_GPM,2011,1,50.67
MERGE_GPM,2011,2,55.95
MERGE_GPM,2011,3,70.69
MERGE_GPM,2011,4,126.3
MERGE_GPM,2011,5,173.51
MERGE_GPM,2011,6,53.86
MERGE_GPM,2011,7,117.18
MERGE_GPM,2011,8,53.87
MERGE_GPM,2011,9,75.17
MERGE_GPM,2011,10,28.74
MERGE_GPM,2011,11,56.31
MERGE_GPM,2011,12,2.35
MERGE_GPM,2012,1,15.71
MERGE_GPM,2012,2,44.59
MERGE_GPM,2012,3,21.17
MERGE_GPM,2012,4,15.28
MERGE_GPM,2012,5,54.71
MERGE_GPM,2012,6,50.74
MERGE_GPM,2012,7,94.26
MERGE_GPM,2012,8,84.66
MERGE_GPM,2012,9,13.48
MERGE_GPM,2012,10,17.28
MERGE_GPM,2012,11,2.45
MERGE_GPM,2012,12,2.75
MERGE_GPM,2013,1,41.51
MERGE_GPM,2013,2,7.18
MERGE_GPM,2013,3,13.48
MERGE_GPM,2013,4,92.7
MERGE_GPM,2013,5,93.97
MERGE_GPM,2013,6,70.39
MERGE_GPM,2013,7,139.06
MERGE_GPM,2013,8,73.9
MERGE_GPM,2013,9,22.34
MERGE_GPM,2013,10,104.89
MERGE_GPM,2013,11,21.04
MERGE_GPM,2013,12,53.59
MERGE_GPM,2014,1,14.4
MERGE_GPM,2014,2,31.66
MERGE_GPM,2014,3,33.69
MERGE_GPM,2014,4,94.33
MERGE_GPM,2014,5,129.8
MERGE_GPM,2014,6,71.04
MERGE_GPM,2014,7,84.97
MERGE_GPM,2014,8,73.91
MERGE_GPM,2014,9,55
MERGE_GPM,2014,10,101.68
MERGE_GPM,2014,11,38.86
MERGE_GPM,2014,12,16.16
MERGE_GPM,2015,1,10.23
MERGE_GPM,2015,2,39.13
MERGE_GPM,2015,3,25.93
MERGE_GPM,2015,4,30.84
MERGE_GPM,2015,5,61.89
MERGE_GPM,2015,6,75.05
MERGE_GPM,2015,7,105.52
MERGE_GPM,2015,8,28.1
MERGE_GPM,2015,9,20.15
MERGE_GPM,2015,10,13.6
MERGE_GPM,2015,11,0.94
MERGE_GPM,2015,12,19.05
MERGE_GPM,2016,1,127.67
MERGE_GPM,2016,2,34.69
MERGE_GPM,2016,3,35.4
MERGE_GPM,2016,4,37.68
MERGE_GPM,2016,5,76.42
MERGE_GPM,2016,6,68.37
MERGE_GPM,2016,7,46.27
MERGE_GPM,2016,8,17.89
MERGE_GPM,2016,9,12.09
MERGE_GPM,2016,10,10.95
MERGE_GPM,2016,11,2.87
MERGE_GPM,2016,12,9.95
MERGE_GPM,2017,1,3.4
MERGE_GPM,2017,2,8.5
MERGE_GPM,2017,3,14.6
MERGE_GPM,2017,4,51.13
MERGE_GPM,2017,5,202.56
MERGE_GPM,2017,6,113.99
MERGE_GPM,2017,7,145.59
MERGE_GPM,2017,8,57.57
MERGE_GPM,2017,9,78.03
MERGE_GPM,2017,10,12.19
MERGE_GPM,2017,11,1.59
MERGE_GPM,2017,12,12.07
MERGE_GPM,2018,1,25.93
MERGE_GPM,2018,2,66.19
MERGE_GPM,2018,3,41.85
MERGE_GPM,2018,4,57.21
MERGE_GPM,2018,5,64.41
MERGE_GPM,2018,6,45.82
MERGE_GPM,2018,7,43.33
MERGE_GPM,2018,8,11.24
MERGE_GPM,2018,9,16.86
MERGE_GPM,2018,10,3.95
MERGE_GPM,2018,11,28.17
MERGE_GPM,2018,12,56.99
MERGE_GPM,2019,1,17.42
MERGE_GPM,2019,2,42.37
MERGE_GPM,2019,3,94.46
MERGE_GPM,2019,4,42.27
MERGE_GPM,2019,5,38
MERGE_GPM,2019,6,92.04
MERGE_GPM,2019,7,162.78
MERGE_GPM,2019,8,69.5
MERGE_GPM,2019,9,19.38
MERGE_GPM,2019,10,4.76
MERGE_GPM,2019,11,1.36
MERGE_GPM,2019,12,5.12
MERGE_GPM,2020,1,46.73
MERGE_GPM,2020,2,45.74
MERGE_GPM,2020,3,191.45
MERGE_GPM,2020,4,101.94
MERGE_GPM,2020,5,120.54
MERGE_GPM,2020,6,127.56
MERGE_GPM,2020,7,56.26
MERGE_GPM,2020,8,41.95
MERGE_GPM,2020,9,22.1
MERGE_GPM,2020,10,14.5
MERGE_GPM,2020,11,42.86
MERGE_GPM,2020,12,7.85
