TIPO,year,month,accumulate
MERGE_GPM,2000,6,1.36
MERGE_GPM,2000,7,2.51
MERGE_GPM,2000,8,7.91
MERGE_GPM,2000,9,31.88
MERGE_GPM,2000,10,25.04
MERGE_GPM,2000,11,230.24
MERGE_GPM,2000,12,270.5
MERGE_GPM,2001,1,67.12
MERGE_GPM,2001,2,51.9
MERGE_GPM,2001,3,131.78
MERGE_GPM,2001,4,21.41
MERGE_GPM,2001,5,24.54
MERGE_GPM,2001,6,3.17
MERGE_GPM,2001,7,1.65
MERGE_GPM,2001,8,9.15
MERGE_GPM,2001,9,14.39
MERGE_GPM,2001,10,99.8
MERGE_GPM,2001,11,173.19
MERGE_GPM,2001,12,159.93
MERGE_GPM,2002,1,221.54
MERGE_GPM,2002,2,144.8
MERGE_GPM,2002,3,67.99
MERGE_GPM,2002,4,24.96
MERGE_GPM,2002,5,15.16
MERGE_GPM,2002,6,2.3
MERGE_GPM,2002,7,2.98
MERGE_GPM,2002,8,3.62
MERGE_GPM,2002,9,48.38
MERGE_GPM,2002,10,15.08
MERGE_GPM,2002,11,124.06
MERGE_GPM,2002,12,230.7
MERGE_GPM,2003,1,204.22
MERGE_GPM,2003,2,59.74
MERGE_GPM,2003,3,144.57
MERGE_GPM,2003,4,40.77
MERGE_GPM,2003,5,24.17
MERGE_GPM,2003,6,1.23
MERGE_GPM,2003,7,1.14
MERGE_GPM,2003,8,14.19
MERGE_GPM,2003,9,5.46
MERGE_GPM,2003,10,26.6
MERGE_GPM,2003,11,111.14
MERGE_GPM,2003,12,116.73
MERGE_GPM,2004,1,338.9
MERGE_GPM,2004,2,216.43
MERGE_GPM,2004,3,178.43
MERGE_GPM,2004,4,66.06
MERGE_GPM,2004,5,4.15
MERGE_GPM,2004,6,3.08
MERGE_GPM,2004,7,5.02
MERGE_GPM,2004,8,0.28
MERGE_GPM,2004,9,0.95
MERGE_GPM,2004,10,58.17
MERGE_GPM,2004,11,98.79
MERGE_GPM,2004,12,138.99
MERGE_GPM,2005,1,194.76
MERGE_GPM,2005,2,159.21
MERGE_GPM,2005,3,154.15
MERGE_GPM,2005,4,32.34
MERGE_GPM,2005,5,30.69
MERGE_GPM,2005,6,3.42
MERGE_GPM,2005,7,1.14
MERGE_GPM,2005,8,2.12
MERGE_GPM,2005,9,21.23
MERGE_GPM,2005,10,12.06
MERGE_GPM,2005,11,218
MERGE_GPM,2005,12,215.2
MERGE_GPM,2006,1,41.8
MERGE_GPM,2006,2,106.16
MERGE_GPM,2006,3,206.51
MERGE_GPM,2006,4,114.14
MERGE_GPM,2006,5,18.99
MERGE_GPM,2006,6,3.18
MERGE_GPM,2006,7,0.7
MERGE_GPM,2006,8,4.39
MERGE_GPM,2006,9,25.65
MERGE_GPM,2006,10,118.5
MERGE_GPM,2006,11,155.86
MERGE_GPM,2006,12,159.74
MERGE_GPM,2007,1,118.16
MERGE_GPM,2007,2,230.71
MERGE_GPM,2007,3,25.07
MERGE_GPM,2007,4,37.32
MERGE_GPM,2007,5,5.79
MERGE_GPM,2007,6,2.81
MERGE_GPM,2007,7,2.37
MERGE_GPM,2007,8,1.68
MERGE_GPM,2007,9,4.38
MERGE_GPM,2007,10,14.36
MERGE_GPM,2007,11,99.43
MERGE_GPM,2007,12,134
MERGE_GPM,2008,1,107.78
MERGE_GPM,2008,2,121.72
MERGE_GPM,2008,3,153.56
MERGE_GPM,2008,4,106.58
MERGE_GPM,2008,5,4.53
MERGE_GPM,2008,6,1.3
MERGE_GPM,2008,7,0.56
MERGE_GPM,2008,8,0.84
MERGE_GPM,2008,9,21.34
MERGE_GPM,2008,10,6.15
MERGE_GPM,2008,11,157.4
MERGE_GPM,2008,12,203.68
MERGE_GPM,2009,1,192.32
MERGE_GPM,2009,2,104.09
MERGE_GPM,2009,3,132.26
MERGE_GPM,2009,4,160.58
MERGE_GPM,2009,5,37.29
MERGE_GPM,2009,6,19.41
MERGE_GPM,2009,7,2.33
MERGE_GPM,2009,8,12.19
MERGE_GPM,2009,9,27.71
MERGE_GPM,2009,10,192.8
MERGE_GPM,2009,11,62.44
MERGE_GPM,2009,12,195.02
MERGE_GPM,2010,1,80.21
MERGE_GPM,2010,2,51.66
MERGE_GPM,2010,3,189.48
MERGE_GPM,2010,4,80.1
MERGE_GPM,2010,5,18.05
MERGE_GPM,2010,6,3.27
MERGE_GPM,2010,7,2.95
MERGE_GPM,2010,8,0.86
MERGE_GPM,2010,9,5.76
MERGE_GPM,2010,10,97.67
MERGE_GPM,2010,11,195.76
MERGE_GPM,2010,12,187.85
MERGE_GPM,2011,1,149.4
MERGE_GPM,2011,2,85.19
MERGE_GPM,2011,3,230.01
MERGE_GPM,2011,4,40.3
MERGE_GPM,2011,5,5.72
MERGE_GPM,2011,6,1.35
MERGE_GPM,2011,7,1.24
MERGE_GPM,2011,8,1.31
MERGE_GPM,2011,9,0.96
MERGE_GPM,2011,10,104.97
MERGE_GPM,2011,11,159.62
MERGE_GPM,2011,12,195.39
MERGE_GPM,2012,1,131.34
MERGE_GPM,2012,2,72.62
MERGE_GPM,2012,3,81.74
MERGE_GPM,2012,4,18.35
MERGE_GPM,2012,5,20.59
MERGE_GPM,2012,6,4.65
MERGE_GPM,2012,7,3.27
MERGE_GPM,2012,8,2.13
MERGE_GPM,2012,9,4.45
MERGE_GPM,2012,10,14.7
MERGE_GPM,2012,11,266.38
MERGE_GPM,2012,12,55.58
MERGE_GPM,2013,1,223.43
MERGE_GPM,2013,2,31.17
MERGE_GPM,2013,3,123.37
MERGE_GPM,2013,4,86.37
MERGE_GPM,2013,5,10.48
MERGE_GPM,2013,6,9.37
MERGE_GPM,2013,7,2.01
MERGE_GPM,2013,8,1.91
MERGE_GPM,2013,9,10.81
MERGE_GPM,2013,10,58.01
MERGE_GPM,2013,11,132.12
MERGE_GPM,2013,12,315.53
MERGE_GPM,2014,1,42.56
MERGE_GPM,2014,2,63
MERGE_GPM,2014,3,118.3
MERGE_GPM,2014,4,73.24
MERGE_GPM,2014,5,10.95
MERGE_GPM,2014,6,4.18
MERGE_GPM,2014,7,5.32
MERGE_GPM,2014,8,1.1
MERGE_GPM,2014,9,2.37
MERGE_GPM,2014,10,38.76
MERGE_GPM,2014,11,164.41
MERGE_GPM,2014,12,160.02
MERGE_GPM,2015,1,38.96
MERGE_GPM,2015,2,129.75
MERGE_GPM,2015,3,111.2
MERGE_GPM,2015,4,96.73
MERGE_GPM,2015,5,28.06
MERGE_GPM,2015,6,7.24
MERGE_GPM,2015,7,2.57
MERGE_GPM,2015,8,5.21
MERGE_GPM,2015,9,8.4
MERGE_GPM,2015,10,28.1
MERGE_GPM,2015,11,114.44
MERGE_GPM,2015,12,51.23
MERGE_GPM,2016,1,416.26
MERGE_GPM,2016,2,26.67
MERGE_GPM,2016,3,54.99
MERGE_GPM,2016,4,4.95
MERGE_GPM,2016,5,3.35
MERGE_GPM,2016,6,3.3
MERGE_GPM,2016,7,0.71
MERGE_GPM,2016,8,2.83
MERGE_GPM,2016,9,18.77
MERGE_GPM,2016,10,53.62
MERGE_GPM,2016,11,165.06
MERGE_GPM,2016,12,104.03
MERGE_GPM,2017,1,60.11
MERGE_GPM,2017,2,132.33
MERGE_GPM,2017,3,94.16
MERGE_GPM,2017,4,38.6
MERGE_GPM,2017,5,21.19
MERGE_GPM,2017,6,1.46
MERGE_GPM,2017,7,1.56
MERGE_GPM,2017,8,0.39
MERGE_GPM,2017,9,0.89
MERGE_GPM,2017,10,14.84
MERGE_GPM,2017,11,133.98
MERGE_GPM,2017,12,161.67
MERGE_GPM,2018,1,79.1
MERGE_GPM,2018,2,198.73
MERGE_GPM,2018,3,130.33
MERGE_GPM,2018,4,43.41
MERGE_GPM,2018,5,7.34
MERGE_GPM,2018,6,2.26
MERGE_GPM,2018,7,0.91
MERGE_GPM,2018,8,7.07
MERGE_GPM,2018,9,7.93
MERGE_GPM,2018,10,78.37
MERGE_GPM,2018,11,166.75
MERGE_GPM,2018,12,179.55
MERGE_GPM,2019,1,35.26
MERGE_GPM,2019,2,128.29
MERGE_GPM,2019,3,164.18
MERGE_GPM,2019,4,78.66
MERGE_GPM,2019,5,25.91
MERGE_GPM,2019,6,1.78
MERGE_GPM,2019,7,2.34
MERGE_GPM,2019,8,3.59
MERGE_GPM,2019,9,5.86
MERGE_GPM,2019,10,41.52
MERGE_GPM,2019,11,86.75
MERGE_GPM,2019,12,92.49
MERGE_GPM,2020,1,264.59
MERGE_GPM,2020,2,131.5
MERGE_GPM,2020,3,244.65
MERGE_GPM,2020,4,92
MERGE_GPM,2020,5,27.39
MERGE_GPM,2020,6,3.73
MERGE_GPM,2020,7,2.71
MERGE_GPM,2020,8,2.43
MERGE_GPM,2020,9,3.23
MERGE_GPM,2020,10,65.97
MERGE_GPM,2020,11,129.4
MERGE_GPM,2020,12,92.23
