TIPO,year,month,accumulate
MERGE_GPM,2000,6,26.52
MERGE_GPM,2000,7,17.28
MERGE_GPM,2000,8,16.18
MERGE_GPM,2000,9,15
MERGE_GPM,2000,10,2.89
MERGE_GPM,2000,11,68.94
MERGE_GPM,2000,12,86.47
MERGE_GPM,2001,1,17.96
MERGE_GPM,2001,2,47.39
MERGE_GPM,2001,3,136.18
MERGE_GPM,2001,4,15.15
MERGE_GPM,2001,5,13.32
MERGE_GPM,2001,6,40.7
MERGE_GPM,2001,7,23.08
MERGE_GPM,2001,8,17.53
MERGE_GPM,2001,9,10.38
MERGE_GPM,2001,10,32.96
MERGE_GPM,2001,11,4.32
MERGE_GPM,2001,12,54.2
MERGE_GPM,2002,1,216.42
MERGE_GPM,2002,2,51.32
MERGE_GPM,2002,3,54.56
MERGE_GPM,2002,4,27.54
MERGE_GPM,2002,5,28.94
MERGE_GPM,2002,6,26.83
MERGE_GPM,2002,7,30.91
MERGE_GPM,2002,8,12.67
MERGE_GPM,2002,9,5.84
MERGE_GPM,2002,10,1.97
MERGE_GPM,2002,11,11.13
MERGE_GPM,2002,12,87.6
MERGE_GPM,2003,1,89.83
MERGE_GPM,2003,2,40.35
MERGE_GPM,2003,3,95.72
MERGE_GPM,2003,4,37.93
MERGE_GPM,2003,5,39.17
MERGE_GPM,2003,6,8.41
MERGE_GPM,2003,7,16.51
MERGE_GPM,2003,8,5.91
MERGE_GPM,2003,9,8.98
MERGE_GPM,2003,10,6.11
MERGE_GPM,2003,11,39.04
MERGE_GPM,2003,12,15.89
MERGE_GPM,2004,1,331.98
MERGE_GPM,2004,2,128.12
MERGE_GPM,2004,3,42.34
MERGE_GPM,2004,4,33.44
MERGE_GPM,2004,5,55.49
MERGE_GPM,2004,6,28.16
MERGE_GPM,2004,7,17.61
MERGE_GPM,2004,8,13.03
MERGE_GPM,2004,9,5.31
MERGE_GPM,2004,10,6.84
MERGE_GPM,2004,11,34.57
MERGE_GPM,2004,12,9.74
MERGE_GPM,2005,1,77.97
MERGE_GPM,2005,2,85.84
MERGE_GPM,2005,3,138.05
MERGE_GPM,2005,4,45.19
MERGE_GPM,2005,5,63.46
MERGE_GPM,2005,6,56.14
MERGE_GPM,2005,7,18.31
MERGE_GPM,2005,8,15.38
MERGE_GPM,2005,9,2.69
MERGE_GPM,2005,10,0.28
MERGE_GPM,2005,11,42.91
MERGE_GPM,2005,12,63.27
MERGE_GPM,2006,1,1.25
MERGE_GPM,2006,2,76.26
MERGE_GPM,2006,3,141.19
MERGE_GPM,2006,4,103.76
MERGE_GPM,2006,5,33.25
MERGE_GPM,2006,6,37.74
MERGE_GPM,2006,7,19.74
MERGE_GPM,2006,8,8.19
MERGE_GPM,2006,9,8.02
MERGE_GPM,2006,10,18.36
MERGE_GPM,2006,11,39.91
MERGE_GPM,2006,12,11.36
MERGE_GPM,2007,1,16.93
MERGE_GPM,2007,2,228.06
MERGE_GPM,2007,3,66.74
MERGE_GPM,2007,4,33.4
MERGE_GPM,2007,5,39.93
MERGE_GPM,2007,6,18.16
MERGE_GPM,2007,7,10.99
MERGE_GPM,2007,8,11.62
MERGE_GPM,2007,9,7.47
MERGE_GPM,2007,10,1.47
MERGE_GPM,2007,11,19
MERGE_GPM,2007,12,20.44
MERGE_GPM,2008,1,23.93
MERGE_GPM,2008,2,91.7
MERGE_GPM,2008,3,184.73
MERGE_GPM,2008,4,106.54
MERGE_GPM,2008,5,47.23
MERGE_GPM,2008,6,14.07
MERGE_GPM,2008,7,22.47
MERGE_GPM,2008,8,8.12
MERGE_GPM,2008,9,2.11
MERGE_GPM,2008,10,1.21
MERGE_GPM,2008,11,6.98
MERGE_GPM,2008,12,61.19
MERGE_GPM,2009,1,72.34
MERGE_GPM,2009,2,93.23
MERGE_GPM,2009,3,94.78
MERGE_GPM,2009,4,188.27
MERGE_GPM,2009,5,117.68
MERGE_GPM,2009,6,31.92
MERGE_GPM,2009,7,19.32
MERGE_GPM,2009,8,22.62
MERGE_GPM,2009,9,1.73
MERGE_GPM,2009,10,52.57
MERGE_GPM,2009,11,8.07
MERGE_GPM,2009,12,51.02
MERGE_GPM,2010,1,78.25
MERGE_GPM,2010,2,57.8
MERGE_GPM,2010,3,73.79
MERGE_GPM,2010,4,110.88
MERGE_GPM,2010,5,19.36
MERGE_GPM,2010,6,42.34
MERGE_GPM,2010,7,34.05
MERGE_GPM,2010,8,10.54
MERGE_GPM,2010,9,17.32
MERGE_GPM,2010,10,55.46
MERGE_GPM,2010,11,2.84
MERGE_GPM,2010,12,98.87
MERGE_GPM,2011,1,74.55
MERGE_GPM,2011,2,88.97
MERGE_GPM,2011,3,93.63
MERGE_GPM,2011,4,63.35
MERGE_GPM,2011,5,91.11
MERGE_GPM,2011,6,16.35
MERGE_GPM,2011,7,21.49
MERGE_GPM,2011,8,15.77
MERGE_GPM,2011,9,8.29
MERGE_GPM,2011,10,20.02
MERGE_GPM,2011,11,23.09
MERGE_GPM,2011,12,20.44
MERGE_GPM,2012,1,18.42
MERGE_GPM,2012,2,72.1
MERGE_GPM,2012,3,17.91
MERGE_GPM,2012,4,2.53
MERGE_GPM,2012,5,10.6
MERGE_GPM,2012,6,7.73
MERGE_GPM,2012,7,14.64
MERGE_GPM,2012,8,14.73
MERGE_GPM,2012,9,2.34
MERGE_GPM,2012,10,1.46
MERGE_GPM,2012,11,20.45
MERGE_GPM,2012,12,13.39
MERGE_GPM,2013,1,84.46
MERGE_GPM,2013,2,4.37
MERGE_GPM,2013,3,30.47
MERGE_GPM,2013,4,52.29
MERGE_GPM,2013,5,26.13
MERGE_GPM,2013,6,16.52
MERGE_GPM,2013,7,40.61
MERGE_GPM,2013,8,9.74
MERGE_GPM,2013,9,2.98
MERGE_GPM,2013,10,19.08
MERGE_GPM,2013,11,31.31
MERGE_GPM,2013,12,122.81
MERGE_GPM,2014,1,12.02
MERGE_GPM,2014,2,52.1
MERGE_GPM,2014,3,60.71
MERGE_GPM,2014,4,95.51
MERGE_GPM,2014,5,37.46
MERGE_GPM,2014,6,14.67
MERGE_GPM,2014,7,33.04
MERGE_GPM,2014,8,17.87
MERGE_GPM,2014,9,12.28
MERGE_GPM,2014,10,15.33
MERGE_GPM,2014,11,58.46
MERGE_GPM,2014,12,40.08
MERGE_GPM,2015,1,8.41
MERGE_GPM,2015,2,67.56
MERGE_GPM,2015,3,80.77
MERGE_GPM,2015,4,48.29
MERGE_GPM,2015,5,24.03
MERGE_GPM,2015,6,17.93
MERGE_GPM,2015,7,24.95
MERGE_GPM,2015,8,20.06
MERGE_GPM,2015,9,7.29
MERGE_GPM,2015,10,12.92
MERGE_GPM,2015,11,10.55
MERGE_GPM,2015,12,18.76
MERGE_GPM,2016,1,213.24
MERGE_GPM,2016,2,44.31
MERGE_GPM,2016,3,32.18
MERGE_GPM,2016,4,10.69
MERGE_GPM,2016,5,33.35
MERGE_GPM,2016,6,17.28
MERGE_GPM,2016,7,5.77
MERGE_GPM,2016,8,3.55
MERGE_GPM,2016,9,4.29
MERGE_GPM,2016,10,4.09
MERGE_GPM,2016,11,13.4
MERGE_GPM,2016,12,24.53
MERGE_GPM,2017,1,11.45
MERGE_GPM,2017,2,38.85
MERGE_GPM,2017,3,37.92
MERGE_GPM,2017,4,49.21
MERGE_GPM,2017,5,28.77
MERGE_GPM,2017,6,37.23
MERGE_GPM,2017,7,35.42
MERGE_GPM,2017,8,8.92
MERGE_GPM,2017,9,19.5
MERGE_GPM,2017,10,1.69
MERGE_GPM,2017,11,18.87
MERGE_GPM,2017,12,20.61
MERGE_GPM,2018,1,38.66
MERGE_GPM,2018,2,138.33
MERGE_GPM,2018,3,72.96
MERGE_GPM,2018,4,83.22
MERGE_GPM,2018,5,19.56
MERGE_GPM,2018,6,9.24
MERGE_GPM,2018,7,6.12
MERGE_GPM,2018,8,2.55
MERGE_GPM,2018,9,2.48
MERGE_GPM,2018,10,17.16
MERGE_GPM,2018,11,19.54
MERGE_GPM,2018,12,113.56
MERGE_GPM,2019,1,14.58
MERGE_GPM,2019,2,83.13
MERGE_GPM,2019,3,126.78
MERGE_GPM,2019,4,54.34
MERGE_GPM,2019,5,22.12
MERGE_GPM,2019,6,26.97
MERGE_GPM,2019,7,42.7
MERGE_GPM,2019,8,17.2
MERGE_GPM,2019,9,4.15
MERGE_GPM,2019,10,10.94
MERGE_GPM,2019,11,27.2
MERGE_GPM,2019,12,4.89
MERGE_GPM,2020,1,90.88
MERGE_GPM,2020,2,115.73
MERGE_GPM,2020,3,173.88
MERGE_GPM,2020,4,88.5
MERGE_GPM,2020,5,41.86
MERGE_GPM,2020,6,30.07
MERGE_GPM,2020,7,17.63
MERGE_GPM,2020,8,9.53
MERGE_GPM,2020,9,11.06
MERGE_GPM,2020,10,10.43
MERGE_GPM,2020,11,89.58
MERGE_GPM,2020,12,12.04
