TIPO,year,month,accumulate
MERGE_GPM,2000,6,0.79
MERGE_GPM,2000,7,9.6
MERGE_GPM,2000,8,19.9
MERGE_GPM,2000,9,73.28
MERGE_GPM,2000,10,38.03
MERGE_GPM,2000,11,250.76
MERGE_GPM,2000,12,240.12
MERGE_GPM,2001,1,150.54
MERGE_GPM,2001,2,61.46
MERGE_GPM,2001,3,146.69
MERGE_GPM,2001,4,14.9
MERGE_GPM,2001,5,44.97
MERGE_GPM,2001,6,0.08
MERGE_GPM,2001,7,5.83
MERGE_GPM,2001,8,25.92
MERGE_GPM,2001,9,49.93
MERGE_GPM,2001,10,104.34
MERGE_GPM,2001,11,256.52
MERGE_GPM,2001,12,299.73
MERGE_GPM,2002,1,200.35
MERGE_GPM,2002,2,258.59
MERGE_GPM,2002,3,84.96
MERGE_GPM,2002,4,13.16
MERGE_GPM,2002,5,21.59
MERGE_GPM,2002,6,0.1
MERGE_GPM,2002,7,10.43
MERGE_GPM,2002,8,2.73
MERGE_GPM,2002,9,60.87
MERGE_GPM,2002,10,40.01
MERGE_GPM,2002,11,137.31
MERGE_GPM,2002,12,256.9
MERGE_GPM,2003,1,320.88
MERGE_GPM,2003,2,82.3
MERGE_GPM,2003,3,147.15
MERGE_GPM,2003,4,35.18
MERGE_GPM,2003,5,32.65
MERGE_GPM,2003,6,2.89
MERGE_GPM,2003,7,4.28
MERGE_GPM,2003,8,17.33
MERGE_GPM,2003,9,28.26
MERGE_GPM,2003,10,37.94
MERGE_GPM,2003,11,123.12
MERGE_GPM,2003,12,183.9
MERGE_GPM,2004,1,235.03
MERGE_GPM,2004,2,285.44
MERGE_GPM,2004,3,139.24
MERGE_GPM,2004,4,83.57
MERGE_GPM,2004,5,17.87
MERGE_GPM,2004,6,19.8
MERGE_GPM,2004,7,35.66
MERGE_GPM,2004,8,0.18
MERGE_GPM,2004,9,6.22
MERGE_GPM,2004,10,73.44
MERGE_GPM,2004,11,95.05
MERGE_GPM,2004,12,277.93
MERGE_GPM,2005,1,292.92
MERGE_GPM,2005,2,88.52
MERGE_GPM,2005,3,222.39
MERGE_GPM,2005,4,25.08
MERGE_GPM,2005,5,63.03
MERGE_GPM,2005,6,13.57
MERGE_GPM,2005,7,3.28
MERGE_GPM,2005,8,6.58
MERGE_GPM,2005,9,58.09
MERGE_GPM,2005,10,63.58
MERGE_GPM,2005,11,218.83
MERGE_GPM,2005,12,268.65
MERGE_GPM,2006,1,142.75
MERGE_GPM,2006,2,148.52
MERGE_GPM,2006,3,209.31
MERGE_GPM,2006,4,50.45
MERGE_GPM,2006,5,18.73
MERGE_GPM,2006,6,5.5
MERGE_GPM,2006,7,0.42
MERGE_GPM,2006,8,15.68
MERGE_GPM,2006,9,63.94
MERGE_GPM,2006,10,134.29
MERGE_GPM,2006,11,181.44
MERGE_GPM,2006,12,313.66
MERGE_GPM,2007,1,332.37
MERGE_GPM,2007,2,120.28
MERGE_GPM,2007,3,46.26
MERGE_GPM,2007,4,60.64
MERGE_GPM,2007,5,18.03
MERGE_GPM,2007,6,1.98
MERGE_GPM,2007,7,12.32
MERGE_GPM,2007,8,0.77
MERGE_GPM,2007,9,1.11
MERGE_GPM,2007,10,43.57
MERGE_GPM,2007,11,120.82
MERGE_GPM,2007,12,198.88
MERGE_GPM,2008,1,308.09
MERGE_GPM,2008,2,193.53
MERGE_GPM,2008,3,220.64
MERGE_GPM,2008,4,105.72
MERGE_GPM,2008,5,4.87
MERGE_GPM,2008,6,11.11
MERGE_GPM,2008,7,1.25
MERGE_GPM,2008,8,6.65
MERGE_GPM,2008,9,64.36
MERGE_GPM,2008,10,32.24
