,year_month,accumulate_riotiete,accumulate_irmaos,Tiete_total
0,200006,37.91,8.55,46.459999999999994
1,200007,36.54,54.76,91.3
2,200008,72.15,65.27,137.42000000000002
3,200009,116.81,126.68,243.49
4,200010,37.78,51.74,89.52000000000001
5,200011,159.77,205.22,364.99
6,200012,175.58,209.08,384.66
7,200101,136.71,184.38,321.09000000000003
8,200102,144.01,192.98,336.99
9,200103,177.58,139.15,316.73
10,200104,76.03,44.39,120.42
11,200105,109.27,83.63,192.89999999999998
12,200106,39.69,39.09,78.78
13,200107,43.98,41.32,85.3
14,200108,32.79,51.1,83.89
15,200109,62.07,69.98,132.05
16,200110,93.51,155.99,249.5
17,200111,176.24,143.29,319.53
18,200112,230.83,250.28,481.11
19,200201,198.26,247.39,445.65
20,200202,201.08,212.99,414.07000000000005
21,200203,92.69,130.54,223.23
22,200204,40.93,30.85,71.78
23,200205,89.92,84.19,174.11
24,200206,21.65,15.7,37.349999999999994
25,200207,61.12,30.97,92.09
26,200208,56.49,64.81,121.30000000000001
27,200209,121.95,76.14,198.09
28,200210,13.84,70.95,84.79
29,200211,172.94,168.95,341.89
30,200212,106.2,155.89,262.09
31,200301,321.11,368.16,689.27
32,200302,97.24,139.22,236.45999999999998
33,200303,160.18,144.82,305.0
34,200304,105.94,95.52,201.45999999999998
35,200305,46.32,41.23,87.55
36,200306,9.23,18.14,27.37
37,200307,10.19,15.55,25.740000000000002
38,200308,26.13,21.03,47.16
39,200309,25.3,22.33,47.629999999999995
40,200310,120.31,113.05,233.36
41,200311,123.77,143.25,267.02
42,200312,121.53,187.65,309.18
43,200401,233.32,286.76,520.0799999999999
44,200402,132.68,214.17,346.85
45,200403,71.61,92.47,164.07999999999998
46,200404,50.53,105.77,156.3
47,200405,128.04,114.41,242.45
48,200406,38.43,58.8,97.22999999999999
49,200407,34.78,70.1,104.88
50,200408,0.2,0.99,1.19
51,200409,9.79,9.44,19.229999999999997
52,200410,157.82,154.84,312.65999999999997
53,200411,174.75,160.4,335.15
54,200412,169.41,166.8,336.21000000000004
55,200501,285.57,357.17,642.74
56,200502,25.4,75.88,101.28
57,200503,21.15,165.32,186.47
58,200504,86.94,59.3,146.24
59,200505,68.61,110.99,179.6
60,200506,37.59,40.99,78.58000000000001
61,200507,22.93,20.65,43.58
62,200508,8.7,13.85,22.549999999999997
63,200509,77.66,68.33,145.99
64,200510,166.72,166.09,332.81
65,200511,114.86,101.43,216.29000000000002
66,200512,283.87,180.84,464.71000000000004
67,200601,264.43,229.89,494.32
68,200602,313.41,229.59,543.0
69,200603,159.55,196.09,355.64
70,200604,42.5,53.93,96.43
71,200605,61.48,18.9,80.38
72,200606,6.64,14.53,21.169999999999998
73,200607,7.34,22.85,30.19
74,200608,21.93,13.9,35.83
75,200609,54.2,63.85,118.05000000000001
76,200610,170.0,112.86,282.86
