TIPO,year,month,accumulate
MERGE_GPM,2000,6,37.91
MERGE_GPM,2000,7,36.54
MERGE_GPM,2000,8,72.15
MERGE_GPM,2000,9,116.81
MERGE_GPM,2000,10,37.78
MERGE_GPM,2000,11,159.77
MERGE_GPM,2000,12,175.58
MERGE_GPM,2001,1,136.71
MERGE_GPM,2001,2,144.01
MERGE_GPM,2001,3,177.58
MERGE_GPM,2001,4,76.03
MERGE_GPM,2001,5,109.27
MERGE_GPM,2001,6,39.69
MERGE_GPM,2001,7,43.98
MERGE_GPM,2001,8,32.79
MERGE_GPM,2001,9,62.07
MERGE_GPM,2001,10,93.51
MERGE_GPM,2001,11,176.24
MERGE_GPM,2001,12,230.83
MERGE_GPM,2002,1,198.26
MERGE_GPM,2002,2,201.08
MERGE_GPM,2002,3,92.69
MERGE_GPM,2002,4,40.93
MERGE_GPM,2002,5,89.92
MERGE_GPM,2002,6,21.65
MERGE_GPM,2002,7,61.12
MERGE_GPM,2002,8,56.49
MERGE_GPM,2002,9,121.95
MERGE_GPM,2002,10,13.84
MERGE_GPM,2002,11,172.94
MERGE_GPM,2002,12,106.2
MERGE_GPM,2003,1,321.11
MERGE_GPM,2003,2,97.24
MERGE_GPM,2003,3,160.18
MERGE_GPM,2003,4,105.94
MERGE_GPM,2003,5,46.32
MERGE_GPM,2003,6,9.23
MERGE_GPM,2003,7,10.19
MERGE_GPM,2003,8,26.13
MERGE_GPM,2003,9,25.3
MERGE_GPM,2003,10,120.31
MERGE_GPM,2003,11,123.77
MERGE_GPM,2003,12,121.53
MERGE_GPM,2004,1,233.32
MERGE_GPM,2004,2,132.68
MERGE_GPM,2004,3,71.61
MERGE_GPM,2004,4,50.53
MERGE_GPM,2004,5,128.04
MERGE_GPM,2004,6,38.43
MERGE_GPM,2004,7,34.78
MERGE_GPM,2004,8,0.2
MERGE_GPM,2004,9,9.79
MERGE_GPM,2004,10,157.82
MERGE_GPM,2004,11,174.75
MERGE_GPM,2004,12,169.41
MERGE_GPM,2005,1,285.57
MERGE_GPM,2005,2,25.4
MERGE_GPM,2005,3,21.15
MERGE_GPM,2005,4,86.94
MERGE_GPM,2005,5,68.61
MERGE_GPM,2005,6,37.59
MERGE_GPM,2005,7,22.93
MERGE_GPM,2005,8,8.7
MERGE_GPM,2005,9,77.66
MERGE_GPM,2005,10,166.72
MERGE_GPM,2005,11,114.86
MERGE_GPM,2005,12,283.87
MERGE_GPM,2006,1,264.43
MERGE_GPM,2006,2,313.41
MERGE_GPM,2006,3,159.55
MERGE_GPM,2006,4,42.5
MERGE_GPM,2006,5,61.48
MERGE_GPM,2006,6,6.64
MERGE_GPM,2006,7,7.34
MERGE_GPM,2006,8,21.93
MERGE_GPM,2006,9,54.2
MERGE_GPM,2006,10,170
MERGE_GPM,2006,11,105.9
MERGE_GPM,2006,12,330.71
MERGE_GPM,2007,1,465.86
MERGE_GPM,2007,2,100.48
MERGE_GPM,2007,3,83.44
MERGE_GPM,2007,4,17.75
MERGE_GPM,2007,5,74.84
MERGE_GPM,2007,6,1.11
MERGE_GPM,2007,7,49.07
MERGE_GPM,2007,8,1.21
MERGE_GPM,2007,9,10.61
MERGE_GPM,2007,10,36.52
MERGE_GPM,2007,11,98.94
MERGE_GPM,2007,12,80.85
MERGE_GPM,2008,1,206.39
MERGE_GPM,2008,2,122.87
MERGE_GPM,2008,3,185.46
MERGE_GPM,2008,4,200.07
MERGE_GPM,2008,5,34.59
MERGE_GPM,2008,6,7.21
MERGE_GPM,2008,7,0
MERGE_GPM,2008,8,26.77
MERGE_GPM,2008,9,17.32
MERGE_GPM,2008,10,82.59
MERGE_GPM,2008,11,78.88
MERGE_GPM,2008,12,52.65
MERGE_GPM,2009,1,417.51
MERGE_GPM,2009,2,212.51
MERGE_GPM,2009,3,195.36
MERGE_GPM,2009,4,27.86
MERGE_GPM,2009,5,38.82
MERGE_GPM,2009,6,47.09
MERGE_GPM,2009,7,64.75
MERGE_GPM,2009,8,114.7
MERGE_GPM,2009,9,189.19
MERGE_GPM,2009,10,150.18
MERGE_GPM,2009,11,166.13
MERGE_GPM,2009,12,197.72
MERGE_GPM,2010,1,285.78
MERGE_GPM,2010,2,153.33
MERGE_GPM,2010,3,135.57
MERGE_GPM,2010,4,46.16
MERGE_GPM,2010,5,10.7
MERGE_GPM,2010,6,8.45
MERGE_GPM,2010,7,17.08
MERGE_GPM,2010,8,11.3
MERGE_GPM,2010,9,133.97
MERGE_GPM,2010,10,81.11
MERGE_GPM,2010,11,96.83
MERGE_GPM,2010,12,145.41
MERGE_GPM,2011,1,346.13
MERGE_GPM,2011,2,106.17
MERGE_GPM,2011,3,296.87
MERGE_GPM,2011,4,129.98
MERGE_GPM,2011,5,4.63
MERGE_GPM,2011,6,63.48
MERGE_GPM,2011,7,5.61
MERGE_GPM,2011,8,13.27
MERGE_GPM,2011,9,47.17
MERGE_GPM,2011,10,120.33
MERGE_GPM,2011,11,111.08
MERGE_GPM,2011,12,160.37
MERGE_GPM,2012,1,183.93
MERGE_GPM,2012,2,57.9
MERGE_GPM,2012,3,59.41
MERGE_GPM,2012,4,63.01
MERGE_GPM,2012,5,71.15
MERGE_GPM,2012,6,127.72
MERGE_GPM,2012,7,4.68
MERGE_GPM,2012,8,0
MERGE_GPM,2012,9,142.93
MERGE_GPM,2012,10,37.95
MERGE_GPM,2012,11,130.56
MERGE_GPM,2012,12,243.22
MERGE_GPM,2013,1,149.94
MERGE_GPM,2013,2,218.4
MERGE_GPM,2013,3,155.52
MERGE_GPM,2013,4,107.43
MERGE_GPM,2013,5,31.99
MERGE_GPM,2013,6,88.96
MERGE_GPM,2013,7,17.79
MERGE_GPM,2013,8,0.61
MERGE_GPM,2013,9,62.21
MERGE_GPM,2013,10,106.46
MERGE_GPM,2013,11,103.78
MERGE_GPM,2013,12,185.86
MERGE_GPM,2014,1,142.65
MERGE_GPM,2014,2,62.34
MERGE_GPM,2014,3,325
MERGE_GPM,2014,4,26.29
MERGE_GPM,2014,5,42.36
MERGE_GPM,2014,6,4.59
MERGE_GPM,2014,7,70.92
MERGE_GPM,2014,8,1.04
MERGE_GPM,2014,9,92.68
MERGE_GPM,2014,10,77.2
MERGE_GPM,2014,11,201.47
MERGE_GPM,2014,12,133.16
MERGE_GPM,2015,1,89.7
MERGE_GPM,2015,2,219.18
MERGE_GPM,2015,3,164.33
MERGE_GPM,2015,4,67.32
MERGE_GPM,2015,5,98.61
MERGE_GPM,2015,6,30.97
MERGE_GPM,2015,7,55.54
MERGE_GPM,2015,8,11.66
MERGE_GPM,2015,9,121.12
MERGE_GPM,2015,10,98.56
MERGE_GPM,2015,11,314.72
MERGE_GPM,2015,12,256.19
MERGE_GPM,2016,1,242.64
MERGE_GPM,2016,2,148.64
MERGE_GPM,2016,3,97.34
MERGE_GPM,2016,4,76.43
MERGE_GPM,2016,5,116.74
MERGE_GPM,2016,6,95.73
MERGE_GPM,2016,7,6.73
MERGE_GPM,2016,8,46.32
MERGE_GPM,2016,9,104.81
MERGE_GPM,2016,10,78.62
MERGE_GPM,2016,11,109.62
MERGE_GPM,2016,12,174.54
MERGE_GPM,2017,1,268.64
MERGE_GPM,2017,2,91.47
MERGE_GPM,2017,3,120.44
MERGE_GPM,2017,4,65.01
MERGE_GPM,2017,5,58.99
MERGE_GPM,2017,6,19.28
MERGE_GPM,2017,7,0
MERGE_GPM,2017,8,82.09
MERGE_GPM,2017,9,0.48
MERGE_GPM,2017,10,133.53
MERGE_GPM,2017,11,174.61
MERGE_GPM,2017,12,251.19
MERGE_GPM,2018,1,203.99
MERGE_GPM,2018,2,83.22
MERGE_GPM,2018,3,47.45
MERGE_GPM,2018,4,31.55
MERGE_GPM,2018,5,7.38
MERGE_GPM,2018,6,1.89
MERGE_GPM,2018,7,0.14
MERGE_GPM,2018,8,30.2
MERGE_GPM,2018,9,117.67
MERGE_GPM,2018,10,115.96
MERGE_GPM,2018,11,190.47
MERGE_GPM,2018,12,99.53
MERGE_GPM,2019,1,143.07
MERGE_GPM,2019,2,204.89
MERGE_GPM,2019,3,110.61
MERGE_GPM,2019,4,94.6
MERGE_GPM,2019,5,48.19
MERGE_GPM,2019,6,10.23
MERGE_GPM,2019,7,38.88
MERGE_GPM,2019,8,32.64
MERGE_GPM,2019,9,48.21
MERGE_GPM,2019,10,61.19
MERGE_GPM,2019,11,68.69
MERGE_GPM,2019,12,293.56
MERGE_GPM,2020,1,174.11
MERGE_GPM,2020,2,236.51
MERGE_GPM,2020,3,59.81
MERGE_GPM,2020,4,40.65
MERGE_GPM,2020,5,20.89
MERGE_GPM,2020,6,18.72
