TIPO,year,month,accumulate
MERGE_GPM,2000,6,8.55
MERGE_GPM,2000,7,54.76
MERGE_GPM,2000,8,65.27
MERGE_GPM,2000,9,126.68
MERGE_GPM,2000,10,51.74
MERGE_GPM,2000,11,205.22
MERGE_GPM,2000,12,209.08
MERGE_GPM,2001,1,184.38
MERGE_GPM,2001,2,192.98
MERGE_GPM,2001,3,139.15
MERGE_GPM,2001,4,44.39
MERGE_GPM,2001,5,83.63
MERGE_GPM,2001,6,39.09
MERGE_GPM,2001,7,41.32
MERGE_GPM,2001,8,51.1
MERGE_GPM,2001,9,69.98
MERGE_GPM,2001,10,155.99
MERGE_GPM,2001,11,143.29
MERGE_GPM,2001,12,250.28
MERGE_GPM,2002,1,247.39
MERGE_GPM,2002,2,212.99
MERGE_GPM,2002,3,130.54
MERGE_GPM,2002,4,30.85
MERGE_GPM,2002,5,84.19
MERGE_GPM,2002,6,15.7
MERGE_GPM,2002,7,30.97
MERGE_GPM,2002,8,64.81
MERGE_GPM,2002,9,76.14
MERGE_GPM,2002,10,70.95
MERGE_GPM,2002,11,168.95
MERGE_GPM,2002,12,155.89
MERGE_GPM,2003,1,368.16
MERGE_GPM,2003,2,139.22
MERGE_GPM,2003,3,144.82
MERGE_GPM,2003,4,95.52
MERGE_GPM,2003,5,41.23
MERGE_GPM,2003,6,18.14
MERGE_GPM,2003,7,15.55
MERGE_GPM,2003,8,21.03
MERGE_GPM,2003,9,22.33
MERGE_GPM,2003,10,113.05
MERGE_GPM,2003,11,143.25
MERGE_GPM,2003,12,187.65
MERGE_GPM,2004,1,286.76
MERGE_GPM,2004,2,214.17
MERGE_GPM,2004,3,92.47
MERGE_GPM,2004,4,105.77
MERGE_GPM,2004,5,114.41
MERGE_GPM,2004,6,58.8
MERGE_GPM,2004,7,70.1
MERGE_GPM,2004,8,0.99
MERGE_GPM,2004,9,9.44
MERGE_GPM,2004,10,154.84
MERGE_GPM,2004,11,160.4
MERGE_GPM,2004,12,166.8
MERGE_GPM,2005,1,357.17
MERGE_GPM,2005,2,75.88
MERGE_GPM,2005,3,165.32
MERGE_GPM,2005,4,59.3
MERGE_GPM,2005,5,110.99
MERGE_GPM,2005,6,40.99
MERGE_GPM,2005,7,20.65
MERGE_GPM,2005,8,13.85
MERGE_GPM,2005,9,68.33
MERGE_GPM,2005,10,166.09
MERGE_GPM,2005,11,101.43
MERGE_GPM,2005,12,180.84
MERGE_GPM,2006,1,229.89
MERGE_GPM,2006,2,229.59
MERGE_GPM,2006,3,196.09
MERGE_GPM,2006,4,53.93
MERGE_GPM,2006,5,18.9
MERGE_GPM,2006,6,14.53
MERGE_GPM,2006,7,22.85
MERGE_GPM,2006,8,13.9
MERGE_GPM,2006,9,63.85
MERGE_GPM,2006,10,112.86
MERGE_GPM,2006,11,108.61
MERGE_GPM,2006,12,206.6
MERGE_GPM,2007,1,343.47
MERGE_GPM,2007,2,134.79
MERGE_GPM,2007,3,103.38
MERGE_GPM,2007,4,54.61
MERGE_GPM,2007,5,64.85
MERGE_GPM,2007,6,13.83
MERGE_GPM,2007,7,106.51
MERGE_GPM,2007,8,0.64
MERGE_GPM,2007,9,13.97
MERGE_GPM,2007,10,60.28
MERGE_GPM,2007,11,137.74
MERGE_GPM,2007,12,151.22
MERGE_GPM,2008,1,230.76
MERGE_GPM,2008,2,134.28
MERGE_GPM,2008,3,132.4
MERGE_GPM,2008,4,86.52
MERGE_GPM,2008,5,41.05
MERGE_GPM,2008,6,27.25
MERGE_GPM,2008,7,0.42
MERGE_GPM,2008,8,44.21
MERGE_GPM,2008,9,27.69
MERGE_GPM,2008,10,88.8
MERGE_GPM,2008,11,75.9
MERGE_GPM,2008,12,128.4
MERGE_GPM,2009,1,280.9
MERGE_GPM,2009,2,207.88
MERGE_GPM,2009,3,168.01
MERGE_GPM,2009,4,61.39
MERGE_GPM,2009,5,43.72
MERGE_GPM,2009,6,58.06
MERGE_GPM,2009,7,95.02
MERGE_GPM,2009,8,92.45
MERGE_GPM,2009,9,149.85
MERGE_GPM,2009,10,114.01
MERGE_GPM,2009,11,170.98
MERGE_GPM,2009,12,256.87
MERGE_GPM,2010,1,236.14
MERGE_GPM,2010,2,99.74
MERGE_GPM,2010,3,123.96
MERGE_GPM,2010,4,69.66
MERGE_GPM,2010,5,21.86
MERGE_GPM,2010,6,14.8
MERGE_GPM,2010,7,36.98
MERGE_GPM,2010,8,3.19
MERGE_GPM,2010,9,81.08
MERGE_GPM,2010,10,79.91
MERGE_GPM,2010,11,62.26
MERGE_GPM,2010,12,179.57
MERGE_GPM,2011,1,322.83
MERGE_GPM,2011,2,163.92
MERGE_GPM,2011,3,178.44
MERGE_GPM,2011,4,86.69
MERGE_GPM,2011,5,12.6
