,year_month,accumulate_riotocantins,year,month,accumulate_serra,accumulate_rioaraguaia,accumulate_tucurui,accumulate_estreito,Tocantins_total
0,200006,148.1,2000,6,0.0,1.79,33.24,0.36,183.49
1,200007,187.92,2000,7,5.25,6.17,50.24,6.07,255.64999999999998
2,200008,39.54,2000,8,17.01,13.59,12.37,3.82,86.33
3,200009,73.11,2000,9,71.75,99.45,88.59,75.16,408.05999999999995
4,200010,32.31,2000,10,85.38,92.53,49.8,77.38,337.4
5,200011,51.95,2000,11,285.5,262.86,129.75,239.51,969.5699999999999
6,200012,198.72,2000,12,307.92,303.3,208.86,334.1,1352.9
7,200101,434.16,2001,1,141.45,180.28,287.48,137.03,1180.3999999999999
8,200102,377.84,2001,2,137.38,168.25,282.39,188.13,1153.99
9,200103,460.48,2001,3,237.0,271.57,332.3,256.63,1557.98
10,200104,426.77,2001,4,48.42,99.8,278.36,99.84,953.19
11,200105,223.99,2001,5,36.79,61.44,122.34,40.7,485.26000000000005
12,200106,187.29,2001,6,1.24,8.33,50.69,4.83,252.38000000000002
13,200107,101.6,2001,7,1.56,4.8,18.02,1.2,127.17999999999999
14,200108,16.19,2001,8,9.46,5.1,1.82,1.19,33.76
15,200109,109.11,2001,9,56.58,48.74,47.12,36.13,297.68
16,200110,66.55,2001,10,180.91,202.88,73.44,186.56,710.3399999999999
17,200111,63.19,2001,11,251.58,220.96,126.61,182.86,845.2
18,200112,190.02,2001,12,238.65,282.17,137.44,238.63,1086.9099999999999
19,200201,351.54,2002,1,202.49,277.38,275.32,344.99,1451.72
20,200202,240.67,2002,2,178.41,212.58,202.88,179.05,1013.5899999999999
21,200203,408.96,2002,3,144.08,187.01,242.27,187.68,1170.0
22,200204,391.06,2002,4,52.06,77.07,168.43,83.39,772.0100000000001
23,200205,251.12,2002,5,19.76,35.51,130.96,48.58,485.93
24,200206,201.75,2002,6,0.21,2.38,59.98,0.93,265.25
25,200207,109.63,2002,7,1.84,12.08,20.13,2.99,146.67000000000002
26,200208,84.32,2002,8,3.68,3.16,10.21,2.52,103.89
27,200209,40.52,2002,9,45.4,44.85,49.8,63.98,244.54999999999998
28,200210,40.46,2002,10,46.57,78.47,47.28,74.05,286.83
29,200211,80.58,2002,11,130.75,142.82,99.65,122.72,576.52
30,200212,210.67,2002,12,203.32,253.28,169.68,234.95,1071.9
31,200301,120.85,2003,1,238.65,309.76,205.21,195.85,1070.32
32,200302,338.93,2003,2,165.69,210.28,249.98,168.72,1133.6
33,200303,307.89,2003,3,212.76,276.63,272.67,186.79,1256.74
34,200304,267.96,2003,4,75.65,133.31,198.5,103.88,779.3000000000001
35,200305,174.69,2003,5,11.33,34.56,72.32,49.03,341.92999999999995
36,200306,159.68,2003,6,0.82,3.16,28.29,2.02,193.97
37,200307,51.74,2003,7,0.5,0.02,1.22,0.07,53.550000000000004
38,200308,80.12,2003,8,22.23,13.46,19.28,11.09,146.18
39,200309,79.21,2003,9,20.02,43.75,24.9,19.28,187.16
40,200310,51.53,2003,10,80.79,118.9,85.26,67.07,403.55
41,200311,74.73,2003,11,196.68,167.09,103.7,150.59,692.7900000000001
42,200312,96.33,2003,12,183.43,176.65,137.95,150.2,744.56
43,200401,190.02,2004,1,402.92,428.27,287.84,336.73,1645.78
44,200402,383.92,2004,2,385.6,369.27,321.05,297.44,1757.28
45,200403,269.77,2004,3,227.82,217.86,302.11,225.97,1243.53
46,200404,268.82,2004,4,124.23,129.52,230.99,118.5,872.0600000000001
47,200405,206.99,2004,5,15.11,23.95,130.4,10.74,387.19000000000005
48,200406,111.98,2004,6,3.41,7.41,11.84,3.6,138.23999999999998
49,200407,103.87,2004,7,1.51,10.37,48.65,4.37,168.77
50,200408,70.09,2004,8,0.51,6.87,31.35,7.39,116.21000000000002
51,200409,78.77,2004,9,1.85,14.71,57.23,8.9,161.45999999999998
52,200410,41.19,2004,10,150.96,161.39,110.52,125.87,589.93
53,200411,38.39,2004,11,116.66,159.92,98.12,104.0,517.09
54,200412,94.9,2004,12,162.5,154.46,129.96,147.5,689.32
55,200501,132.9,2005,1,255.91,281.38,161.47,227.06,1058.72
56,200502,250.23,2005,2,122.05,119.41,165.95,148.81,806.4499999999998
57,200503,247.07,2005,3,199.23,154.66,146.45,194.57,941.9799999999998
58,200504,348.7,2005,4,108.79,99.53,132.58,99.02,788.62
59,200505,294.74,2005,5,25.93,45.29,86.55,55.41,507.9200000000001
60,200506,123.88,2005,6,3.55,9.81,27.76,5.76,170.75999999999996
61,200507,108.45,2005,7,0.47,1.05,17.15,0.81,127.93
62,200508,47.67,2005,8,15.39,2.09,8.69,0.78,74.62
63,200509,31.93,2005,9,70.68,43.05,57.52,30.55,233.73000000000005
64,200510,33.68,2005,10,55.03,75.68,60.59,49.6,274.58000000000004
65,200511,45.09,2005,11,233.22,184.88,122.11,195.81,781.1099999999999
66,200512,240.65,2005,12,341.03,287.16,208.8,252.98,1330.62
67,200601,254.03,2006,1,108.11,174.09,133.73,114.23,784.19
68,200602,216.06,2006,2,173.13,200.41,267.49,172.24,1029.33
69,200603,340.55,2006,3,185.78,223.82,328.6,256.79,1335.54
70,200604,445.97,2006,4,101.29,212.13,291.38,234.55,1285.32
71,200605,275.47,2006,5,10.68,45.37,200.41,49.44,581.3700000000001
72,200606,64.45,2006,6,0.41,0.46,9.71,0.2,75.23
73,200607,64.52,2006,7,0.02,2.98,8.62,1.21,77.35
74,200608,50.28,2006,8,6.27,5.2,16.8,2.79,81.34
75,200609,63.84,2006,9,76.01,72.03,42.39,62.13,316.40000000000003
76,200610,65.33,2006,10,253.48,227.83,100.59,154.82,802.05
77,200611,180.97,2006,11,197.89,182.13,144.62,146.42,852.03
78,200612,190.35,2006,12,170.33,200.34,111.43,159.29,831.74
79,200701,99.74,2007,1,182.79,226.13,141.03,145.99,795.68
80,200702,400.81,2007,2,239.94,336.37,336.31,281.15,1594.58
81,200703,347.46,2007,3,64.23,138.77,221.34,122.56,894.3600000000001
82,200704,322.15,2007,4,81.51,105.22,208.18,103.78,820.8399999999999
83,200705,152.43,2007,5,7.04,16.02,64.17,27.34,267.0
84,200706,82.11,2007,6,3.46,10.22,47.07,5.3,148.16
85,200707,87.66,2007,7,1.35,7.32,28.83,6.44,131.6
86,200708,52.86,2007,8,5.31,5.24,12.69,7.84,83.94000000000001
87,200709,26.27,2007,9,4.35,11.79,15.38,19.89,77.68
88,200710,95.12,2007,10,63.64,77.49,34.0,42.62,312.87
89,200711,39.75,2007,11,150.07,131.43,72.51,144.96,538.72
90,200712,230.17,2007,12,176.94,181.25,118.35,135.23,841.94
91,200801,325.63,2008,1,192.49,245.3,291.57,197.86,1252.85
92,200802,302.67,2008,2,212.04,203.76,220.25,188.74,1127.46
93,200803,444.37,2008,3,211.27,226.66,324.27,241.87,1448.44
94,200804,274.44,2008,4,118.27,134.24,206.6,169.88,903.4300000000001
95,200805,229.18,2008,5,3.79,43.94,163.34,26.67,466.92
96,200806,170.61,2008,6,0.09,0.86,24.34,0.74,196.64000000000004
97,200807,44.54,2008,7,0.63,0.97,2.25,0.23,48.62
98,200808,40.0,2008,8,0.38,1.15,10.6,0.51,52.64
99,200809,62.57,2008,9,29.87,27.28,37.32,23.59,180.63
100,200810,56.32,2008,10,41.32,71.3,61.3,39.07,269.31
101,200811,58.72,2008,11,214.51,166.23,173.93,209.93,823.3200000000002
102,200812,149.74,2008,12,202.33,210.27,217.17,199.47,978.98
103,200901,300.59,2009,1,231.19,217.52,196.31,236.22,1181.83
104,200902,330.23,2009,2,202.29,228.87,299.75,211.39,1272.5299999999997
105,200903,414.08,2009,3,197.65,227.98,290.38,185.94,1316.0300000000002
106,200904,320.86,2009,4,217.28,224.39,333.57,243.25,1339.35
107,200905,325.24,2009,5,44.43,103.0,273.34,150.6,896.61
108,200906,186.82,2009,6,30.98,30.99,40.54,18.12,307.45
109,200907,75.38,2009,7,20.3,8.98,21.25,5.13,131.04
110,200908,20.19,2009,8,48.84,35.68,25.71,11.88,142.3
111,200909,15.93,2009,9,78.79,88.53,27.21,54.08,264.54
112,200910,43.56,2009,10,255.01,166.06,96.11,197.6,758.34
113,200911,22.84,2009,11,177.46,171.81,71.79,145.29,589.19
114,200912,297.29,2009,12,284.47,282.78,195.25,246.46,1306.25
115,201001,348.81,2010,1,202.02,228.27,244.06,243.68,1266.8400000000001
116,201002,247.1,2010,2,96.68,161.17,173.77,120.12,798.8399999999999
117,201003,217.47,2010,3,185.07,196.38,178.13,226.24,1003.29
118,201004,298.31,2010,4,100.17,116.97,233.57,121.04,870.06
119,201005,174.05,2010,5,8.09,16.5,70.2,19.84,288.68
120,201006,54.16,2010,6,4.0,9.33,31.44,4.83,103.75999999999999
121,201007,53.02,2010,7,3.27,2.85,5.56,2.14,66.84
122,201008,45.31,2010,8,0.1,0.77,11.88,0.28,58.34000000000001
123,201009,22.87,2010,9,11.28,2.87,11.7,3.23,51.949999999999996
124,201010,88.91,2010,10,137.51,141.12,132.65,142.59,642.78
125,201011,97.54,2010,11,268.96,226.57,76.11,221.79,890.9699999999999
126,201012,137.35,2010,12,277.38,227.74,140.48,197.12,980.07
127,201101,257.05,2011,1,162.67,285.41,286.58,235.01,1226.72
128,201102,232.82,2011,2,117.69,220.66,279.27,245.36,1095.8
129,201103,326.41,2011,3,189.89,267.27,304.14,231.36,1319.0700000000002
130,201104,351.88,2011,4,51.73,129.16,276.28,133.58,942.63
131,201105,230.3,2011,5,19.5,34.51,206.56,36.3,527.17
132,201106,82.63,2011,6,16.95,12.75,19.41,0.95,132.69
133,201107,63.14,2011,7,0.15,2.52,23.58,1.59,90.98
134,201108,56.85,2011,8,0.18,3.57,17.78,2.37,80.75
135,201109,37.28,2011,9,3.33,8.43,10.1,0.34,59.480000000000004
136,201110,91.66,2011,10,185.57,188.5,149.53,147.29,762.55
