TIPO,year,month,accumulate
MERGE_GPM,2000,6,1.79
MERGE_GPM,2000,7,6.17
MERGE_GPM,2000,8,13.59
MERGE_GPM,2000,9,99.45
MERGE_GPM,2000,10,92.53
MERGE_GPM,2000,11,262.86
MERGE_GPM,2000,12,303.3
MERGE_GPM,2001,1,180.28
MERGE_GPM,2001,2,168.25
MERGE_GPM,2001,3,271.57
MERGE_GPM,2001,4,99.8
MERGE_GPM,2001,5,61.44
MERGE_GPM,2001,6,8.33
MERGE_GPM,2001,7,4.8
MERGE_GPM,2001,8,5.1
MERGE_GPM,2001,9,48.74
MERGE_GPM,2001,10,202.88
MERGE_GPM,2001,11,220.96
MERGE_GPM,2001,12,282.17
MERGE_GPM,2002,1,277.38
MERGE_GPM,2002,2,212.58
MERGE_GPM,2002,3,187.01
MERGE_GPM,2002,4,77.07
MERGE_GPM,2002,5,35.51
MERGE_GPM,2002,6,2.38
MERGE_GPM,2002,7,12.08
MERGE_GPM,2002,8,3.16
MERGE_GPM,2002,9,44.85
MERGE_GPM,2002,10,78.47
MERGE_GPM,2002,11,142.82
MERGE_GPM,2002,12,253.28
MERGE_GPM,2003,1,309.76
MERGE_GPM,2003,2,210.28
MERGE_GPM,2003,3,276.63
MERGE_GPM,2003,4,133.31
MERGE_GPM,2003,5,34.56
MERGE_GPM,2003,6,3.16
MERGE_GPM,2003,7,0.02
MERGE_GPM,2003,8,13.46
MERGE_GPM,2003,9,43.75
MERGE_GPM,2003,10,118.9
MERGE_GPM,2003,11,167.09
MERGE_GPM,2003,12,176.65
MERGE_GPM,2004,1,428.27
MERGE_GPM,2004,2,369.27
MERGE_GPM,2004,3,217.86
MERGE_GPM,2004,4,129.52
MERGE_GPM,2004,5,23.95
MERGE_GPM,2004,6,7.41
MERGE_GPM,2004,7,10.37
MERGE_GPM,2004,8,6.87
MERGE_GPM,2004,9,14.71
MERGE_GPM,2004,10,161.39
MERGE_GPM,2004,11,159.92
MERGE_GPM,2004,12,154.46
MERGE_GPM,2005,1,281.38
MERGE_GPM,2005,2,119.41
MERGE_GPM,2005,3,154.66
MERGE_GPM,2005,4,99.53
MERGE_GPM,2005,5,45.29
MERGE_GPM,2005,6,9.81
MERGE_GPM,2005,7,1.05
MERGE_GPM,2005,8,2.09
MERGE_GPM,2005,9,43.05
MERGE_GPM,2005,10,75.68
MERGE_GPM,2005,11,184.88
