TIPO,year,month,accumulate
MERGE_GPM,2000,6,148.1
MERGE_GPM,2000,7,187.92
MERGE_GPM,2000,8,39.54
MERGE_GPM,2000,9,73.11
MERGE_GPM,2000,10,32.31
MERGE_GPM,2000,11,51.95
MERGE_GPM,2000,12,198.72
MERGE_GPM,2001,1,434.16
MERGE_GPM,2001,2,377.84
MERGE_GPM,2001,3,460.48
MERGE_GPM,2001,4,426.77
MERGE_GPM,2001,5,223.99
MERGE_GPM,2001,6,187.29
MERGE_GPM,2001,7,101.6
MERGE_GPM,2001,8,16.19
MERGE_GPM,2001,9,109.11
MERGE_GPM,2001,10,66.55
MERGE_GPM,2001,11,63.19
MERGE_GPM,2001,12,190.02
MERGE_GPM,2002,1,351.54
MERGE_GPM,2002,2,240.67
MERGE_GPM,2002,3,408.96
MERGE_GPM,2002,4,391.06
MERGE_GPM,2002,5,251.12
MERGE_GPM,2002,6,201.75
MERGE_GPM,2002,7,109.63
MERGE_GPM,2002,8,84.32
MERGE_GPM,2002,9,40.52
MERGE_GPM,2002,10,40.46
MERGE_GPM,2002,11,80.58
MERGE_GPM,2002,12,210.67
MERGE_GPM,2003,1,120.85
MERGE_GPM,2003,2,338.93
MERGE_GPM,2003,3,307.89
MERGE_GPM,2003,4,267.96
MERGE_GPM,2003,5,174.69
MERGE_GPM,2003,6,159.68
MERGE_GPM,2003,7,51.74
MERGE_GPM,2003,8,80.12
MERGE_GPM,2003,9,79.21
MERGE_GPM,2003,10,51.53
MERGE_GPM,2003,11,74.73
MERGE_GPM,2003,12,96.33
MERGE_GPM,2004,1,190.02
MERGE_GPM,2004,2,383.92
MERGE_GPM,2004,3,269.77
MERGE_GPM,2004,4,268.82
MERGE_GPM,2004,5,206.99
MERGE_GPM,2004,6,111.98
MERGE_GPM,2004,7,103.87
MERGE_GPM,2004,8,70.09
MERGE_GPM,2004,9,78.77
MERGE_GPM,2004,10,41.19
MERGE_GPM,2004,11,38.39
MERGE_GPM,2004,12,94.9
MERGE_GPM,2005,1,132.9
MERGE_GPM,2005,2,250.23
MERGE_GPM,2005,3,247.07
MERGE_GPM,2005,4,348.7
MERGE_GPM,2005,5,294.74
MERGE_GPM,2005,6,123.88
MERGE_GPM,2005,7,108.45
MERGE_GPM,2005,8,47.67
MERGE_GPM,2005,9,31.93
MERGE_GPM,2005,10,33.68
MERGE_GPM,2005,11,45.09
MERGE_GPM,2005,12,240.65
MERGE_GPM,2006,1,254.03
MERGE_GPM,2006,2,216.06
