TIPO,year,month,accumulate
MERGE_GPM,2000,6,33.24
MERGE_GPM,2000,7,50.24
MERGE_GPM,2000,8,12.37
MERGE_GPM,2000,9,88.59
MERGE_GPM,2000,10,49.8
MERGE_GPM,2000,11,129.75
MERGE_GPM,2000,12,208.86
MERGE_GPM,2001,1,287.48
MERGE_GPM,2001,2,282.39
MERGE_GPM,2001,3,332.3
MERGE_GPM,2001,4,278.36
MERGE_GPM,2001,5,122.34
MERGE_GPM,2001,6,50.69
MERGE_GPM,2001,7,18.02
MERGE_GPM,2001,8,1.82
MERGE_GPM,2001,9,47.12
MERGE_GPM,2001,10,73.44
MERGE_GPM,2001,11,126.61
MERGE_GPM,2001,12,137.44
MERGE_GPM,2002,1,275.32
MERGE_GPM,2002,2,202.88
MERGE_GPM,2002,3,242.27
MERGE_GPM,2002,4,168.43
MERGE_GPM,2002,5,130.96
MERGE_GPM,2002,6,59.98
MERGE_GPM,2002,7,20.13
MERGE_GPM,2002,8,10.21
MERGE_GPM,2002,9,49.8
MERGE_GPM,2002,10,47.28
MERGE_GPM,2002,11,99.65
MERGE_GPM,2002,12,169.68
MERGE_GPM,2003,1,205.21
MERGE_GPM,2003,2,249.98
MERGE_GPM,2003,3,272.67
MERGE_GPM,2003,4,198.5
MERGE_GPM,2003,5,72.32
MERGE_GPM,2003,6,28.29
MERGE_GPM,2003,7,1.22
MERGE_GPM,2003,8,19.28
MERGE_GPM,2003,9,24.9
MERGE_GPM,2003,10,85.26
MERGE_GPM,2003,11,103.7
MERGE_GPM,2003,12,137.95
MERGE_GPM,2004,1,287.84
MERGE_GPM,2004,2,321.05
MERGE_GPM,2004,3,302.11
MERGE_GPM,2004,4,230.99
MERGE_GPM,2004,5,130.4
MERGE_GPM,2004,6,11.84
MERGE_GPM,2004,7,48.65
MERGE_GPM,2004,8,31.35
MERGE_GPM,2004,9,57.23
MERGE_GPM,2004,10,110.52
MERGE_GPM,2004,11,98.12
MERGE_GPM,2004,12,129.96
MERGE_GPM,2005,1,161.47
MERGE_GPM,2005,2,165.95
MERGE_GPM,2005,3,146.45
MERGE_GPM,2005,4,132.58
MERGE_GPM,2005,5,86.55
MERGE_GPM,2005,6,27.76
MERGE_GPM,2005,7,17.15
MERGE_GPM,2005,8,8.69
MERGE_GPM,2005,9,57.52
MERGE_GPM,2005,10,60.59
MERGE_GPM,2005,11,122.11
MERGE_GPM,2005,12,208.8
MERGE_GPM,2006,1,133.73
MERGE_GPM,2006,2,267.49
MERGE_GPM,2006,3,328.6
MERGE_GPM,2006,4,291.38
MERGE_GPM,2006,5,200.41
MERGE_GPM,2006,6,9.71
MERGE_GPM,2006,7,8.62
MERGE_GPM,2006,8,16.8
MERGE_GPM,2006,9,42.39
MERGE_GPM,2006,10,100.59
MERGE_GPM,2006,11,144.62
MERGE_GPM,2006,12,111.43
MERGE_GPM,2007,1,141.03
MERGE_GPM,2007,2,336.31
MERGE_GPM,2007,3,221.34
MERGE_GPM,2007,4,208.18
MERGE_GPM,2007,5,64.17
MERGE_GPM,2007,6,47.07
MERGE_GPM,2007,7,28.83
MERGE_GPM,2007,8,12.69
MERGE_GPM,2007,9,15.38
MERGE_GPM,2007,10,34
MERGE_GPM,2007,11,72.51
MERGE_GPM,2007,12,118.35
MERGE_GPM,2008,1,291.57
MERGE_GPM,2008,2,220.25
MERGE_GPM,2008,3,324.27
MERGE_GPM,2008,4,206.6
MERGE_GPM,2008,5,163.34
MERGE_GPM,2008,6,24.34
MERGE_GPM,2008,7,2.25
MERGE_GPM,2008,8,10.6
MERGE_GPM,2008,9,37.32
MERGE_GPM,2008,10,61.3
MERGE_GPM,2008,11,173.93
MERGE_GPM,2008,12,217.17
MERGE_GPM,2009,1,196.31
MERGE_GPM,2009,2,299.75
MERGE_GPM,2009,3,290.38
