TIPO,year,month,accumulate
MERGE_GPM,2000,6,0
MERGE_GPM,2000,7,5.25
MERGE_GPM,2000,8,17.01
MERGE_GPM,2000,9,71.75
MERGE_GPM,2000,10,85.38
MERGE_GPM,2000,11,285.5
MERGE_GPM,2000,12,307.92
MERGE_GPM,2001,1,141.45
MERGE_GPM,2001,2,137.38
MERGE_GPM,2001,3,237
MERGE_GPM,2001,4,48.42
MERGE_GPM,2001,5,36.79
MERGE_GPM,2001,6,1.24
MERGE_GPM,2001,7,1.56
MERGE_GPM,2001,8,9.46
MERGE_GPM,2001,9,56.58
MERGE_GPM,2001,10,180.91
MERGE_GPM,2001,11,251.58
MERGE_GPM,2001,12,238.65
MERGE_GPM,2002,1,202.49
MERGE_GPM,2002,2,178.41
MERGE_GPM,2002,3,144.08
MERGE_GPM,2002,4,52.06
MERGE_GPM,2002,5,19.76
MERGE_GPM,2002,6,0.21
MERGE_GPM,2002,7,1.84
MERGE_GPM,2002,8,3.68
MERGE_GPM,2002,9,45.4
MERGE_GPM,2002,10,46.57
MERGE_GPM,2002,11,130.75
MERGE_GPM,2002,12,203.32
MERGE_GPM,2003,1,238.65
MERGE_GPM,2003,2,165.69
MERGE_GPM,2003,3,212.76
MERGE_GPM,2003,4,75.65
MERGE_GPM,2003,5,11.33
MERGE_GPM,2003,6,0.82
MERGE_GPM,2003,7,0.5
MERGE_GPM,2003,8,22.23
MERGE_GPM,2003,9,20.02
MERGE_GPM,2003,10,80.79
MERGE_GPM,2003,11,196.68
MERGE_GPM,2003,12,183.43
MERGE_GPM,2004,1,402.92
MERGE_GPM,2004,2,385.6
MERGE_GPM,2004,3,227.82
MERGE_GPM,2004,4,124.23
MERGE_GPM,2004,5,15.11
MERGE_GPM,2004,6,3.41
MERGE_GPM,2004,7,1.51
MERGE_GPM,2004,8,0.51
MERGE_GPM,2004,9,1.85
MERGE_GPM,2004,10,150.96
MERGE_GPM,2004,11,116.66
MERGE_GPM,2004,12,162.5
MERGE_GPM,2005,1,255.91
MERGE_GPM,2005,2,122.05
MERGE_GPM,2005,3,199.23
MERGE_GPM,2005,4,108.79
MERGE_GPM,2005,5,25.93
MERGE_GPM,2005,6,3.55
MERGE_GPM,2005,7,0.47
MERGE_GPM,2005,8,15.39
MERGE_GPM,2005,9,70.68
MERGE_GPM,2005,10,55.03
MERGE_GPM,2005,11,233.22
MERGE_GPM,2005,12,341.03
MERGE_GPM,2006,1,108.11
MERGE_GPM,2006,2,173.13
MERGE_GPM,2006,3,185.78
MERGE_GPM,2006,4,101.29
MERGE_GPM,2006,5,10.68
MERGE_GPM,2006,6,0.41
MERGE_GPM,2006,7,0.02
MERGE_GPM,2006,8,6.27
MERGE_GPM,2006,9,76.01
MERGE_GPM,2006,10,253.48
MERGE_GPM,2006,11,197.89
MERGE_GPM,2006,12,170.33
MERGE_GPM,2007,1,182.79
MERGE_GPM,2007,2,239.94
MERGE_GPM,2007,3,64.23
MERGE_GPM,2007,4,81.51
MERGE_GPM,2007,5,7.04
MERGE_GPM,2007,6,3.46
MERGE_GPM,2007,7,1.35
MERGE_GPM,2007,8,5.31
MERGE_GPM,2007,9,4.35
MERGE_GPM,2007,10,63.64
MERGE_GPM,2007,11,150.07
MERGE_GPM,2007,12,176.94
MERGE_GPM,2008,1,192.49
MERGE_GPM,2008,2,212.04
MERGE_GPM,2008,3,211.27
MERGE_GPM,2008,4,118.27
MERGE_GPM,2008,5,3.79
MERGE_GPM,2008,6,0.09
MERGE_GPM,2008,7,0.63
MERGE_GPM,2008,8,0.38
MERGE_GPM,2008,9,29.87
MERGE_GPM,2008,10,41.32
MERGE_GPM,2008,11,214.51
MERGE_GPM,2008,12,202.33
MERGE_GPM,2009,1,231.19
MERGE_GPM,2009,2,202.29
MERGE_GPM,2009,3,197.65
MERGE_GPM,2009,4,217.28
MERGE_GPM,2009,5,44.43
MERGE_GPM,2009,6,30.98
MERGE_GPM,2009,7,20.3
MERGE_GPM,2009,8,48.84
MERGE_GPM,2009,9,78.79
MERGE_GPM,2009,10,255.01
MERGE_GPM,2009,11,177.46
MERGE_GPM,2009,12,284.47
MERGE_GPM,2010,1,202.02
MERGE_GPM,2010,2,96.68
MERGE_GPM,2010,3,185.07
MERGE_GPM,2010,4,100.17
MERGE_GPM,2010,5,8.09
MERGE_GPM,2010,6,4
MERGE_GPM,2010,7,3.27
MERGE_GPM,2010,8,0.1
MERGE_GPM,2010,9,11.28
MERGE_GPM,2010,10,137.51
MERGE_GPM,2010,11,268.96
MERGE_GPM,2010,12,277.38
MERGE_GPM,2011,1,162.67
MERGE_GPM,2011,2,117.69
MERGE_GPM,2011,3,189.89
MERGE_GPM,2011,4,51.73
MERGE_GPM,2011,5,19.5
MERGE_GPM,2011,6,16.95
MERGE_GPM,2011,7,0.15
MERGE_GPM,2011,8,0.18
MERGE_GPM,2011,9,3.33
MERGE_GPM,2011,10,185.57
MERGE_GPM,2011,11,237.03
MERGE_GPM,2011,12,253.8
MERGE_GPM,2012,1,298.4
MERGE_GPM,2012,2,134.46
MERGE_GPM,2012,3,143.05
MERGE_GPM,2012,4,53.29
MERGE_GPM,2012,5,14.89
MERGE_GPM,2012,6,16.97
MERGE_GPM,2012,7,16.86
MERGE_GPM,2012,8,0.66
MERGE_GPM,2012,9,17.75
MERGE_GPM,2012,10,64.98
MERGE_GPM,2012,11,281.43
MERGE_GPM,2012,12,157.17
MERGE_GPM,2013,1,348.64
MERGE_GPM,2013,2,130.86
MERGE_GPM,2013,3,190.94
MERGE_GPM,2013,4,65.36
MERGE_GPM,2013,5,28.56
MERGE_GPM,2013,6,21.23
MERGE_GPM,2013,7,0.65
MERGE_GPM,2013,8,3.07
MERGE_GPM,2013,9,25.8
MERGE_GPM,2013,10,127.6
MERGE_GPM,2013,11,183.27
MERGE_GPM,2013,12,273.71
MERGE_GPM,2014,1,130.89
MERGE_GPM,2014,2,180.25
MERGE_GPM,2014,3,184.26
MERGE_GPM,2014,4,127.48
MERGE_GPM,2014,5,11.01
MERGE_GPM,2014,6,2.29
MERGE_GPM,2014,7,1.93
MERGE_GPM,2014,8,0.51
MERGE_GPM,2014,9,37.16
MERGE_GPM,2014,10,68.42
MERGE_GPM,2014,11,185.48
MERGE_GPM,2014,12,190.22
MERGE_GPM,2015,1,64.34
MERGE_GPM,2015,2,182.21
MERGE_GPM,2015,3,211.28
MERGE_GPM,2015,4,132.88
MERGE_GPM,2015,5,46.73
MERGE_GPM,2015,6,1.61
MERGE_GPM,2015,7,4.34
MERGE_GPM,2015,8,7.74
MERGE_GPM,2015,9,21.6
MERGE_GPM,2015,10,73.3
MERGE_GPM,2015,11,163.37
MERGE_GPM,2015,12,138.44
MERGE_GPM,2016,1,425.18
MERGE_GPM,2016,2,96.93
MERGE_GPM,2016,3,169.37
MERGE_GPM,2016,4,17.07
MERGE_GPM,2016,5,5.21
MERGE_GPM,2016,6,3.41
MERGE_GPM,2016,7,18.55
MERGE_GPM,2016,8,13.61
MERGE_GPM,2016,9,52.48
MERGE_GPM,2016,10,104.2
MERGE_GPM,2016,11,185.91
MERGE_GPM,2016,12,93.77
MERGE_GPM,2017,1,120.48
MERGE_GPM,2017,2,149.67
MERGE_GPM,2017,3,129.28
MERGE_GPM,2017,4,83.79
MERGE_GPM,2017,5,34.6
MERGE_GPM,2017,6,1.43
MERGE_GPM,2017,7,7.22
MERGE_GPM,2017,8,11.49
MERGE_GPM,2017,9,2.92
MERGE_GPM,2017,10,34.06
MERGE_GPM,2017,11,222.61
MERGE_GPM,2017,12,225.88
MERGE_GPM,2018,1,127.1
MERGE_GPM,2018,2,153.63
MERGE_GPM,2018,3,188.43
MERGE_GPM,2018,4,78.03
MERGE_GPM,2018,5,26.24
MERGE_GPM,2018,6,0.01
MERGE_GPM,2018,7,0
MERGE_GPM,2018,8,15.12
MERGE_GPM,2018,9,17.93
MERGE_GPM,2018,10,164.83
MERGE_GPM,2018,11,230.32
MERGE_GPM,2018,12,221.92
MERGE_GPM,2019,1,106.7
MERGE_GPM,2019,2,162.38
MERGE_GPM,2019,3,257.04
MERGE_GPM,2019,4,165.58
MERGE_GPM,2019,5,32.54
MERGE_GPM,2019,6,0.23
MERGE_GPM,2019,7,0.49
MERGE_GPM,2019,8,0.68
MERGE_GPM,2019,9,7.32
MERGE_GPM,2019,10,91
MERGE_GPM,2019,11,151.85
MERGE_GPM,2019,12,150.58
MERGE_GPM,2020,1,330.5
MERGE_GPM,2020,2,305.4
MERGE_GPM,2020,3,320.96
MERGE_GPM,2020,4,148.73
MERGE_GPM,2020,5,22.52
MERGE_GPM,2020,6,0.38
MERGE_GPM,2020,7,0.01
MERGE_GPM,2020,8,0.02
MERGE_GPM,2020,9,23.68
MERGE_GPM,2020,10,129.05
MERGE_GPM,2020,11,189.25
MERGE_GPM,2020,12,172.71
