,year_month,accumulate_riotocantins,accumulate_serra,Tocantins_total
0,200006,148.1,0.0,148.1
1,200007,187.92,5.25,193.17
2,200008,39.54,17.01,56.55
3,200009,73.11,71.75,144.86
4,200010,32.31,85.38,117.69
5,200011,51.95,285.5,337.45
6,200012,198.72,307.92,506.64
7,200101,434.16,141.45,575.61
8,200102,377.84,137.38,515.22
9,200103,460.48,237.0,697.48
10,200104,426.77,48.42,475.19
11,200105,223.99,36.79,260.78000000000003
12,200106,187.29,1.24,188.53
13,200107,101.6,1.56,103.16
14,200108,16.19,9.46,25.650000000000002
15,200109,109.11,56.58,165.69
16,200110,66.55,180.91,247.45999999999998
17,200111,63.19,251.58,314.77
18,200112,190.02,238.65,428.67
19,200201,351.54,202.49,554.03
20,200202,240.67,178.41,419.08
21,200203,408.96,144.08,553.04
22,200204,391.06,52.06,443.12
23,200205,251.12,19.76,270.88
24,200206,201.75,0.21,201.96
25,200207,109.63,1.84,111.47
26,200208,84.32,3.68,88.0
27,200209,40.52,45.4,85.92
28,200210,40.46,46.57,87.03
29,200211,80.58,130.75,211.32999999999998
30,200212,210.67,203.32,413.99
31,200301,120.85,238.65,359.5
32,200302,338.93,165.69,504.62
33,200303,307.89,212.76,520.65
34,200304,267.96,75.65,343.61
35,200305,174.69,11.33,186.02
36,200306,159.68,0.82,160.5
37,200307,51.74,0.5,52.24
38,200308,80.12,22.23,102.35000000000001
39,200309,79.21,20.02,99.22999999999999
40,200310,51.53,80.79,132.32
41,200311,74.73,196.68,271.41
42,200312,96.33,183.43,279.76
43,200401,190.02,402.92,592.94
44,200402,383.92,385.6,769.52
45,200403,269.77,227.82,497.59
46,200404,268.82,124.23,393.05
47,200405,206.99,15.11,222.10000000000002
48,200406,111.98,3.41,115.39
49,200407,103.87,1.51,105.38000000000001
50,200408,70.09,0.51,70.60000000000001
51,200409,78.77,1.85,80.61999999999999
52,200410,41.19,150.96,192.15
53,200411,38.39,116.66,155.05
54,200412,94.9,162.5,257.4
55,200501,132.9,255.91,388.81
56,200502,250.23,122.05,372.28
57,200503,247.07,199.23,446.29999999999995
58,200504,348.7,108.79,457.49
59,200505,294.74,25.93,320.67
60,200506,123.88,3.55,127.42999999999999
61,200507,108.45,0.47,108.92
62,200508,47.67,15.39,63.06
63,200509,31.93,70.68,102.61000000000001
64,200510,33.68,55.03,88.71000000000001
65,200511,45.09,233.22,278.31
66,200512,240.65,341.03,581.68
67,200601,254.03,108.11,362.14
68,200602,216.06,173.13,389.19
69,200603,340.55,185.78,526.33
70,200604,445.97,101.29,547.26
71,200605,275.47,10.68,286.15000000000003
72,200606,64.45,0.41,64.86
73,200607,64.52,0.02,64.53999999999999
74,200608,50.28,6.27,56.55
75,200609,63.84,76.01,139.85000000000002
76,200610,65.33,253.48,318.81
77,200611,180.97,197.89,378.86
78,200612,190.35,170.33,360.68
79,200701,99.74,182.79,282.53
80,200702,400.81,239.94,640.75
81,200703,347.46,64.23,411.69
82,200704,322.15,81.51,403.65999999999997
83,200705,152.43,7.04,159.47
84,200706,82.11,3.46,85.57
85,200707,87.66,1.35,89.00999999999999
86,200708,52.86,5.31,58.17
87,200709,26.27,4.35,30.619999999999997
88,200710,95.12,63.64,158.76
89,200711,39.75,150.07,189.82
90,200712,230.17,176.94,407.11
91,200801,325.63,192.49,518.12
92,200802,302.67,212.04,514.71
93,200803,444.37,211.27,655.64
94,200804,274.44,118.27,392.71
95,200805,229.18,3.79,232.97
96,200806,170.61,0.09,170.70000000000002
97,200807,44.54,0.63,45.17
98,200808,40.0,0.38,40.38
99,200809,62.57,29.87,92.44
100,200810,56.32,41.32,97.64
101,200811,58.72,214.51,273.23
102,200812,149.74,202.33,352.07000000000005
103,200901,300.59,231.19,531.78
104,200902,330.23,202.29,532.52
105,200903,414.08,197.65,611.73
106,200904,320.86,217.28,538.14
107,200905,325.24,44.43,369.67
108,200906,186.82,30.98,217.79999999999998
109,200907,75.38,20.3,95.67999999999999
