date,date,year,month,furnas,marimbondo,paraibuna,solteira,itaipu,sao_simao,emborcacao,s_do_facao,batalha,itumbiara,nova_ponte,chavantes,tres_marias,tres_irmaos,b_bonita,serra_da_mesa
2000-06-01,2000-06-01,2000,6,1.29,2.45,4.99,33.49,60.73,0.05,0.43,0.43,0.43,1.13,1.13,57.85,0.79,8.55,8.55,0.0
2000-07-01,2000-07-01,2000,7,27.65,33.8,65.4,37.72,56.22,8.9,6.19,6.19,6.19,10.8,10.8,62.34,9.6,54.76,54.76,5.25
2000-08-01,2000-08-01,2000,8,31.37,38.27,72.96,48.67,108.89,22.12,22.61,22.61,22.61,12.7,12.7,108.46,19.9,65.27,65.27,17.01
2000-09-01,2000-09-01,2000,9,112.16,114.11,106.99,131.92,177.23,86.88,94.81,94.81,94.81,119.55,119.55,166.21,73.28,126.68,126.68,71.75
2000-10-01,2000-10-01,2000,10,57.99,44.25,77.22,36.48,113.33,51.57,50.11,50.11,50.11,57.13,57.13,103.55,38.03,51.74,51.74,85.38
2000-11-01,2000-11-01,2000,11,219.02,201.46,204.39,142.59,151.04,240.55,246.4,246.4,246.4,211.67,211.67,154.33,250.76,205.22,205.22,285.5
2000-12-01,2000-12-01,2000,12,228.24,232.78,243.64,198.12,189.53,271.95,248.11,248.11,248.11,228.39,228.39,171.4,240.12,209.08,209.08,307.92
2001-01-01,2001-01-01,2001,1,145.93,161.73,141.82,142.71,177.99,166.86,128.5,128.5,128.5,192.76,192.76,104.83,150.54,184.38,184.38,141.45
2001-02-01,2001-02-01,2001,2,114.72,128.59,158.37,145.4,247.22,117.34,67.48,67.48,67.48,99.03,99.03,217.76,61.46,192.98,192.98,137.38
2001-03-01,2001-03-01,2001,3,155.73,142.14,166.3,161.51,155.05,185.47,215.5,215.5,215.5,207.61,207.61,121.67,146.69,139.15,139.15,237.0
2001-04-01,2001-04-01,2001,4,17.65,53.17,34.25,63.26,101.64,54.0,28.67,28.67,28.67,42.85,42.85,75.42,14.9,44.39,44.39,48.42
2001-05-01,2001-05-01,2001,5,56.17,72.54,66.33,112.42,111.27,83.2,41.44,41.44,41.44,60.34,60.34,157.83,44.97,83.63,83.63,36.79
2001-06-01,2001-06-01,2001,6,3.93,19.28,9.13,27.74,71.09,6.05,0.47,0.47,0.47,3.93,3.93,108.64,0.08,39.09,39.09,1.24
2001-07-01,2001-07-01,2001,7,5.28,10.68,48.8,21.86,43.76,1.57,1.24,1.24,1.24,8.64,8.64,76.54,5.83,41.32,41.32,1.56
2001-08-01,2001-08-01,2001,8,34.45,43.41,93.56,43.23,63.46,17.63,20.18,20.18,20.18,28.04,28.04,78.12,25.92,51.1,51.1,9.46
2001-09-01,2001-09-01,2001,9,67.87,69.3,66.14,64.4,111.73,66.88,46.46,46.46,46.46,66.0,66.0,79.16,49.93,69.98,69.98,56.58
2001-10-01,2001-10-01,2001,10,123.45,156.52,108.21,85.1,95.31,126.97,86.05,86.05,86.05,118.7,118.7,159.98,104.34,155.99,155.99,180.91
2001-11-01,2001-11-01,2001,11,208.34,177.11,137.07,159.66,189.25,222.24,234.07,234.07,234.07,200.89,200.89,118.04,256.52,143.29,143.29,251.58
2001-12-01,2001-12-01,2001,12,296.66,251.71,181.88,244.01,183.62,217.6,281.71,281.71,281.71,321.32,321.32,218.39,299.73,250.28,250.28,238.65
