Date,Influent Flow (m^3/s)
1/1/2015,430.96
1/2/2015,303.48
1/3/2015,293.71
1/4/2015,291.84
1/5/2015,280.47
1/6/2015,225.53
1/7/2015,289.47
1/8/2015,253
1/9/2015,314.94
1/10/2015,408.12
1/11/2015,243.81
1/12/2015,189.19
1/13/2015,156.41
1/14/2015,192.75
1/15/2015,213.46
1/16/2015,188.08
1/17/2015,213.27
1/18/2015,148
1/19/2015,114.55
1/20/2015,103.53
1/21/2015,100.29
1/22/2015,128.01
1/23/2015,119.4
1/24/2015,249.6
1/25/2015,218.11
1/26/2015,331.49
1/27/2015,331.8
1/28/2015,489.91
1/29/2015,385.31
1/30/2015,437.38
1/31/2015,232.57
2/1/2015,203.61
2/2/2015,194.08
2/3/2015,217.69
2/4/2015,314
2/5/2015,290
2/6/2015,319.69
2/7/2015,630.84
2/8/2015,567.79
2/9/2015,526.92
2/10/2015,530.07
2/11/2015,645.31
2/12/2015,707.62
2/13/2015,704.97
2/14/2015,586.35
2/15/2015,540.38
2/16/2015,641.26
2/17/2015,637.03
2/18/2015,1410.2
2/19/2015,1456.44
2/20/2015,1151.44
2/21/2015,827.67
2/22/2015,666.16
2/23/2015,488.63
2/24/2015,388
2/25/2015,409.81
2/26/2015,428.52
2/27/2015,567.62
2/28/2015,521.72
3/1/2015,459.79
3/2/2015,530.61
3/3/2015,456.99
3/4/2015,372.01
3/5/2015,353.13
3/6/2015,344.26
3/7/2015,368.47
3/8/2015,631.43
3/9/2015,853.29
3/10/2015,797.93
3/11/2015,910.23
3/12/2015,729.59
3/13/2015,595.2
3/14/2015,667.71
3/15/2015,636.73
3/16/2015,571.06
3/17/2015,571.03
3/18/2015,684.43
3/19/2015,691.81
3/20/2015,575.74
3/21/2015,678.52
3/22/2015,706.78
3/23/2015,643.75
3/24/2015,583.38
3/25/2015,530.25
3/26/2015,444.07
3/27/2015,411.23
3/28/2015,369.89
3/29/2015,366.14
3/30/2015,340.04
3/31/2015,328
4/1/2015,387.18
4/2/2015,326.29
4/3/2015,302.53
4/4/2015,259.47
4/5/2015,245.71
4/6/2015,254.9
4/7/2015,230.37
4/8/2015,241.84
4/9/2015,258.39
4/10/2015,193.8
4/11/2015,190.8
4/12/2015,222.82
4/13/2015,187.91
4/14/2015,186.26
4/15/2015,190.61
4/16/2015,190.32
4/17/2015,203.19
4/18/2015,359.89
4/19/2015,223.59
4/20/2015,247.25
4/21/2015,257.55
4/22/2015,307
4/23/2015,269.41
4/24/2015,326.83
4/25/2015,231.02
4/26/2015,226.49
4/27/2015,198.55
4/28/2015,176.26
4/29/2015,168.48
4/30/2015,152.52
5/1/2015,143.52
5/2/2015,143.52
5/3/2015,143.75
5/4/2015,161.99
5/5/2015,178.01
5/6/2015,210.62
5/7/2015,210.96
5/8/2015,176.7
5/9/2015,211.54
5/10/2015,211.89
5/11/2015,213.12
5/12/2015,284.49
5/13/2015,319.37
5/14/2015,263.63
5/15/2015,214.49
5/16/2015,227.19
5/17/2015,207.3
5/18/2015,203.3
5/19/2015,200
5/20/2015,210.7
5/21/2015,205
5/22/2015,166.7
5/23/2015,170.6
5/24/2015,182.02
5/25/2015,171.28
5/26/2015,127.4
5/27/2015,164
5/28/2015,183.02
5/29/2015,185.13
5/30/2015,253.31
5/31/2015,316.89
6/1/2015,316.94
6/2/2015,301.41
6/3/2015,293.76
6/4/2015,268.17
6/5/2015,243
6/6/2015,221
6/7/2015,196.52
6/8/2015,154.12
6/9/2015,151
6/10/2015,151.12
6/11/2015,150.24
6/12/2015,149.12
6/13/2015,143.88
6/14/2015,128.76
6/15/2015,111.36
6/16/2015,145.24
6/17/2015,182
6/18/2015,185
6/19/2015,130.47
6/20/2015,113.76
6/21/2015,149.53
6/22/2015,122.47
6/23/2015,153.24
6/24/2015,147.24
6/25/2015,142.94
6/26/2015,167
6/27/2015,136.3
6/28/2015,125.76
6/29/2015,116
6/30/2015,115
7/1/2015,130.24
7/2/2015,179
7/3/2015,181
7/4/2015,219.06
7/5/2015,488.91
7/6/2015,321
7/7/2015,312.25
7/8/2015,274.24
7/9/2015,293.75
7/10/2015,292
7/11/2015,288.12
7/12/2015,248.75
7/13/2015,226.12
7/14/2015,211.83
7/15/2015,207.94
7/16/2015,200.41
7/17/2015,159.7
7/18/2015,165.94
7/19/2015,183.06
7/20/2015,147.4
7/21/2015,154.52
7/22/2015,146.75
7/23/2015,131.56
7/24/2015,146.4
7/25/2015,174.3
7/26/2015,165.3
7/27/2015,322.02
7/28/2015,195.7
7/29/2015,170.28
7/30/2015,160
7/31/2015,154.4
8/1/2015,142
8/2/2015,148
8/3/2015,135.33
8/4/2015,127.44
8/5/2015,142.68
8/6/2015,145.25
8/7/2015,126.68
8/8/2015,123.98
8/9/2015,133.93
8/10/2015,100.3
8/11/2015,103.53
8/12/2015,112.32
8/13/2015,107.85
8/14/2015,102.33
8/15/2015,101.51
8/16/2015,113.49
8/17/2015,104.01
8/18/2015,99.59
8/19/2015,97.19
8/20/2015,100.54
8/21/2015,101.86
8/22/2015,88.26
8/23/2015,97.91
8/24/2015,115.26
8/25/2015,94.02
8/26/2015,125.16
8/27/2015,168.07
8/28/2015,168.74
8/29/2015,299.69
8/30/2015,173.81
8/31/2015,118.06
9/1/2015,72.74
9/2/2015,113
9/3/2015,97.59
9/4/2015,112.63
9/5/2015,124.55
9/6/2015,178.87
9/7/2015,197.74
9/8/2015,284.99
9/9/2015,430.92
9/10/2015,887.71
9/11/2015,1107.7
9/12/2015,945.96
9/13/2015,984.94
9/14/2015,694.47
9/15/2015,457.95
9/16/2015,363.21
9/17/2015,298.49
9/18/2015,234.88
9/19/2015,202.34
9/20/2015,144.39
9/21/2015,98.73
9/22/2015,99.38
9/23/2015,113.42
9/24/2015,130.46
9/25/2015,109.59
9/26/2015,138.66
9/27/2015,219.68
9/28/2015,440.27
9/29/2015,365
9/30/2015,540.1
10/1/2015,440.5
10/2/2015,420.41
10/3/2015,466.05
10/4/2015,372.34
10/5/2015,433.13
10/6/2015,231.64
10/7/2015,212.77
10/8/2015,164.92
10/9/2015,156.86
10/10/2015,156.2
10/11/2015,138
10/12/2015,108.29
10/13/2015,90.51
10/14/2015,100.5
10/15/2015,104.81
10/16/2015,102.78
10/17/2015,91.23
10/18/2015,108.75
10/19/2015,103.73
10/20/2015,79.45
10/21/2015,91.65
10/22/2015,158.52
10/23/2015,286.9
10/24/2015,490.88
10/25/2015,250.57
10/26/2015,172.65
10/27/2015,157.02
10/28/2015,365
10/29/2015,196.82
10/30/2015,171.94
10/31/2015,156.77
11/1/2015,208.51
11/2/2015,258.51
11/3/2015,505.92
11/4/2015,791.52
11/5/2015,714.12
11/6/2015,741.51
11/7/2015,690.71
11/8/2015,513.45
11/9/2015,521.12
11/10/2015,355.71
11/11/2015,417.2
11/12/2015,294
11/13/2015,307.34
11/14/2015,372.83
11/15/2015,370.14
11/16/2015,413.89
11/17/2015,375.06
11/18/2015,386.4
11/19/2015,433.51
11/20/2015,673.03
11/21/2015,454.78
11/22/2015,482.3
11/23/2015,574.63
11/24/2015,622.51
11/25/2015,823.05
11/26/2015,714.64
11/27/2015,571.68
