date,Maximum_Demand
2000-06-01,994753.2
2000-07-01,1015883.7
2000-08-01,1019456.7
2000-09-01,970196.6
2000-10-01,999622.9
2000-11-01,941106.5
2000-12-01,966365.9802
2001-01-01,963904.5012
2001-02-01,899329.07
2001-03-01,1028506.93
2001-04-01,996787.62
2001-05-01,960001.73
2001-06-01,761420.6
2001-07-01,767365.68
2001-08-01,774211.14
2001-09-01,747113.33
2001-10-01,768883.626
2001-11-01,749820.38
2001-12-01,773553.58
2002-01-01,815035.3101
2002-02-01,768970.8299
2002-03-01,910226.4099
2002-04-01,912340.2
2002-05-01,948199.81
2002-06-01,928093.6099
2002-07-01,940325.87
2002-08-01,954382.69
2002-09-01,911988.32
2002-10-01,980199.4699
2002-11-01,920754.1001
2002-12-01,921199.75
2003-01-01,917027.08
2003-02-01,883645.18
2003-03-01,974594.61
2003-04-01,960822.766
2003-05-01,999447.91
2003-06-01,973330.09
2003-07-01,998593.1601
2003-08-01,987159.7801
2003-09-01,964354.4299
2003-10-01,998754.5
2003-11-01,948794.3766
2003-12-01,968107.3
2004-01-01,952487.0201
2004-02-01,921364.5399
2004-03-01,1025564.65
2004-04-01,1002037.15
2004-05-01,1044545.33
2004-06-01,1023602.67
2004-07-01,1051792.05
2004-08-01,1061261.28
2004-09-01,1037793.428
2004-10-01,1055262.23
2004-11-01,1003446.84
2004-12-01,1019037.212
2005-01-01,1010550.42
2005-02-01,941957.9399
2005-03-01,1087123.39
2005-04-01,1071213.73
2005-05-01,1094258.52
2005-06-01,1064172.703
2005-07-01,1070381.85
2005-08-01,1098361.761
2005-09-01,1036343.616
2005-10-01,1070558.526
2005-11-01,1011732.193
2005-12-01,1039526.017
2006-01-01,1049939.75
2006-02-01,980263.673
2006-03-01,1116966.84
2006-04-01,1068389.75
2006-05-01,1109928.71
2006-06-01,1079629.85
2006-07-01,1124588.596
2006-08-01,1130513.53
2006-09-01,1065270.191
2006-10-01,1093670.071
2006-11-01,1055074.92
2006-12-01,1078099.573
2007-01-01,1079589.39
2007-02-01,1006534.68
2007-03-01,1177693.232
2007-04-01,1120066.24
2007-05-01,1151601.93
2007-06-01,1122481.96
2007-07-01,1144722.9
2007-08-01,1161985.832
2007-09-01,1124293.49
2007-10-01,1159241.21
2007-11-01,1091514.99
2007-12-01,1127325.42
2008-01-01,1106375.87
2008-02-01,1055018.149
2008-03-01,1162751.9
