Date,% Volume Used
1/1/2015,57.37
1/2/2015,57.56
1/3/2015,57.75
1/4/2015,58.42
1/5/2015,58.52
1/6/2015,58.42
1/7/2015,58.52
1/8/2015,58.52
1/9/2015,58.71
1/10/2015,59.38
1/11/2015,59.77
1/12/2015,59.38
1/13/2015,58.61
1/14/2015,58.14
1/15/2015,57.75
1/16/2015,57.09
1/17/2015,56.71
1/18/2015,56.71
1/19/2015,55.67
1/20/2015,54.73
1/21/2015,53.62
1/22/2015,52.78
1/23/2015,51.96
1/24/2015,51.77
1/25/2015,52.23
1/26/2015,52.05
1/27/2015,51.96
1/28/2015,52.32
1/29/2015,52.42
1/30/2015,52.78
1/31/2015,52.69
2/1/2015,53.06
2/2/2015,52.6
2/3/2015,52.51
2/4/2015,52.51
2/5/2015,52.51
2/6/2015,52.42
2/7/2015,53.34
2/8/2015,54.92
2/9/2015,55.67
2/10/2015,56.42
2/11/2015,57.56
2/12/2015,59
2/13/2015,60.35
2/14/2015,61.33
2/15/2015,62.8
2/16/2015,63.89
2/17/2015,65.68
2/18/2015,69.44
2/19/2015,73.28
2/20/2015,76.25
2/21/2015,78.29
2/22/2015,80.02
2/23/2015,80.46
2/24/2015,80.46
2/25/2015,80.67
2/26/2015,80.78
2/27/2015,81.33
2/28/2015,81.99
3/1/2015,82.98
3/2/2015,83.31
3/3/2015,83.42
3/4/2015,83.31
3/5/2015,83.2
3/6/2015,82.98
3/7/2015,83.54
3/8/2015,85.1
3/9/2015,87.01
3/10/2015,87.35
3/11/2015,88.14
3/12/2015,88.37
3/13/2015,88.26
3/14/2015,88.48
3/15/2015,89.28
3/16/2015,89.51
3/17/2015,89.63
3/18/2015,89.97
3/19/2015,90.43
3/20/2015,90.32
3/21/2015,90.55
3/22/2015,90.89
3/23/2015,91.13
3/24/2015,91.24
3/25/2015,91.01
3/26/2015,90.2
3/27/2015,89.4
3/28/2015,88.94
3/29/2015,89.51
3/30/2015,88.71
3/31/2015,88.71
4/1/2015,88.48
4/2/2015,88.26
4/3/2015,88.71
4/4/2015,88.26
4/5/2015,88.48
4/6/2015,87.92
4/7/2015,87.35
4/8/2015,87.8
4/9/2015,88.14
4/10/2015,88.26
4/11/2015,88.37
4/12/2015,88.6
4/13/2015,88.71
4/14/2015,88.37
4/15/2015,88.03
4/16/2015,87.12
4/17/2015,86.78
4/18/2015,87.8
4/19/2015,88.03
4/20/2015,87.46
4/21/2015,88.14
4/22/2015,88.14
4/23/2015,87.92
4/24/2015,88.83
4/25/2015,89.4
4/26/2015,89.97
4/27/2015,90.32
4/28/2015,90.43
4/29/2015,90.2
4/30/2015,90.43
