Date,Poured Flow (m^3/s)
1/1/2015,25
1/2/2015,25
1/3/2015,25
1/4/2015,25
1/5/2015,31
1/6/2015,29
1/7/2015,29
1/8/2015,29
1/9/2015,37
1/10/2015,61
1/11/2015,63
1/12/2015,82
1/13/2015,95
1/14/2015,95
1/15/2015,87
1/16/2015,87
1/17/2015,87
1/18/2015,80
1/19/2015,79
1/20/2015,41
1/21/2015,29
1/22/2015,10
1/23/2015,0
1/24/2015,0
1/25/2015,0
1/26/2015,0
1/27/2015,0
1/28/2015,4
1/29/2015,25
1/30/2015,25
1/31/2015,25
2/1/2015,25
2/2/2015,10
2/3/2015,0
2/4/2015,0
2/5/2015,14
2/6/2015,25
2/7/2015,25
2/8/2015,26
2/9/2015,29
2/10/2015,29
2/11/2015,29
2/12/2015,29
2/13/2015,29
2/14/2015,32
2/15/2015,32
2/16/2015,32
2/17/2015,33
2/18/2015,35
2/19/2015,36
2/20/2015,38
2/21/2015,38
2/22/2015,38
2/23/2015,12
2/24/2015,0
2/25/2015,0
2/26/2015,0
2/27/2015,0
2/28/2015,0
3/1/2015,0
3/2/2015,0
3/3/2015,0
3/4/2015,0
3/5/2015,0
3/6/2015,0
3/7/2015,0
3/8/2015,0
3/9/2015,0
3/10/2015,0
3/11/2015,0
3/12/2015,0
3/13/2015,0
3/14/2015,0
3/15/2015,27
3/16/2015,40
3/17/2015,40
3/18/2015,40
3/19/2015,40
3/20/2015,40
3/21/2015,40
3/22/2015,40
3/23/2015,40
3/24/2015,40
3/25/2015,40
3/26/2015,40
3/27/2015,40
3/28/2015,40
3/29/2015,40
3/30/2015,40
3/31/2015,40
4/1/2015,40
4/2/2015,40
4/3/2015,40
4/4/2015,40
4/5/2015,16
4/6/2015,0
4/7/2015,0
4/8/2015,0
4/9/2015,0
4/10/2015,0
4/11/2015,0
4/12/2015,0
4/13/2015,0
4/14/2015,0
4/15/2015,0
4/16/2015,0
4/17/2015,0
4/18/2015,0
4/19/2015,0
4/20/2015,0
4/21/2015,0
4/22/2015,0
4/23/2015,0
4/24/2015,0
4/25/2015,0
4/26/2015,0
4/27/2015,0
4/28/2015,0
4/29/2015,0
4/30/2015,0
5/1/2015,0
5/2/2015,0
5/3/2015,0
5/4/2015,0
5/5/2015,0
5/6/2015,0
5/7/2015,0
5/8/2015,0
5/9/2015,0
5/10/2015,0
5/11/2015,0
5/12/2015,0
5/13/2015,0
5/14/2015,0
5/15/2015,0
5/16/2015,0
5/17/2015,0
5/18/2015,0
5/19/2015,0
5/20/2015,0
5/21/2015,0
5/22/2015,0
5/23/2015,0
5/24/2015,0
5/25/2015,0
5/26/2015,0
5/27/2015,0
5/28/2015,0
5/29/2015,0
5/30/2015,0
5/31/2015,0
6/1/2015,0
6/2/2015,0
6/3/2015,0
6/4/2015,0
6/5/2015,0
6/6/2015,0
6/7/2015,0
6/8/2015,0
6/9/2015,0
6/10/2015,0
6/11/2015,0
6/12/2015,0
6/13/2015,0
6/14/2015,0
6/15/2015,0
6/16/2015,0
6/17/2015,0
6/18/2015,0
6/19/2015,0
6/20/2015,0
6/21/2015,0
6/22/2015,0
6/23/2015,0
6/24/2015,0
6/25/2015,0
6/26/2015,0
6/27/2015,0
6/28/2015,0
6/29/2015,0
6/30/2015,18
7/1/2015,157
7/2/2015,0
7/3/2015,0
7/4/2015,0
7/5/2015,0
7/6/2015,0
7/7/2015,0
7/8/2015,0
7/9/2015,0
7/10/2015,0
7/11/2015,0
7/12/2015,0
7/13/2015,0
7/14/2015,0
7/15/2015,0
7/16/2015,0
7/17/2015,0
7/18/2015,0
7/19/2015,0
7/20/2015,0
7/21/2015,0
7/22/2015,0
7/23/2015,0
7/24/2015,0
7/25/2015,0
7/26/2015,0
7/27/2015,0
7/28/2015,0
7/29/2015,0
7/30/2015,0
7/31/2015,0
8/1/2015,0
8/2/2015,0
8/3/2015,0
8/4/2015,0
8/5/2015,0
8/6/2015,0
8/7/2015,0
8/8/2015,0
8/9/2015,93
8/10/2015,0
8/11/2015,0
8/12/2015,187
8/13/2015,0
8/14/2015,78
8/15/2015,0
8/16/2015,0
8/17/2015,25
8/18/2015,40
8/19/2015,40
8/20/2015,40
8/21/2015,38
8/22/2015,0
8/23/2015,0
8/24/2015,0
8/25/2015,0
8/26/2015,0
8/27/2015,0
8/28/2015,45
8/29/2015,0
8/30/2015,0
8/31/2015,0
9/1/2015,0
9/2/2015,0
9/3/2015,0
9/4/2015,0
9/5/2015,0
9/6/2015,23
9/7/2015,0
9/8/2015,0
9/9/2015,24
9/10/2015,39
9/11/2015,40
9/12/2015,40
9/13/2015,41
9/14/2015,41
9/15/2015,41
9/16/2015,41
9/17/2015,41
9/18/2015,41
9/19/2015,41
9/20/2015,41
9/21/2015,41
9/22/2015,41
9/23/2015,40
9/24/2015,40
9/25/2015,40
9/26/2015,44
9/27/2015,48
9/28/2015,48
9/29/2015,48
9/30/2015,48
10/1/2015,48
10/2/2015,69
10/3/2015,48
10/4/2015,48
10/5/2015,48
10/6/2015,91
10/7/2015,138
10/8/2015,64
10/9/2015,48
10/10/2015,48
10/11/2015,48
10/12/2015,48
10/13/2015,48
10/14/2015,18
10/15/2015,0
10/16/2015,0
10/17/2015,0
10/18/2015,20
10/19/2015,23
10/20/2015,23
10/21/2015,23
10/22/2015,42
10/23/2015,42
10/24/2015,42
10/25/2015,42
10/26/2015,136
10/27/2015,43
10/28/2015,42
10/29/2015,46
10/30/2015,56
10/31/2015,58
11/1/2015,56
11/2/2015,56
11/3/2015,51
11/4/2015,36
11/5/2015,36
11/6/2015,36
11/7/2015,36
11/8/2015,36
11/9/2015,36
11/10/2015,36
11/11/2015,36
11/12/2015,36
11/13/2015,72
11/14/2015,38
11/15/2015,38
11/16/2015,38
11/17/2015,38
11/18/2015,38
11/19/2015,38
11/20/2015,38
11/21/2015,38
11/22/2015,38
11/23/2015,13
11/24/2015,0
11/25/2015,49
11/26/2015,182
11/27/2015,234
11/28/2015,233
11/29/2015,227
11/30/2015,228
12/1/2015,234
12/2/2015,234
12/3/2015,230
12/4/2015,227
12/5/2015,227
12/6/2015,227
12/7/2015,227
12/8/2015,221
12/9/2015,217
12/10/2015,217
12/11/2015,217
12/12/2015,217
12/13/2015,138
