,year_month,year,month,Grande_total,Paraiba_do_sul_total,Parana_total,Paranaiba_total,Paranapanema_total,SaoFrancisco_total,Tiete_total,Tocantins_total
0,200006,2000,6,10.120000000000001,6.94,33.49,19.519999999999996,163.45,129.60999999999999,46.459999999999994,148.1
1,200007,2000,7,121.67,85.28,37.72,66.11,223.07999999999998,95.46,91.3,193.17
2,200008,2000,8,185.06,110.69,48.67,103.03,405.81,84.58000000000001,137.42000000000002,56.55
3,200009,2000,9,530.08,203.03,131.92,436.16,672.0600000000001,137.89,243.49,144.86
4,200010,2000,10,156.8,153.56,36.48,231.96999999999997,353.19,42.64,89.52000000000001,117.69
5,200011,2000,11,784.73,396.69,142.59,1005.1199999999999,645.16,275.71,364.99,337.45
6,200012,2000,12,879.37,476.85,198.12,1138.21,745.3000000000001,326.48,384.66,506.64
7,200101,2001,1,623.99,308.47,142.71,814.52,564.74,159.81,321.09000000000003,575.61
8,200102,2001,2,455.9200000000001,287.13,145.4,634.11,926.47,69.08,336.99,515.22
9,200103,2001,3,596.2,322.08000000000004,161.51,953.02,543.11,194.12,316.73,697.48
10,200104,2001,4,140.06,67.03,63.26,308.99,246.56,53.79,120.42,475.19
11,200105,2001,5,327.54,128.95,112.42,345.9,587.81,57.18,192.89999999999998,260.78000000000003
12,200106,2001,6,46.04,13.700000000000001,27.74,52.04,378.07,164.73000000000002,78.78,188.53
13,200107,2001,7,31.490000000000002,55.26,21.86,25.41,231.18,130.96,85.3,103.16
14,200108,2001,8,141.66,107.85,43.23,88.06,284.42,109.26,83.89,25.650000000000002
15,200109,2001,9,251.76,112.87,64.4,273.85,301.58000000000004,64.17,132.05,165.69
16,200110,2001,10,516.77,184.27999999999997,85.1,453.42,527.69,194.02,249.5,247.45999999999998
17,200111,2001,11,873.24,336.0,159.66,895.8100000000001,472.95000000000005,261.13,319.53,314.77
18,200112,2001,12,1200.23,428.90999999999997,244.01,1226.02,884.71,342.44,481.11,428.67
19,200201,2002,1,935.5699999999999,416.36,190.83,1119.07,999.3100000000001,390.28999999999996,445.65,554.03
20,200202,2002,2,1266.42,356.82,227.52,1326.35,501.65999999999997,334.53999999999996,414.07000000000005,419.08
21,200203,2002,3,534.73,209.45,131.3,754.84,442.33000000000004,145.60999999999999,223.23,553.04
22,200204,2002,4,94.34,69.26,61.31,173.95000000000002,68.89,44.9,71.78,443.12
23,200205,2002,5,235.83999999999997,132.78,96.78,205.15999999999997,721.47,150.14000000000001,174.11,270.88
24,200206,2002,6,23.939999999999998,33.02,30.97,15.94,28.25,122.13,37.349999999999994,201.96
25,200207,2002,7,90.57,44.05,52.98,74.15,225.76,93.03999999999999,92.09,111.47
26,200208,2002,8,94.66,65.73,27.6,34.72,319.02,63.69,121.30000000000001,88.0
27,200209,2002,9,295.19,226.81,72.38,234.83,410.45,75.85,198.09,85.92
28,200210,2002,10,200.35,178.31,29.07,199.60000000000002,296.03999999999996,49.959999999999994,84.79,87.03
29,200211,2002,11,734.4200000000001,440.64,150.16,463.01,786.1099999999999,147.02,341.89,211.32999999999998
30,200212,2002,12,694.85,528.02,130.3,999.1199999999999,571.02,295.28,262.09,413.99
31,200301,2003,1,1837.1899999999998,638.38,363.25,1634.1,1149.75,343.51,689.27,359.5
32,200302,2003,2,491.69000000000005,100.67,121.35,842.06,733.08,131.20999999999998,236.45999999999998,504.62
33,200303,2003,3,838.6399999999999,318.02,180.49,1141.95,526.51,207.02,305.0,520.65
34,200304,2003,4,449.07,89.22,98.59,473.22999999999996,470.65000000000003,72.25999999999999,201.45999999999998,343.61
35,200305,2003,5,200.95999999999998,65.73,45.18,179.17000000000002,175.07,92.17,87.55,186.02
36,200306,2003,6,39.45,9.26,13.27,45.230000000000004,239.25,64.14,27.37,160.5
37,200307,2003,7,32.019999999999996,42.16,3.09,11.4,292.07,73.88,25.740000000000002,52.24
38,200308,2003,8,83.04999999999998,82.97,25.6,65.53,165.79999999999998,48.43,47.16,102.35000000000001
39,200309,2003,9,99.21000000000001,75.80000000000001,18.35,165.5,330.68,60.53,47.629999999999995,99.22999999999999
40,200310,2003,10,309.11,274.51,101.77,349.29999999999995,427.16,76.28999999999999,233.36,132.32
41,200311,2003,11,558.51,304.06,116.94,701.96,588.93,176.41,267.02,271.41
42,200312,2003,12,779.5699999999999,339.9,147.72,852.75,655.5999999999999,190.32,309.18,279.76
43,200401,2004,1,1053.67,454.34000000000003,257.28,1624.24,909.4399999999999,552.97,520.0799999999999,592.94
44,200402,2004,2,1020.6800000000001,508.67,153.02,1519.89,444.46,356.92,346.85,769.52
45,200403,2004,3,397.40999999999997,262.21,60.67,777.7,453.63,175.10000000000002,164.07999999999998,497.59
46,200404,2004,4,435.4,303.76,71.8,647.5899999999999,430.67,135.47,156.3,393.05
47,200405,2004,5,345.81,138.48000000000002,101.18,161.46,752.61,96.04,242.45,222.10000000000002
48,200406,2004,6,172.41,94.96000000000001,41.58,51.86,334.82,167.41000000000003,97.22999999999999,115.39
49,200407,2004,7,173.51,136.36,33.2,100.63000000000001,384.72,110.47,104.88,105.38000000000001
50,200408,2004,8,9.74,13.96,2.52,6.199999999999999,4.06,77.57000000000001,1.19,70.60000000000001
51,200409,2004,9,39.16,37.72,6.75,22.18,135.67,68.4,19.229999999999997,80.61999999999999
52,200410,2004,10,619.36,223.66,163.0,438.40999999999997,819.25,75.39,312.65999999999997,192.15
53,200411,2004,11,678.95,337.34000000000003,179.06,607.56,580.26,115.19999999999999,335.15,155.05
54,200412,2004,12,1207.62,401.17999999999995,247.12,1095.72,539.31,281.06,336.21000000000004,257.4
55,200501,2005,1,1710.8100000000002,528.64,412.38,1393.84,1344.1900000000003,324.23,642.74,388.81
56,200502,2005,2,256.27,182.14000000000001,42.97,450.13,115.77,121.13999999999999,101.28,372.28
57,200503,2005,3,643.3299999999999,171.19,105.42,812.86,267.55,304.94,186.47,446.29999999999995
58,200504,2005,4,137.57,187.01,36.58,223.02,235.89,99.42,146.24,457.49
59,200505,2005,5,446.02,157.93,90.11,252.18,417.77,284.03999999999996,179.6,320.67
60,200506,2005,6,90.9,76.11,26.61,78.86,171.57,158.48,78.58000000000001,127.42999999999999
61,200507,2005,7,136.25,92.79,54.27,23.380000000000003,189.05,93.97,43.58,108.92
62,200508,2005,8,29.68,27.82,7.84,47.98,108.71000000000001,97.0,22.549999999999997,63.06
63,200509,2005,9,325.68,152.07,71.48,259.47,742.02,80.91,145.99,102.61000000000001
64,200510,2005,10,409.45,181.12,126.11,365.46999999999997,848.5,66.2,332.81,88.71000000000001
65,200511,2005,11,592.1,269.65,158.11,958.49,311.07,219.59,216.29000000000002,278.31
66,200512,2005,12,991.5099999999999,412.55,300.44,1276.6299999999999,427.82,321.03,464.71000000000004,581.68
67,200601,2006,1,938.5099999999999,313.42,235.07,713.42,717.54,147.94,494.32,362.14
68,200602,2006,2,1147.74,456.12,391.06,920.65,749.63,158.28,543.0,389.19
69,200603,2006,3,768.24,305.4,150.29,1149.24,546.1800000000001,280.65,355.64,526.33
70,200604,2006,4,308.61,130.88,61.94,627.1100000000001,220.95,108.49000000000001,96.43,547.26
71,200605,2006,5,117.12,69.66,53.97,185.32999999999998,59.620000000000005,136.77,80.38,286.15000000000003
72,200606,2006,6,36.69,27.689999999999998,6.83,20.810000000000002,88.99000000000001,157.97,21.169999999999998,64.86
73,200607,2006,7,14.39,71.78,3.21,17.96,183.99,120.36,30.19,64.53999999999999
74,200608,2006,8,74.92,79.19,25.05,66.28999999999999,71.28,58.62,35.83,56.55
75,200609,2006,9,211.12,165.99,59.77,219.04999999999998,484.27,142.14999999999998,118.05000000000001,139.85000000000002
76,200610,2006,10,577.37,303.72,146.2,841.5600000000001,368.05,171.94,282.86,318.81
77,200611,2006,11,621.08,413.99,145.56,718.38,275.27,199.38,214.51,378.86
78,200612,2006,12,989.9499999999999,390.36,308.07,1097.53,593.6700000000001,321.8,537.31,360.68
79,200701,2007,1,1845.53,603.47,551.1,1197.49,879.31,346.51,809.33,282.53
80,200702,2007,2,552.66,217.96,156.4,1010.27,549.68,253.06,235.26999999999998,640.75
81,200703,2007,3,498.96,178.79,147.44,430.17999999999995,421.63,162.19,186.82,411.69
82,200704,2007,4,184.2,191.32,34.65,349.40000000000003,246.46,128.79000000000002,72.36,403.65999999999997
83,200705,2007,5,238.86999999999998,105.64,86.45,115.83000000000001,185.69,160.39000000000001,139.69,159.47
84,200706,2007,6,13.89,51.39,1.78,62.15,40.37,79.42,14.94,85.57
85,200707,2007,7,209.27999999999997,143.96,45.56,79.64,540.43,104.84,155.58,89.00999999999999
86,200708,2007,8,1.1400000000000001,27.83,0.48,20.55,22.189999999999998,105.31,1.85,58.17
87,200709,2007,9,29.880000000000003,68.37,8.93,51.83,63.24,47.769999999999996,24.58,30.619999999999997
88,200710,2007,10,252.61,236.69,50.56,296.58,224.2,52.95,96.80000000000001,158.76
89,200711,2007,11,502.53,304.31,102.82,495.03,591.98,123.72,236.68,189.82
90,200712,2007,12,649.6899999999999,319.84000000000003,165.15,807.45,634.65,210.1,232.07,407.11
91,200801,2008,1,1254.2,405.35,335.43,1042.69,701.8299999999999,319.67999999999995,437.15,518.12
92,200802,2008,2,894.5400000000001,422.48,179.08,1047.03,501.17999999999995,241.34,257.15,514.71
93,200803,2008,3,708.6399999999999,362.68,164.27,1128.05,375.45000000000005,378.29999999999995,317.86,655.64
94,200804,2008,4,459.51,236.94,113.16,673.07,353.48,172.3,286.59,392.71
95,200805,2008,5,116.64,34.23,47.16,144.33,214.26,187.61,75.64,232.97
96,200806,2008,6,34.43,62.84,2.35,22.18,162.1,87.49,34.46,170.70000000000002
97,200807,2008,7,3.05,8.69,0.11,6.67,48.529999999999994,113.31,0.42,45.17
98,200808,2008,8,70.66,86.14,22.31,28.470000000000002,399.52,65.69,70.98,40.38
99,200809,2008,9,109.86,119.1,11.48,111.36,192.38,79.27,45.010000000000005,92.44
100,200810,2008,10,324.9,203.89,101.63,303.34000000000003,395.49,42.660000000000004,171.39,97.64
101,200811,2008,11,438.09000000000003,403.28,102.67,540.84,355.71000000000004,172.58,154.78,273.23
102,200812,2008,12,824.1899999999999,492.92,153.53,979.56,276.44,381.01,181.05,352.07000000000005
103,200901,2009,1,1230.3799999999999,519.15,292.07,1148.31,1258.75,313.53,698.41,531.78
104,200902,2009,2,925.7900000000001,421.91999999999996,240.61,924.74,736.3700000000001,253.33,420.39,532.52
105,200903,2009,3,775.27,302.66999999999996,203.75,918.01,283.07,201.22,363.37,611.73
106,200904,2009,4,253.58,164.78,30.15,603.78,150.3,198.92000000000002,89.25,538.14
107,200905,2009,5,185.4,65.55,44.75,362.91999999999996,323.98,354.31,82.53999999999999,369.67
108,200906,2009,6,160.57999999999998,93.57,27.89,153.55,301.92,167.07,105.15,217.79999999999998
109,200907,2009,7,97.74000000000001,133.32999999999998,29.02,64.39,900.3,86.08999999999999,159.76999999999998,95.67999999999999
110,200908,2009,8,180.3,73.95,52.79,150.26,342.15999999999997,187.33,207.15,69.03
111,200909,2009,9,596.45,150.85000000000002,176.13,440.31,785.1400000000001,97.46,339.03999999999996,94.72
112,200910,2009,10,459.17999999999995,369.84000000000003,105.32,636.49,951.6700000000001,198.73999999999998,264.19,298.57
113,200911,2009,11,579.4300000000001,345.92,159.99,714.05,823.06,104.29,337.11,200.3
114,200912,2009,12,1217.5,600.28,286.9,1243.77,812.83,344.63,454.59000000000003,581.76
115,201001,2010,1,947.19,462.75,249.85,898.3100000000001,1171.57,198.11,521.92,550.83
116,201002,2010,2,448.96999999999997,223.33999999999997,152.03,513.03,536.65,124.15,253.07,343.78
117,201003,2010,3,665.0799999999999,424.69,147.25,895.3900000000001,575.62,254.22,259.53,402.53999999999996
118,201004,2010,4,182.42,204.26999999999998,43.45,401.19000000000005,318.41999999999996,223.95,115.82,398.48
119,201005,2010,5,70.39999999999999,72.43,16.16,95.46000000000001,166.95999999999998,102.47,32.56,182.14000000000001
120,201006,2010,6,40.53,44.56,7.86,59.650000000000006,97.5,224.5,23.25,58.16
121,201007,2010,7,37.25,115.65,1.3,18.849999999999998,221.02,128.34,54.059999999999995,56.290000000000006
122,201008,2010,8,2.2399999999999998,13.01,1.89,1.99,96.08000000000001,53.66,14.49,45.410000000000004
123,201009,2010,9,260.65999999999997,104.67,73.95,103.29,406.22999999999996,104.77000000000001,215.05,34.15
124,201010,2010,10,421.35999999999996,171.1,86.49,556.55,587.02,149.4,161.01999999999998,226.42
125,201011,2010,11,547.56,385.33,98.96,891.49,264.61,252.14,159.09,366.5
126,201012,2010,12,706.9100000000001,632.7,130.04,1004.3600000000001,973.0799999999999,294.81,324.98,414.73
127,201101,2011,1,1291.54,478.15,327.18,1056.9199999999998,795.24,259.43,668.96,419.72
128,201102,2011,2,720.36,227.64000000000001,260.15,811.3399999999999,757.48,132.24,270.09,350.51
129,201103,2011,3,1516.27,539.95,374.87,1716.83,391.75,400.93,475.31,516.3
130,201104,2011,4,351.61,227.37,107.77,503.55,335.78999999999996,219.42000000000002,216.67,403.61
131,201105,2011,5,45.43000000000001,63.34,16.36,118.05000000000001,40.25,178.76,17.23,249.8
132,201106,2011,6,126.59,54.53,45.63,107.80000000000001,271.52,68.58,101.94999999999999,99.58
133,201107,2011,7,1.6400000000000001,7.04,1.18,14.269999999999998,162.61,117.32000000000001,9.45,63.29
134,201108,2011,8,55.29,34.67,13.39,19.22,204.64000000000001,54.419999999999995,29.29,57.03
135,201109,2011,9,32.07000000000001,27.37,11.69,38.15,33.84,77.8,59.050000000000004,40.61
136,201110,2011,10,542.54,267.69,104.84,734.22,932.0999999999999,174.54000000000002,263.46,277.23
137,201111,2011,11,545.8,345.65999999999997,119.17,504.5,393.25000000000006,213.11,214.47,370.15999999999997
138,201112,2011,12,760.46,438.1,129.01,1006.35,267.58000000000004,367.36,276.16,317.3
139,201201,2012,1,1349.4,674.05,306.08,1244.44,789.0500000000001,287.09,430.75,595.56
140,201202,2012,2,340.17,143.91,69.33,689.04,472.57,110.09,162.05,494.78999999999996
141,201203,2012,3,394.33000000000004,290.65,86.35,704.63,286.76,148.37,117.96,559.4200000000001
142,201204,2012,4,323.01,129.34,78.88,329.21,421.29999999999995,65.73,142.35,328.83000000000004
143,201205,2012,5,214.37,162.98000000000002,59.29,168.19,241.4,89.15,136.87,159.20999999999998
144,201206,2012,6,441.21999999999997,133.73000000000002,139.09,254.98000000000002,1064.81,103.46000000000001,284.85,122.42999999999999
145,201207,2012,7,71.78,59.67,8.6,21.55,220.45999999999998,95.75,33.35,103.81
146,201208,2012,8,5.78,42.35,0.0,1.04,19.28,85.77,0.53,23.81
147,201209,2012,9,256.28,65.35,73.44,195.19,288.01,38.150000000000006,208.05,28.41
148,201210,2012,10,222.28000000000003,122.82,37.64,258.4,328.39,56.61,114.32000000000001,130.23000000000002
149,201211,2012,11,660.4000000000001,341.56,136.97,930.1800000000001,341.44,242.61999999999998,235.16,315.04
150,201212,2012,12,870.81,368.14,204.89,677.62,761.7,110.66,471.36,487.11
151,201301,2013,1,980.18,475.85,206.03,1259.95,543.75,297.25,376.77,662.22
152,201302,2013,2,669.19,319.4,211.74,601.73,869.71,72.65,406.37,416.55
153,201303,2013,3,783.12,450.59,203.63,977.8,636.12,180.25,339.15,542.8199999999999
154,201304,2013,4,306.05,122.07,53.87,523.09,620.78,184.78,196.18,424.91
155,201305,2013,5,257.43,108.39,34.29,209.05,445.43999999999994,146.78,114.61999999999999,309.74
156,201306,2013,6,239.91,64.33,105.48,108.77,693.6700000000001,92.3,167.16,156.88
157,201307,2013,7,114.71,117.67,23.31,23.38,310.02,142.97,58.74,117.75
158,201308,2013,8,12.55,34.17,0.33,9.29,21.72,76.94000000000001,4.38,43.63
159,201309,2013,9,218.60000000000002,107.44,48.81,102.61999999999999,384.62,65.36,115.45,74.96
160,201310,2013,10,409.90999999999997,227.64999999999998,92.36,493.28999999999996,575.95,187.34,221.64,177.19
161,201311,2013,11,561.33,327.67,99.8,679.07,369.88,151.06,217.41,345.88
162,201312,2013,12,668.3299999999999,553.08,169.34,932.16,263.15999999999997,302.48,289.61,368.03999999999996
163,201401,2014,1,445.6,212.62,165.77,502.08000000000004,615.73,79.65,252.81,378.94
164,201402,2014,2,368.95,116.77000000000001,113.74,552.13,415.1,51.28,143.85000000000002,519.87
165,201403,2014,3,582.5,198.66,257.91,785.12,581.68,112.52,457.98,500.15999999999997
166,201404,2014,4,276.12,211.64,43.96,593.4,488.65999999999997,164.44,90.38999999999999,516.64
167,201405,2014,5,81.24000000000001,61.21,26.76,110.23,341.76,139.60000000000002,82.61,295.9
168,201406,2014,6,23.000000000000004,44.71,7.79,24.740000000000006,225.52999999999997,77.46000000000001,11.0,124.13000000000001
169,201407,2014,7,221.54000000000002,88.91,84.34,257.49,259.07000000000005,128.29,105.18,62.98
170,201408,2014,8,11.79,45.269999999999996,0.47,6.6499999999999995,112.61000000000001,74.91,14.66,54.18
171,201409,2014,9,227.39000000000001,64.34,81.76,144.85000000000002,622.09,60.6,175.88,64.39
172,201410,2014,10,143.51,102.32,76.59,217.70000000000002,125.42,153.95000000000002,105.42,108.28999999999999
173,201411,2014,11,736.89,339.53,227.91,967.2,507.4,229.3,366.66999999999996,250.7
174,201412,2014,12,669.9000000000001,274.98,160.98,857.55,825.11,134.18,325.03999999999996,332.53999999999996
175,201501,2015,1,501.35,200.89,138.62,393.90999999999997,596.23,101.11,231.14,404.75
176,201502,2015,2,833.76,361.40999999999997,239.17,960.11,778.68,205.13,415.65,379.93
177,201503,2015,3,712.39,374.03,188.7,1004.39,697.8199999999999,190.47,355.65,373.37
178,201504,2015,4,213.2,148.34,47.85,480.18000000000006,202.99,68.61,113.19999999999999,373.79999999999995
179,201505,2015,5,325.37,115.9,111.75,333.71,393.26,107.45,171.82999999999998,214.2
180,201506,2015,6,85.87,72.4,33.49,88.36,63.17,86.7,52.68,112.3
181,201507,2015,7,130.53,48.599999999999994,54.91,72.37,708.13,109.66,122.60999999999999,108.53
182,201508,2015,8,46.949999999999996,76.57,13.95,22.700000000000003,150.84,30.400000000000002,30.7,41.9
183,201509,2015,9,438.76000000000005,192.24,99.9,239.28,778.62,84.81,268.89,48.39
184,201510,2015,10,286.20000000000005,152.70999999999998,63.39,262.15,777.86,79.96,173.01999999999998,85.17
185,201511,2015,11,880.01,328.56,265.98,837.1099999999999,1341.03,133.89,560.37,181.6
186,201512,2015,12,739.9399999999999,450.11,216.23,740.2700000000001,1000.3499999999999,199.04000000000002,456.28999999999996,201.31
187,201601,2016,1,1378.02,589.21,286.79,1595.9399999999998,1117.5,434.09000000000003,519.48,677.05
188,201602,2016,2,550.48,302.83,135.92,558.08,950.96,117.62,347.85,355.33
189,201603,2016,3,658.84,285.89,113.92,785.9000000000001,391.09000000000003,148.6,251.0,588.64
190,201604,2016,4,103.39999999999999,36.59,78.62,100.34,246.18,47.66,104.64000000000001,300.34
191,201605,2016,5,214.45000000000002,79.25999999999999,102.28,129.41,602.51,83.93,209.20999999999998,257.87
192,201606,2016,6,264.43,219.93,60.76,118.35,411.61,108.6,230.86,102.56
193,201607,2016,7,2.58,4.390000000000001,2.49,2.4599999999999995,129.32,46.31,11.98,78.51
194,201608,2016,8,116.96,56.010000000000005,31.77,89.55000000000001,380.38,25.59,88.92,33.599999999999994
195,201609,2016,9,86.32,89.44,67.17,90.13000000000001,209.87000000000003,40.769999999999996,139.97,83.09
196,201610,2016,10,422.79999999999995,203.75,76.17,446.12,531.98,103.04,195.87,146.51
197,201611,2016,11,609.65,466.17,104.96,793.5899999999999,244.92999999999998,171.27,224.16000000000003,277.47
198,201612,2016,12,822.9399999999999,396.78999999999996,214.01,894.41,646.07,179.92999999999998,348.97,518.86
199,201701,2017,1,1009.6800000000001,380.06,342.49,903.14,984.36,121.72,546.5799999999999,574.97
200,201702,2017,2,432.37,123.69,105.5,773.9300000000001,442.09999999999997,124.94,200.76,652.78
201,201703,2017,3,560.4200000000001,351.85,174.92,758.67,477.25,91.3,236.07999999999998,513.2
202,201704,2017,4,368.85,168.84,103.39,355.2,451.76,89.31,179.62,326.92
203,201705,2017,5,388.57,130.76,111.49,285.89,734.03,250.8,195.16,244.18
204,201706,2017,6,43.239999999999995,79.85,4.97,30.340000000000003,474.5,131.01,64.78,111.04
205,201707,2017,7,1.57,37.04,0.0,10.939999999999998,3.66,145.81,1.15,54.449999999999996
206,201708,2017,8,69.98,83.36,35.98,25.729999999999997,354.1,57.63,129.81,56.13
207,201709,2017,9,8.520000000000001,6.26,1.73,7.33,21.479999999999997,80.54,1.13,43.43
208,201710,2017,10,408.7,138.91000000000003,136.12,311.01,821.0799999999999,78.67999999999999,245.48000000000002,71.19
209,201711,2017,11,806.88,331.26,195.61,1037.65,617.27,159.64000000000001,356.02,242.95000000000002
210,201712,2017,12,901.22,308.35,276.39,966.31,710.52,241.20999999999998,403.45,501.89
211,201801,2018,1,916.4800000000001,515.45,227.42,838.54,957.7,197.76000000000002,419.1,376.69
212,201802,2018,2,539.16,412.98,122.31,961.79,384.61,284.5,163.76999999999998,609.27
213,201803,2018,3,408.82,447.67999999999995,64.09,622.52,689.4300000000001,173.71,172.51,529.22
214,201804,2018,4,169.88,175.41,47.02,514.93,88.31,81.64,62.760000000000005,492.64
215,201805,2018,5,78.98,71.69,13.58,93.69,154.89999999999998,80.52,23.74,375.3
216,201806,2018,6,29.3,80.17,0.31,9.940000000000001,134.44,51.03,12.67,112.49000000000001
217,201807,2018,7,5.14,44.739999999999995,0.0,4.23,7.890000000000001,43.46,1.03,131.19
218,201808,2018,8,184.31,173.73,21.73,64.61,483.11,45.72,97.53,101.14
219,201809,2018,9,325.84,168.74,97.32,285.09999999999997,422.94000000000005,59.87,184.49,64.97
220,201810,2018,10,644.37,316.49,135.6,717.3100000000001,750.9300000000001,130.46,293.90999999999997,199.29000000000002
221,201811,2018,11,954.0600000000001,452.03999999999996,216.18,1329.77,422.92,297.65000000000003,342.48,375.09000000000003
222,201812,2018,12,618.54,399.9,102.8,822.95,435.5,249.70000000000002,218.38,561.38
223,201901,2019,1,449.64,302.81,110.64,543.25,626.47,90.92,282.59000000000003,515.66
224,201902,2019,2,861.11,397.26,219.83,998.9000000000001,578.45,215.66,379.49,557.76
225,201903,2019,3,551.47,366.7,105.45,878.67,443.55999999999995,239.43,239.89,658.37
226,201904,2019,4,492.72,158.24,95.17,595.04,314.40999999999997,107.85,200.07,680.9300000000001
227,201905,2019,5,120.72000000000001,193.61,35.04,263.72,255.06,82.78999999999999,81.96000000000001,402.33000000000004
228,201906,2019,6,37.89,47.26,11.76,13.799999999999997,256.5,100.15,31.87,102.96000000000001
229,201907,2019,7,46.55,71.35000000000001,13.45,16.1,238.02,163.39000000000001,91.46000000000001,79.67999999999999
230,201908,2019,8,100.95000000000002,86.45,55.74,39.45,26.049999999999997,72.82,48.730000000000004,51.5
231,201909,2019,9,234.36,126.78,39.99,128.67,317.78000000000003,57.97,98.68,44.54
232,201910,2019,10,263.65,133.94,77.54,357.35999999999996,219.42999999999998,58.03,114.28,137.77
233,201911,2019,11,691.4899999999999,334.03,144.85,730.0500000000001,621.96,163.55,190.2,228.5
234,201912,2019,12,849.63,361.44,241.85,1115.8600000000001,692.22,217.25,465.89,377.59000000000003
235,202001,2020,1,893.75,425.46000000000004,194.71,1386.8400000000001,516.9300000000001,363.14000000000004,335.25,675.73
236,202002,2020,2,1171.44,518.36,205.09,1430.99,718.95,320.16,499.53,699.95
237,202003,2020,3,348.55999999999995,296.14,60.22,852.4699999999999,210.41000000000003,319.73,131.97,742.39
238,202004,2020,4,113.99,77.03,51.87,391.69000000000005,136.56,157.76,58.459999999999994,491.31999999999994
239,202005,2020,5,90.81,80.11,15.88,165.95000000000002,201.06999999999996,157.65,41.379999999999995,304.34
240,202006,2020,6,45.54,40.05,15.42,24.99,527.6800000000001,129.43,76.57,129.13
241,202007,2020,7,15.48,10.33,2.12,10.23,103.54999999999998,59.69,4.68,45.089999999999996
242,202008,2020,8,33.26,67.16,3.98,7.55,535.86,52.790000000000006,35.91,41.82
243,202009,2020,9,59.67999999999999,86.23,2.98,47.239999999999995,62.769999999999996,37.61,12.75,68.1
244,202010,2020,10,262.84000000000003,159.05,87.05,424.49,298.17,143.37,143.76,192.69
245,202011,2020,11,369.91999999999996,325.84,51.48,511.96999999999997,315.84000000000003,180.95,140.21,479.82
246,202012,2020,12,890.6600000000001,578.4200000000001,129.19,1147.04,680.48,226.01,275.91999999999996,326.33000000000004
