"","date","rain_mm_ES","rain_mm_MG","rain_mm_RJ","rain_mm_SP","rain_mm_DF","rain_mm_GO","rain_mm_MS","rain_mm_MT"
"1",2000-05-07,NA,NA,0,NA,0,NA,NA,NA
"2",2000-05-08,NA,NA,0,NA,0,NA,NA,NA
"3",2000-05-09,NA,NA,1.2,NA,0,NA,NA,NA
"4",2000-05-10,NA,NA,0,NA,0,NA,NA,NA
"5",2000-05-11,NA,NA,25.6,NA,0,NA,NA,NA
"6",2000-05-12,NA,NA,1.2,NA,0,NA,NA,NA
"7",2000-05-13,NA,NA,0,NA,0,NA,NA,NA
"8",2000-05-14,NA,NA,0,NA,0,NA,NA,NA
"9",2000-05-15,NA,NA,0,NA,0,NA,NA,NA
"10",2000-05-16,NA,NA,0,NA,0,NA,NA,NA
"11",2000-05-17,NA,NA,NA,NA,0,NA,NA,NA
"12",2000-05-18,NA,NA,NA,NA,0,NA,NA,NA
"13",2000-05-19,NA,NA,NA,NA,0,NA,NA,NA
"14",2000-05-20,NA,NA,NA,NA,NA,NA,NA,NA
"15",2000-05-21,NA,NA,NA,NA,NA,NA,NA,NA
"16",2000-05-22,NA,NA,NA,NA,0,NA,NA,NA
"17",2000-05-23,NA,NA,NA,NA,0,NA,NA,NA
"18",2000-05-24,NA,NA,0,NA,0,NA,NA,NA
"19",2000-05-25,NA,NA,0.2,NA,0,NA,NA,NA
"20",2000-05-26,NA,NA,0,NA,0,NA,NA,NA
"21",2000-05-27,NA,NA,NA,NA,0,NA,NA,NA
"22",2000-05-28,NA,NA,NA,NA,0,NA,NA,NA
"23",2000-05-29,NA,NA,0,NA,0,NA,NA,NA
"24",2000-05-30,NA,NA,0,NA,0,NA,NA,NA
"25",2000-05-31,NA,NA,0.2,NA,0,NA,NA,NA
"26",2000-06-01,NA,NA,1,NA,0,NA,NA,NA
"27",2000-06-02,NA,NA,0,NA,0,NA,NA,NA
"28",2000-06-03,NA,NA,0,NA,0,NA,NA,NA
"29",2000-06-04,NA,NA,0,NA,0,NA,NA,NA
"30",2000-06-05,NA,NA,0,NA,0,NA,NA,NA
"31",2000-06-06,NA,NA,0,NA,0,NA,NA,NA
"32",2000-06-07,NA,NA,0,NA,0,NA,NA,NA
"33",2000-06-08,NA,NA,0,NA,0,NA,NA,NA
"34",2000-06-09,NA,NA,0,NA,0,NA,NA,NA
"35",2000-06-10,NA,NA,0,NA,0,NA,NA,NA
"36",2000-06-11,NA,NA,0,NA,0,NA,NA,NA
"37",2000-06-12,NA,NA,0,NA,0,NA,NA,NA
"38",2000-06-13,NA,NA,0,NA,0,NA,NA,NA
"39",2000-06-14,NA,NA,0.2,NA,0,NA,NA,NA
"40",2000-06-15,NA,NA,0.2,NA,0,NA,NA,NA
"41",2000-06-16,NA,NA,0,NA,0,NA,NA,NA
"42",2000-06-17,NA,NA,0,NA,0,NA,NA,NA
"43",2000-06-18,NA,NA,0,NA,0,NA,NA,NA
"44",2000-06-19,NA,NA,0,NA,0,NA,NA,NA
"45",2000-06-20,NA,NA,0,NA,0,NA,NA,NA
"46",2000-06-21,NA,NA,1,NA,0,NA,NA,NA
"47",2000-06-22,NA,NA,0.2,NA,0,NA,NA,NA
"48",2000-06-23,NA,NA,0,NA,0,NA,NA,NA
"49",2000-06-24,NA,NA,0,NA,0,NA,NA,NA
"50",2000-06-25,NA,NA,0,NA,0,NA,NA,NA
"51",2000-06-26,NA,NA,0,NA,0,NA,NA,NA
"52",2000-06-27,NA,NA,0,NA,0,NA,NA,NA
"53",2000-06-28,NA,NA,0,NA,0,NA,NA,NA
"54",2000-06-29,NA,NA,0,NA,0,NA,NA,NA
"55",2000-06-30,NA,NA,0,NA,0,NA,NA,NA
"56",2000-07-01,NA,NA,0,NA,0,NA,NA,NA
"57",2000-07-02,NA,NA,0,NA,0,NA,NA,NA
"58",2000-07-03,NA,NA,0.2,NA,0,NA,NA,NA
"59",2000-07-04,NA,NA,7.6,NA,0,NA,NA,NA
"60",2000-07-05,NA,NA,4,NA,0,NA,NA,NA
"61",2000-07-06,NA,NA,0.2,NA,0,NA,NA,NA
"62",2000-07-07,NA,NA,0,NA,0,NA,NA,NA
"63",2000-07-08,NA,NA,0,NA,0,NA,NA,NA
"64",2000-07-09,NA,NA,0,NA,0,NA,NA,NA
"65",2000-07-10,NA,NA,0,NA,0,NA,NA,NA
"66",2000-07-11,NA,NA,0,NA,0,NA,NA,NA
"67",2000-07-12,NA,NA,0,NA,0,NA,NA,NA
