"","date","energy_exchange"
"1",2016-01-01,-110.444518
"2",2016-01-02,-111.364337
"3",2016-01-03,-112.144648
"4",2016-01-04,-107.85402
"5",2016-01-05,-93.428394
"6",2016-01-06,-83.884702
"7",2016-01-07,-86.452442
"8",2016-01-08,-68.884468
"9",2016-01-09,-83.801039
"10",2016-01-10,-88.422271
"11",2016-01-11,-56.428414
"12",2016-01-12,-44.234342
"13",2016-01-13,-45.319899
"14",2016-01-14,-61.072094
"15",2016-01-15,-39.057664
"16",2016-01-16,-42.339462
"17",2016-01-17,-5.070729
"18",2016-01-18,-13.542505
"19",2016-01-19,-1.288575
"20",2016-01-20,3.322487
"21",2016-01-21,9.678388
"22",2016-01-22,8.030528
"23",2016-01-23,24.91915
"24",2016-01-24,45.874608
"25",2016-01-25,24.671491
"26",2016-01-26,6.207234
"27",2016-01-27,17.919079
"28",2016-01-28,16.117436
"29",2016-01-29,48.521392
"30",2016-01-30,62.564246
"31",2016-01-31,22.813042
"32",2016-02-01,-17.721922
"33",2016-02-02,-35.284666
"34",2016-02-03,-69.5921
"35",2016-02-04,-68.932947
"36",2016-02-05,-42.768321
"37",2016-02-06,-91.277408
"38",2016-02-07,-43.279626
"39",2016-02-08,-68.330469
"40",2016-02-09,-66.127998
"41",2016-02-10,-30.737944
"42",2016-02-11,-27.736095
"43",2016-02-12,-7.710489
"44",2016-02-13,-28.448832
"45",2016-02-14,-44.890915
"46",2016-02-15,-19.190926
"47",2016-02-16,-21.806628
"48",2016-02-17,-13.106893
"49",2016-02-18,-9.370134
"50",2016-02-19,-2.81982
"51",2016-02-20,-19.454217
"52",2016-02-21,-10.632207
"53",2016-02-22,-12.554577
"54",2016-02-23,-0.058984
"55",2016-02-24,11.757225
"56",2016-02-25,8.72389
"57",2016-02-26,14.194008
"58",2016-02-27,-14.309975
"59",2016-02-28,-27.213469
"60",2016-02-29,-18.002268
"61",2016-03-01,-14.194758
"62",2016-03-02,-21.203372
"63",2016-03-03,-35.690804
"64",2016-03-04,-53.000966
"65",2016-03-05,-77.201823
"66",2016-03-06,-38.268677
"67",2016-03-07,-46.384674
"68",2016-03-08,-47.397915
"69",2016-03-09,-58.962696
"70",2016-03-10,-70.402934
"71",2016-03-11,-80.600571
"72",2016-03-12,-79.646493
"73",2016-03-13,-26.740933
"74",2016-03-14,-52.666583
"75",2016-03-15,-50.574465
"76",2016-03-16,-37.491942
"77",2016-03-17,-32.330538
"78",2016-03-18,-28.215235
"79",2016-03-19,-56.383755
"80",2016-03-20,-30.388439
"81",2016-03-21,-31.672477
"82",2016-03-22,-38.071676
"83",2016-03-23,-36.475667
"84",2016-03-24,-53.977209
"85",2016-03-25,-90.964034
"86",2016-03-26,-91.860553
"87",2016-03-27,-59.381751
"88",2016-03-28,-76.456428
"89",2016-03-29,-66.706371
"90",2016-03-30,-56.407882
"91",2016-03-31,-48.172926
"92",2016-04-01,-42.132222
"93",2016-04-02,-57.691019
"94",2016-04-03,-54.68286
"95",2016-04-04,-43.121212
"96",2016-04-05,-13.176475
"97",2016-04-06,-10.368021
"98",2016-04-07,-2.048772
"99",2016-04-08,-14.704014
"100",2016-04-09,-38.305671
"101",2016-04-10,-23.28128
"102",2016-04-11,-36.662788
"103",2016-04-12,-49.685842
"104",2016-04-13,-46.552115
"105",2016-04-14,-32.468156
"106",2016-04-15,-37.646332
"107",2016-04-16,7.462362
"108",2016-04-17,23.588783
"109",2016-04-18,-4.91785
"110",2016-04-19,-13.960223
"111",2016-04-20,-0.604739
"112",2016-04-21,-15.274854
"113",2016-04-22,-15.023699
"114",2016-04-23,13.748952
"115",2016-04-24,-6.701072
"116",2016-04-25,-30.203778
"117",2016-04-26,-60.258326
"118",2016-04-27,-64.531356
"119",2016-04-28,-48.21899
"120",2016-04-29,-42.330894
"121",2016-04-30,-5.35625
"122",2016-05-01,21.310436
"123",2016-05-02,-36.409464
"124",2016-05-03,-42.868131
"125",2016-05-04,-44.537051
"126",2016-05-05,-44.009101
"127",2016-05-06,-43.159482
"128",2016-05-07,-63.481629
"129",2016-05-08,6.211379
"130",2016-05-09,-38.964402
"131",2016-05-10,-58.361864
"132",2016-05-11,-47.695667
"133",2016-05-12,-55.113725
"134",2016-05-13,15.81607
"135",2016-05-14,44.125947
"136",2016-05-15,41.938528
"137",2016-05-16,41.479077
"138",2016-05-17,39.183454
"139",2016-05-18,-12.114833
"140",2016-05-19,-14.005423
"141",2016-05-20,-27.223395
"142",2016-05-21,-48.743537
"143",2016-05-22,-39.601124
"144",2016-05-23,-59.997313
"145",2016-05-24,-67.154042
"146",2016-05-25,-55.514408
"147",2016-05-26,-51.651195
"148",2016-05-27,-52.169716
"149",2016-05-28,-54.82558
"150",2016-05-29,-22.753591
"151",2016-05-30,-46.145352
"152",2016-05-31,-43.482781
"153",2016-06-01,-18.997917
"154",2016-06-02,-38.940324
"155",2016-06-03,-59.404662
