rain_mm,temp_max,temp_min
1.0,19.3,16.6
2.6,19.9,17.0
16.0,20.5,17.9
25.6,21.1,18.6
13.0,20.8,17.9
2.2,19.4,17.7
2.5999999999999996,20.3,17.4
8.2,20.3,17.7
0.0,20.1,17.4
0.0,19.3,16.8
0.0,18.7,11.1
0.0,20.3,11.7
2.0,19.7,16.7
0.0,17.8,8.3
0.0,16.0,9.2
0.0,17.0,10.2
11.200000000000001,20.6,13.3
14.2,20.7,18.6
0.0,20.6,16.9
1.6,20.9,17.8
23.0,20.3,17.5
2.2,18.0,15.2
0.0,17.9,15.5
2.6,20.9,14.8
3.6,20.9,16.9
18.8,21.6,18.1
0.2,21.2,17.6
0.4,20.1,18.0
14.0,21.8,18.9
12.6,21.6,18.1
0.0,20.2,17.8
0.0,20.8,15.6
0.0,19.7,17.0
0.0,18.9,11.9
0.0,18.2,13.0
0.0,20.6,15.0
20.4,20.7,15.3
64.2,21.7,17.7
56.4,21.7,18.4
3.0,20.8,16.8
0.2,20.8,15.6
5.600000000000001,20.6,16.2
2.2,17.2,11.4
0.0,15.1,9.8
0.0,16.3,12.5
0.6,20.1,13.9
0.0,19.4,11.2
0.0,20.2,12.4
30.2,20.2,16.4
39.4,20.8,16.3
0.2,20.6,17.5
0.0,20.9,14.5
0.0,20.1,10.3
0.0,18.0,10.0
0.0,18.9,11.9
42.599999999999994,20.0,12.7
7.6000000000000005,18.6,14.6
6.200000000000001,20.2,16.5
0.0,19.2,15.2
0.2,19.6,12.5
0.0,17.5,9.9
0.0,20.0,10.5
0.0,19.2,6.1
0.0,19.0,8.8
0.0,19.9,9.6
1.4,21.0,13.7
0.0,20.5,12.2
17.8,20.0,13.1
0.6000000000000001,19.1,13.6
2.0,21.1,15.7
0.4,20.6,15.6
0.0,20.7,13.3
28.2,19.7,14.1
0.2,18.9,15.1
71.8,20.5,17.3
6.2,19.5,16.4
8.4,20.1,16.7
33.400000000000006,19.5,15.8
0.0,16.1,14.3
0.0,16.4,8.3
0.2,18.8,13.5
7.4,21.8,15.9
0.0,19.2,9.7
0.0,18.5,5.9
0.0,19.5,9.6
0.0,19.5,11.4
0.0,18.7,10.2
0.0,19.8,10.3
0.0,20.3,8.7
3.6,20.2,12.5
0.0,19.8,14.1
6.0,21.8,12.6
0.2,20.6,13.7
0.6000000000000001,20.7,16.9
0.2,19.1,14.9
0.0,16.4,14.2
8.6,20.1,14.3
32.400000000000006,19.4,16.8
0.2,18.0,13.7
0.4,16.9,14.1
0.0,18.9,13.4
0.0,19.4,13.2
0.0,19.2,15.9
0.0,18.1,12.9
0.0,18.1,11.2
0.0,17.6,14.0
0.0,17.2,13.6
0.0,17.1,13.7
0.0,17.8,13.8
0.0,18.1,12.9
8.799999999999999,19.1,15.1
37.0,19.7,16.6
9.799999999999999,20.3,15.8
0.0,19.8,16.0
0.0,19.1,15.6
0.8,19.1,16.6
9.200000000000001,18.7,12.6
0.8,13.8,10.8
0.0,16.0,12.5
0.0,16.4,14.5
0.0,15.5,4.5
0.2,15.3,0.8
0.0,16.1,9.8
0.2,16.5,14.4
0.0,16.5,11.9
0.0,15.0,10.0
0.0,12.6,8.6
0.0,17.2,10.3
13.6,17.5,7.3
2.4000000000000004,11.1,7.1
0.0,13.3,9.1
0.0,15.6,11.7
0.0,15.5,12.2
3.0,18.0,11.7
1.8,16.2,10.5
0.0,14.7,8.3
0.0,17.6,9.8
0.0,17.8,12.3
7.800000000000001,16.5,13.1
1.0,15.7,12.4
0.0,16.2,12.7
18.8,15.9,12.8
9.2,15.1,13.8
0.2,14.4,6.3
0.0,10.5,5.2
0.0,10.2,4.1
0.0,12.0,9.3
0.0,12.7,9.5
0.8,13.2,9.9
0.2,9.9,3.6
0.0,11.0,7.5
0.0,13.7,9.1
19.999999999999996,16.6,11.8
3.5999999999999996,14.5,5.6
0.0,8.6,1.0
0.2,10.8,2.1
0.2,10.8,-0.4
0.0,13.0,4.1
0.0,14.9,10.1
0.0,15.3,8.3
0.0,14.3,10.3
0.0,15.0,9.6
0.0,12.9,8.4
0.0,12.4,5.6
0.0,12.3,8.3
0.0,13.7,10.0
0.0,14.9,10.0
0.0,15.9,11.8
0.0,15.4,7.1
0.0,14.6,7.7
0.0,13.6,7.7
0.0,11.3,8.2
0.0,12.9,7.8
0.0,11.8,8.5
0.0,14.9,8.4
0.0,13.5,11.8
0.0,13.4,8.8
0.0,13.1,9.8
2.8,15.5,12.4
3.8,14.8,12.7
0.0,13.7,5.4
0.0,12.2,3.0
0.0,12.0,6.8
0.2,13.0,7.5
0.0,13.0,5.2
0.0,13.0,6.9
0.0,12.9,6.6
0.0,13.0,7.3
0.0,10.4,6.4
0.0,11.7,5.2
0.0,11.5,8.3
0.0,13.6,9.8
0.0,11.1,8.4
0.0,13.6,9.2
0.0,12.4,8.1
0.2,15.2,9.6
30.4,14.5,12.4
13.0,13.2,11.4
13.2,13.7,12.0
0.0,12.4,5.5
0.2,11.6,4.3
0.0,12.7,3.6
0.0,12.8,7.4
37.400000000000006,16.0,11.5
13.8,13.8,10.4
34.800000000000004,16.0,11.5
0.0,11.6,4.1
0.0,10.5,6.3
0.4,9.2,5.8
0.8,8.9,2.7
0.0,7.7,2.7
0.0,9.5,6.1
0.0,12.0,8.5
0.0,12.6,7.4
0.0,13.0,8.6
0.0,11.6,7.5
0.0,13.3,9.7
0.0,14.4,11.4
0.0,14.4,7.5
0.0,13.6,3.3
0.0,13.3,3.0
0.0,13.4,4.3
0.0,13.2,6.8
0.0,13.2,10.7
0.0,13.8,7.9
0.0,14.0,7.4
0.0,12.2,5.6
0.0,11.2,3.8
0.0,12.5,6.2
0.0,12.7,6.2
0.0,13.7,9.9
0.0,13.9,6.6
0.0,11.8,9.3
0.0,12.3,8.7
0.0,13.4,8.0
0.0,10.9,4.3
0.0,9.3,0.1
0.0,9.1,1.1
0.0,14.3,4.1
0.0,14.0,9.6
0.0,13.0,10.0
0.0,14.3,11.8
0.0,16.4,11.0
0.0,15.3,10.1
13.2,16.0,12.4
1.2000000000000002,16.6,10.5
0.0,16.6,8.7
0.0,15.4,8.1
0.0,14.5,8.1
0.0,13.3,7.7
0.0,14.1,4.4
0.0,15.0,7.5
0.0,15.2,5.4
0.0,14.2,6.4
0.0,14.8,4.7
0.0,14.7,6.8
0.0,14.5,4.3
0.0,10.9,5.7
0.0,14.9,2.9
0.0,14.9,11.4
0.0,14.7,11.6
0.0,15.9,11.2
0.0,15.9,8.8
0.0,16.1,9.4
0.0,17.4,10.6
0.0,17.2,6.5
1.0,17.7,7.5
0.0,12.7,5.3
0.0,11.4,7.5
0.0,15.4,10.6
1.2,16.9,12.9
0.4,16.5,11.0
0.0,12.7,10.7
0.0,13.1,10.0
0.0,14.0,11.0
0.0,12.6,9.8
0.0,13.9,9.1
0.0,15.1,7.8
0.0,14.9,7.9
0.0,16.5,3.5
0.0,15.9,13.1
0.0,16.5,10.9
0.0,15.7,8.1
0.0,15.2,7.4
0.0,14.1,5.2
0.0,16.4,9.0
