,count,year_month,month,year,energy_generated,effluent_flow,influent_flow,max_temp,min_temp,total_rain,accumulate
0,1,200701,1.0,2007.0,2.6542309677419356,993.3870967741935,1100.0332258064518,25.6,12.1,407.2,465.86
1,2,200702,2.0,2007.0,2.3454964285714284,616.8928571428571,651.6478571428571,24.2,12.8,205.79999999999998,100.48
2,3,200703,3.0,2007.0,1.6592941935483867,373.19354838709677,445.3935483870967,23.3,10.9,52.2,83.44
3,4,200704,4.0,2007.0,1.084556333333333,240.66666666666666,271.62399999999997,22.0,11.2,72.20000000000002,17.75
4,5,200705,5.0,2007.0,1.1625416129032258,248.80645161290323,235.42903225806452,21.6,2.1,51.20000000000001,74.84
5,6,200706,6.0,2007.0,1.3913376666666666,304.9,214.24866666666668,18.0,2.5,4.0,1.11
6,7,200707,7.0,2007.0,1.299899032258065,294.06451612903226,414.2858064516129,18.6,0.7,422.19999999999993,49.07
7,8,200708,8.0,2007.0,1.4725212903225806,326.6774193548387,206.45612903225802,16.1,2.8,0.0,1.21
8,9,200709,9.0,2007.0,1.2307363333333334,304.3666666666667,138.63033333333334,19.8,3.3,4.8,10.61
9,10,200710,10.0,2007.0,0.9838836606451614,256.83870967741933,172.6916129032258,22.9,3.7,117.2,36.52
10,11,200711,11.0,2007.0,1.2987446666666667,316.2,358.0900000000001,22.7,2.8,523.2,98.94
11,12,200712,12.0,2007.0,1.5377812903225807,385.03225806451616,420.0087096774193,24.3,-0.7,589.4000000000001,80.85
12,13,200801,1.0,2008.0,1.4691400000000001,371.19354838709677,538.1064516129032,25.5,12.3,668.6,206.39
13,14,200802,2.0,2008.0,2.8172293103448283,634.8620689655172,670.1475862068968,23.6,14.3,483.60000000000014,122.87
14,15,200803,3.0,2008.0,2.0468416129032256,446.83870967741933,510.34322580645147,23.8,9.1,444.0,185.46
15,16,200804,4.0,2008.0,2.0644046666666664,456.73333333333335,447.5433333333333,23.7,9.4,386.19999999999993,200.07
16,17,200805,5.0,2008.0,1.8178658064516129,376.64516129032256,419.28193548387105,20.4,2.5,206.20000000000005,34.59
17,18,200806,6.0,2008.0,1.8025003333333331,377.6666666666667,339.34433333333334,19.8,3.3,154.0,7.21
18,19,200807,7.0,2008.0,1.3256251612903225,285.4193548387097,191.19548387096776,16.6,-0.2,0.4,0.0
19,20,200808,8.0,2008.0,1.2585390322580643,278.19354838709677,268.7296774193548,19.4,-2.8,180.99999999999997,26.77
20,21,200809,9.0,2008.0,1.147083,258.96666666666664,177.33833333333334,18.4,-0.8,105.2,17.32
21,22,200810,10.0,2008.0,1.4249215567741933,333.0967741935484,260.4864516129032,24.1,1.7,399.6000000000001,82.59
22,23,200811,11.0,2008.0,1.3424976666666666,342.8,254.1963333333333,22.5,5.1,317.6000000000001,78.88
23,24,200812,12.0,2008.0,1.2228238709677424,328.38709677419354,298.8548387096774,24.3,4.9,587.5999999999998,52.65
24,25,200901,1.0,2009.0,1.380608064516129,401.51612903225805,471.4312903225806,23.9,6.6,1158.8,417.51
25,26,200902,2.0,2009.0,2.127982857142857,601.6785714285714,776.1042857142859,24.6,12.3,515.3999999999999,212.51
26,27,200903,3.0,2009.0,1.142015806451613,277.7741935483871,442.1487096774194,24.0,6.8,565.8,195.36
27,28,200904,4.0,2009.0,1.3443089999999998,286.3333333333333,275.8933333333333,23.6,5.8,242.6,27.86
28,29,200905,5.0,2009.0,1.093923870967742,239.25806451612902,220.3290322580645,22.2,6.7,171.39999999999998,38.82
29,30,200906,6.0,2009.0,1.190909,256.2,212.08666666666667,19.1,-2.2,152.39999999999998,47.09
30,31,200907,7.0,2009.0,1.4995916129032256,329.4516129032258,358.8948387096774,22.5,-0.3,214.79999999999995,64.75
31,32,200908,8.0,2009.0,1.6888548387096773,387.9032258064516,295.8145161290323,19.8,-1.5,390.9999999999999,114.7
