Date,Energy_Charge
Jan-99,23340.17823
Feb-99,24660.84256
Mar-99,25243.66788
Apr-99,24753.89075
May-99,24178.69562
Jun-99,24407.39403
Jul-99,24581.09382
Aug-99,24895.36465
Sep-99,25272.97444
Oct-99,24847.33456
Nov-99,24597.58639
Dec-99,24812.90945
Jan-00,24463.18616
Feb-00,25588.78851
Mar-00,25470.85502
Apr-00,25352.02611
May-00,25457.51613
Jun-00,24734.85181
Jul-00,25299.99731
Aug-00,26006.38831
Sep-00,26045.44757
Oct-00,27077.48408
Nov-00,26253.36292
Dec-00,26041.55574
Jan-01,26625.97616
Feb-01,27539.32787
Mar-01,27824.663
Apr-01,27213.965
May-01,25055.13888
Jun-01,20512.82374
Jul-01,19852.4282
Aug-01,20395.28526
Sep-01,20646.84029
Oct-01,20952.31773
Nov-01,21504.02511
Dec-01,21349.00794
Jan-02,22719.87902
Feb-02,23452.7022
Mar-02,25133.20122
Apr-02,25772.85
May-02,24774.47124
Jun-02,24626.89849
Jul-02,24237.84665
Aug-02,25149.89241
Sep-02,24970.46792
Oct-02,27126.00813
Nov-02,26383.8966
Dec-02,25636.16089
Jan-03,25693.74368
Feb-03,27507.62499
Mar-03,26389.86065
Apr-03,26235.7461
May-03,25354.74973
Jun-03,25326.08679
Jul-03,25308.79012
Aug-03,25465.2136
Sep-03,26242.62583
Oct-03,26829.76116
Nov-03,26804.53481
Dec-03,26662.93698
Jan-04,26275.93168
Feb-04,26801.95109
Mar-04,27520.84331
Apr-04,27323.33718
May-04,26606.29613
Jun-04,26579.44845
Jul-04,26657.82241
Aug-04,27178.62867
Sep-04,28426.38831
Oct-04,27771.49565
Nov-04,28156.10778
Dec-04,27695.44343
Jan-05,27829.38265
Feb-05,28324.55217
Mar-05,29329.88921
Apr-05,29611.05501
May-05,27852.86725
Jun-05,27921.0999
Jul-05,27217.23512
Aug-05,28499.19849
Sep-05,28242.86741
Oct-05,28991.801
Nov-05,28312.46226
Dec-05,28163.79838
Jan-06,29410.09741
Feb-06,30149.90832
Mar-06,30646.27965
Apr-06,28994.79536
May-06,28369.73352
Jun-06,28456.18194
Jul-06,28707.09936
Aug-06,29679.78816
Sep-06,29081.09865
Oct-06,29255.40005
Nov-06,29796.29875
Dec-06,29725.43665
Jan-07,29960.04144
Feb-07,30970.75052
Mar-07,32676.08856
Apr-07,31350.05961
May-07,29881.48794
Jun-07,29542.48468
Jul-07,29573.75718
Aug-07,30566.27726
Sep-07,31166.00001
Oct-07,31967.14805
Nov-07,31251.06024
Dec-07,31206.31552
Jan-08,31190.80647
Feb-08,31503.22245
Mar-08,32245.93612
Apr-08,32252.52808
May-08,30832.63399
Jun-08,31221.21135
Jul-08,31335.82005
Aug-08,32320.35214
Sep-08,32087.30625
Oct-08,32914.44457
Nov-08,30936.54511
Dec-08,28845.63351
Jan-09,29582.48946
Feb-09,31328.50043
Mar-09,32278.24798
Apr-09,30176.03961
May-09,29781.37087
Jun-09,29069.17642
Jul-09,30106.69581
Aug-09,30694.90921
Sep-09,31984.10976
Oct-09,31928.3454
Nov-09,33636.32336
Dec-09,32458.13728
Jan-10,33574.70876
Feb-10,35293.77573
Mar-10,34891.03103
Apr-10,32864.08453
May-10,32240.64503
Jun-10,31891.99583
Jul-10,32437.61038
Aug-10,32875.82624
Sep-10,34035.60839
Oct-10,33160.57776
Nov-10,33427.03229
Dec-10,34495.10363
Jan-11,34868.97983
Feb-11,37140.59493
Mar-11,34960.89963
Apr-11,34864.42803
May-11,33298.77739
Jun-11,32613.02861
Jul-11,33097.39493
Aug-11,34757.3391
Sep-11,34834.43644
Oct-11,34539.98196
Nov-11,34742.62226
Dec-11,35128.04676
Jan-12,35193.32493
Feb-12,37839.21125
Mar-12,38365.98608
Apr-12,36567.2206
May-12,34276.55669
Jun-12,32414.08587
Jul-12,32553.34522
Aug-12,34936.40371
Sep-12,35552.69857
Oct-12,36893.14645
Nov-12,34769.84773
Dec-12,36967.36061
Jan-13,34541.18622
Feb-13,36722.83897
Mar-13,36142.04691
Apr-13,34516.55726
May-13,33046.06221
Jun-13,32968.85206
Jul-13,32923.75264
Aug-13,33976.00987
Sep-13,34810.17669
Oct-13,35425.06919
Nov-13,35403.97095
Dec-13,35171.69271
Jan-14,38757.89164
Feb-14,39920.02717
Mar-14,37553.26581
Apr-14,35498.94178
May-14,35309.27108
Jun-14,34137.53616
Jul-14,34146.18142
Aug-14,34537.10421
Sep-14,36130.76884
Oct-14,37061.64031
Nov-14,36280.763
Dec-14,36171.19092
Jan-15,41386.73862
Feb-15,40056.05794
Mar-15,39364.21499
Apr-15,38008.00658
May-15,36216.22457
Jun-15,35762.25388
Jul-15,35804.65631
Aug-15,36645.69384
Sep-15,37944.84847
Oct-15,39159.22562
Nov-15,38433.0689
Dec-15,38110.38337
Jan-16,37362.51975
Feb-16,40324.15729
Mar-16,39743.02163
Apr-16,40562.77143
May-16,36489.89742
Jun-16,35668.35619
Jul-16,35943.32568
Aug-16,36964.01091
Sep-16,37414.56969
Oct-16,37703.12219
Nov-16,37402.36664
Dec-16,37599.09949
Jan-17,39881.95559
Feb-17,40979.00954
Mar-17,40491.73527
Apr-17,37739.54223
May-17,36876.01917
Jun-17,36520.63177
Jul-17,35370.76263
Aug-17,36550.30481
Sep-17,38238.89953
Oct-17,38998.0477
Nov-17,38197.45918
Dec-17,38397.27109
Jan-18,40095.31798
Feb-18,39962.42141
Mar-18,41890.33943
Apr-18,39591.23925
May-18,37337.95429
Jun-18,37073.73612
Jul-18,37060.46034
Aug-18,37393.428
Sep-18,38124.45023
Oct-18,39316.56825
Nov-18,39103.29447
Dec-18,39815.59022
Jan-19,43247.21708
Feb-19,42050.71754
Mar-19,40575.48848
Apr-19,40439.05428
May-19,39077.84376
Jun-19,37203.97337
Jul-19,36486.91062
Aug-19,37097.10238
Sep-19,39420.26424
Oct-19,40730.10602
Nov-19,39652.84129
Dec-19,38742.72579
Jan-20,40803.10598
Feb-20,41094.84767
Mar-20,39830.76358
Apr-20,35355.94843
May-20,34600.66665
Jun-20,35768.34591
Jul-20,36673.94183
Aug-20,37439.58742
Sep-20,40811.54222
Oct-20,41493.98725
Nov-20,40061.31157
Dec-20,40770.94123
Jan-21,42111.77598
Feb-21,42341.76121
Mar-21,42498.72347
Apr-21,39708.6815
May-21,39130.29462
Jun-21,38108.40319
