Date,Energy_Exhange(Export)
Jan-99,2182.65
Feb-99,1725.6
Mar-99,1437.55
Apr-99,1133.67
May-99,1426.7
Jun-99,1698.57
Jul-99,838.02
Aug-99,1317.35
Sep-99,1737.57
Oct-99,1348.18
Nov-99,1308.44
Dec-99,841.28
Jan-00,1491.444086
Feb-00,1186.49842
Mar-00,1688.614946
Apr-00,1511.666389
May-00,1444.700403
Jun-00,1714.842917
Jul-00,1548.114919
Aug-00,1424.255914
Sep-00,847.0838889
Oct-00,-351.1560425
Nov-00,343.4663889
Dec-00,516.7324597
1-Jan,-774.3092742
1-Feb,-765.10625
1-Mar,-1190.206183
1-Apr,-981.4808333
1-May,-1703.805645
1-Jun,-879.5830556
1-Jul,-585.8723118
1-Aug,-1374.73414
1-Sep,-1057.684306
1-Oct,-1023.452513
1-Nov,-560.5070833
1-Dec,-234.1464651
2-Jan,1215.779153
2-Feb,1022.840447
2-Mar,803.4902958
2-Apr,1358.573139
2-May,864.2834409
2-Jun,-1046.85718
2-Jul,-501.2237449
2-Aug,-114.5304976
2-Sep,-405.3144587
2-Oct,-682.797406
2-Nov,-919.1631254
2-Dec,-276.2533196
3-Jan,200.9519765
3-Feb,1439.456443
3-Mar,558.1459542
3-Apr,1338.031569
3-May,965.5370334
3-Jun,1222.143252
3-Jul,2306.948427
3-Aug,3092.377688
3-Sep,3244.583486
3-Oct,3415.949812
3-Nov,3414.100028
3-Dec,2469.767392
4-Jan,872.2393419
4-Feb,1151.907471
4-Mar,2476.344274
4-Apr,2321.478611
4-May,1914.621855
4-Jun,2057.19032
4-Jul,509.752621
4-Aug,1053.617446
4-Sep,1678.954528
4-Oct,217.1761824
4-Nov,-225.9752497
4-Dec,1221.674019
5-Jan,2960.034933
5-Feb,2368.056354
5-Mar,2144.563615
5-Apr,2421.826931
5-May,1794.940685
5-Jun,791.0422362
5-Jul,339.1505511
5-Aug,1546.406968
5-Sep,-580.1466778
5-Oct,-458.5277688
5-Nov,713.1028792
5-Dec,2436.807272
6-Jan,1912.680202
6-Feb,1379.324182
6-Mar,2453.114946
6-Apr,2474.569569
6-May,2449.680874
6-Jun,3277.657681
6-Jul,3949.281793
6-Aug,4069.464167
6-Sep,3562.47406
6-Oct,2812.179673
6-Nov,3356.818792
6-Dec,2992.627372
7-Jan,3468.767339
7-Feb,3211.744196
7-Mar,993.8600269
7-Apr,184.8201528
7-May,-1910.450363
7-Jun,-841.9274306
7-Jul,384.996586
7-Aug,1086.454718
7-Sep,1575.094375
7-Oct,826.5767742
7-Nov,921.3203472
7-Dec,2195.857406
8-Jan,2086.085384
8-Feb,1421.857478
8-Mar,3556.138562
8-Apr,4139.406306
8-May,2536.421868
8-Jun,2700.902569
8-Jul,2235.551882
8-Aug,3094.577688
8-Sep,2075.286
8-Oct,1365.100957
8-Nov,262.8220861
8-Dec,2435.75504
9-Jan,1946.558522
9-Feb,2657.507455
9-Mar,2808.410067
9-Apr,4250.064347
9-May,2757.156196
9-Jun,3049.891167
9-Jul,1861.203427
9-Aug,-1432.446828
9-Sep,-1011.877208
9-Oct,-887.9481317
9-Nov,181.4435556
9-Dec,396.8748656
10-Jan,423.0850807
10-Feb,-973.1223363
10-Mar,-713.0733468
10-Apr,-646.7387917
10-May,-635.2531452
10-Jun,517.1846944
10-Jul,1085.702272
10-Aug,1073.003737
10-Sep,1898.696847
10-Oct,1979.063669
10-Nov,3777.235931
10-Dec,2205.301599
11-Jan,983.0083199
11-Feb,-2641.652128
11-Mar,-1023.58672
11-Apr,-1266.736153
11-May,-912.7375134
11-Jun,1665.032194
11-Jul,452.6717473
11-Aug,-700.7079973
11-Sep,-1290.9175
11-Oct,-1183.986237
11-Nov,808.7174722
11-Dec,2125.520739
12-Jan,2894.070538
12-Feb,1035.472313
12-Mar,732.2579839
12-Apr,3220.46225
12-May,5258.958958
12-Jun,3268.044194
12-Jul,3061.908495
12-Aug,1869.654583
12-Sep,2645.730306
12-Oct,3292.343441
12-Nov,5571.722417
12-Dec,3115.058011
13-Jan,618.7720565
13-Feb,61.41528274
13-Mar,-1160.412567
