Date,Energy_Exchange(fromNE)
Jan-03,-764.47
Feb-03,-419.26
Mar-03,-286.03
Apr-03,-312.29
May-03,-141.44
Jun-03,-557.21
Jul-03,-1244.39
Aug-03,-1457.47
Sep-03,-1198.39
Oct-03,-1034.42
Nov-03,-1323.61
Dec-03,-1458.97
Jan-04,-1080.12
Feb-04,-142.48
Mar-04,-515.63
Apr-04,-158.93
May-04,-199.98
Jun-04,-400.88
Jul-04,-645.18
Aug-04,-463.08
Sep-04,-251.32
Oct-04,-291.08
Nov-04,-392.74
Dec-04,-886.18
Jan-05,-856.23
Feb-05,-510.12
Mar-05,-25.81
Apr-05,-47.47
May-05,-144.53
Jun-05,-204.92
Jul-05,-470.68
Aug-05,-419.1
Sep-05,-407.33
Oct-05,-371.91
Nov-05,-481.24
Dec-05,-435.08
Jan-06,-242.52
Feb-06,-193.47
Mar-06,-335.75
Apr-06,-101.96
May-06,-14.02
Jun-06,-78.63
Jul-06,58.66
Aug-06,4.95
Sep-06,-126
Oct-06,-209.04
Nov-06,41.57
Dec-06,145.94
Jan-07,62.83
Feb-07,7.68
Mar-07,178.81
Apr-07,-147.29
May-07,-265.61
Jun-07,-386.23
Jul-07,-144.9
Aug-07,-1146.15
Sep-07,-195.08
Oct-07,-271.25
Nov-07,-435.11
Dec-07,-1063.12
Jan-08,-2143.35
Feb-08,-883.66
Mar-08,-643
Apr-08,-547.06
May-08,-654.22
Jun-08,-1860.86
Jul-08,-2304.51
Aug-08,-1363.49
Sep-08,-1716.59
Oct-08,-1039.95
Nov-08,-1241.16
Dec-08,-1759.11
Jan-09,-1203.79
Feb-09,-499.41
Mar-09,-479.81
Apr-09,-400.61
May-09,-2.45
Jun-09,-73.32
Jul-09,-276.29
Aug-09,-1037.13
Sep-09,-1458.96
Oct-09,-1151.17
Nov-09,-827.78
Dec-09,-1069.46
Jan-10,-928.52
Feb-10,-500.23
Mar-10,-554.22
Apr-10,-645.46
May-10,-1313.05
Jun-10,-2169.44
Jul-10,-1812.75
Aug-10,-1895.5
Sep-10,-1209.3
Oct-10,-1093.67
Nov-10,-1422.25
Dec-10,-1125.88
Jan-11,-852.2
Feb-11,-452.15
Mar-11,-592.71
Apr-11,-486.29
May-11,-479.54
Jun-11,-970.59
Jul-11,-1499.77
Aug-11,-1365.42
Sep-11,-1009.75
Oct-11,-431.62
Nov-11,-784.53
Dec-11,-509.36
Jan-12,-231.26
Feb-12,-195.06
Mar-12,-211.1
Apr-12,-268.84
May-12,-574.88
Jun-12,-1256.32
Jul-12,-2077.08
Aug-12,-1738.4
Sep-12,-1466.89
Oct-12,-1421.91
Nov-12,-1094.47
Dec-12,516.28
Jan-13,146.63
Feb-13,-264.43
Mar-13,-436.37
Apr-13,-524.77
May-13,-419.82
Jun-13,-1042.32
Jul-13,-2138.95
Aug-13,-2885.2
Sep-13,-1955.76
Oct-13,-2278.64
Nov-13,-2332.77
Dec-13,-2155.2
Jan-14,-371.5
Feb-14,-365.28
Mar-14,-361.96
Apr-14,-257
May-14,-90.46
Jun-14,-848.81
Jul-14,-769.65
Aug-14,22.97
Sep-14,-307.14
Oct-14,-429.4
Nov-14,-524.6
Dec-14,-16.21
Jan-15,-140.94
Feb-15,-146.2
Mar-15,-111.6
Apr-15,-187.61
May-15,-201.37
Jun-15,-310.52
Jul-15,-1023.49
Aug-15,-434.71
Sep-15,-359.42
Oct-15,-1234.77
Nov-15,-1958.4
Dec-15,-1874.82
Jan-16,-2081.92
Feb-16,-686.15
Mar-16,-1145.51
Apr-16,-306.65
May-16,-1948.96
Jun-16,-1859.84
Jul-16,-1516.48
Aug-16,-1407.81
Sep-16,-1017.96
Oct-16,-1043.45
Nov-16,-1070
Dec-16,-1351.88
Jan-17,-1227.06
Feb-17,-494.42
Mar-17,-573.88
Apr-17,-444.88
May-17,-537.18
Jun-17,-558.39
Jul-17,-442.58
Aug-17,240.42
Sep-17,966.02
Oct-17,185.44
Nov-17,-1067.77
Dec-17,-1025.54
Jan-18,-526.22
Feb-18,-555.92
Mar-18,-557.95
Apr-18,-431.34
May-18,-308.72
Jun-18,175.55
Jul-18,568.34
Aug-18,805.7
Sep-18,875.28
Oct-18,-736.28
Nov-18,-1191.98
Dec-18,-446.73
Jan-19,-186.9
Feb-19,-530.34
Mar-19,-364.35
Apr-19,-369.3
May-19,-176.25
Jun-19,495.46
Jul-19,1079.59
Aug-19,2396.39
Sep-19,2031.95
Oct-19,1838.74
Nov-19,927.59
Dec-19,575.66
Jan-20,-320.37
Feb-20,-352.44
Mar-20,-507.47
Apr-20,180.44
May-20,467.09
Jun-20,1479.96
Jul-20,2733.46
Aug-20,3417.83
Sep-20,3824.96
Oct-20,3261.76
Nov-20,3812.63
Dec-20,4350.72
Jan-21,2302.92
Feb-21,131.69
Mar-21,-13.53
Apr-21,781.36
May-21,1633.53
Jun-21,3379.46
