Date,Energy_Exchange(FromN)
Jan-00,665.56
Feb-00,573.34
Mar-00,457.22
Apr-00,493.66
May-00,500.08
Jun-00,589.13
Jul-00,355.64
Aug-00,483.09
Sep-00,307.39
Oct-00,210.32
Nov-00,138.97
Dec-00,273.29
Jan-01,449.6
Feb-01,499.03
Mar-01,415.95
Apr-01,101.86
May-01,136.89
Jun-01,93.8
Jul-01,-1.19
Aug-01,-1.52
Sep-01,-2.25
Oct-01,0.33
Nov-01,0
Dec-01,-2.48
Jan-02,243.09
Feb-02,6.5
Mar-02,1.82
Apr-02,8.15
May-02,249.21
Jun-02,312.35
Jul-02,195.54
Aug-02,59.26
Sep-02,113.83
Oct-02,-28.18
Nov-02,-277.81
Dec-02,-772.66
Jan-03,-131.08
Feb-03,-1.51
Mar-03,16.31
Apr-03,1.67
May-03,196.38
Jun-03,72.14
Jul-03,-2.06
Aug-03,-3.54
Sep-03,-0.13
Oct-03,-8.25
Nov-03,-95.32
Dec-03,-44.48
Jan-04,143.14
Feb-04,714.95
Mar-04,178.01
Apr-04,581.98
May-04,618.13
Jun-04,250.09
Jul-04,73.84
Aug-04,-47.18
Sep-04,116.28
Oct-04,90.73
Nov-04,-463.29
Dec-04,-245.2
Jan-05,-97.08
Feb-05,456.29
Mar-05,1009.55
Apr-05,1261.93
May-05,1201.06
Jun-05,707.1
Jul-05,12.5
Aug-05,-387.63
Sep-05,-439.88
Oct-05,-446.05
Nov-05,-931.48
Dec-05,-338.43
Jan-06,962.83
Feb-06,1181.28
Mar-06,844.27
Apr-06,990.29
May-06,1299.99
Jun-06,1369.24
Jul-06,961.51
Aug-06,642.44
Sep-06,-754.34
Oct-06,-841.45
Nov-06,-248.97
Dec-06,-29.53
Jan-07,127.21
Feb-07,271.93
Mar-07,1109.09
Apr-07,1386.09
May-07,809.82
Jun-07,124.65
Jul-07,-94.16
Aug-07,-160.36
Sep-07,-601.23
Oct-07,-1305.91
Nov-07,-1596.49
Dec-07,-1360.58
Jan-08,-266.87
Feb-08,180
Mar-08,487.22
Apr-08,678.01
May-08,648.96
Jun-08,87.48
Jul-08,-322.64
Aug-08,-806.94
Sep-08,-949.53
Oct-08,-1138.29
Nov-08,-1396.31
Dec-08,-848.36
Jan-09,58.03
Feb-09,908.99
Mar-09,1634.42
Apr-09,1188.59
May-09,2466.4
Jun-09,2389.43
Jul-09,811.09
Aug-09,-81.71
Sep-09,-812.67
Oct-09,-1264.15
Nov-09,-1142.28
Dec-09,-99.24
Jan-10,491.52
Feb-10,1185.84
Mar-10,1228.21
Apr-10,1025.05
May-10,518.12
Jun-10,-125.07
Jul-10,-466.51
Aug-10,-764.78
Sep-10,-1299.28
Oct-10,-1799.03
Nov-10,-1635.53
Dec-10,-1366.13
Jan-11,193.51
Feb-11,934.83
Mar-11,800.92
Apr-11,1002.23
May-11,1076.39
Jun-11,207.62
Jul-11,-792.81
Aug-11,-553.91
Sep-11,-351.47
Oct-11,-927.74
Nov-11,-1523.09
Dec-11,604
Jan-12,1548.31
Feb-12,1844.97
Mar-12,2341.79
Apr-12,2334.17
May-12,1196.08
Jun-12,-4.53
Jul-12,-283.32
Aug-12,-544.79
Sep-12,-1044.87
Oct-12,-1445.45
Nov-12,-1183.65
Dec-12,549.47
Jan-13,959.79
Feb-13,2316.07
Mar-13,2158.95
Apr-13,1977.37
May-13,2448.24
Jun-13,304.89
Jul-13,-10.15
Aug-13,-105.41
Sep-13,-26.66
Oct-13,-134.46
Nov-13,-363.07
Dec-13,-178.86
Jan-14,2454.91
Feb-14,2896.15
Mar-14,2764.37
Apr-14,2640.12
May-14,2594.76
Jun-14,764.02
Jul-14,337.76
Aug-14,1163.54
Sep-14,819.78
Oct-14,-183.55
Nov-14,-2.7
Dec-14,588.68
Jan-15,1755.3
Feb-15,2253.5
Mar-15,2760.62
Apr-15,2659.33
May-15,2722
Jun-15,1501.47
Jul-15,72.99
Aug-15,221.23
Sep-15,626.06
Oct-15,-506.17
Nov-15,-1030.85
Dec-15,-1103.09
Jan-16,-441.24
Feb-16,956.04
Mar-16,566.38
Apr-16,1839.21
May-16,37.12
Jun-16,-89.17
Jul-16,-239.32
Aug-16,-748.75
Sep-16,-1226.14
Oct-16,-853.06
Nov-16,-399.99
Dec-16,104.13
Jan-17,290.56
Feb-17,1552.58
Mar-17,1819.52
Apr-17,1567.16
May-17,1349.8
Jun-17,621.11
Jul-17,198.33
Aug-17,57.04
Sep-17,1251
Oct-17,167.7
Nov-17,-193.55
Dec-17,711.64
Jan-18,1788.61
Feb-18,1977.81
Mar-18,2212.86
Apr-18,3542.6
May-18,3657.66
Jun-18,3034.71
Jul-18,1275.99
Aug-18,1859.6
Sep-18,1370.34
Oct-18,233.46
Nov-18,-156.17
Dec-18,3251.32
Jan-19,3822.72
Feb-19,4796.59
Mar-19,4458.96
Apr-19,4523.56
May-19,4808.1
Jun-19,3187.85
Jul-19,1312.27
Aug-19,597.82
Sep-19,1304.9
Oct-19,1566.58
Nov-19,950.43
Dec-19,1771.71
Jan-20,3636.07
Feb-20,6685.5
Mar-20,7648.3
Apr-20,5825.08
May-20,5749.86
Jun-20,5527.85
Jul-20,1103.94
Aug-20,445.36
Sep-20,438.93
Oct-20,1320.31
Nov-20,833.14
Dec-20,1210
Jan-21,3391.98
Feb-21,5339.91
Mar-21,9315.78
Apr-21,9634.17
May-21,8780.12
Jun-21,3538.72
