Date,Energy_Generated
Jan-99,24847.44274
Feb-99,26535.49152
Mar-99,26832.44677
Apr-99,25993.01117
May-99,25710.94629
Jun-99,26210.22
Jul-99,25508.85457
Aug-99,26308.9289
Sep-99,27116.57514
Oct-99,26209.33245
Nov-99,25992.78486
Dec-99,25745.48277
Jan-00,26493.78521
Feb-00,27223.98462
Mar-00,27600.91078
Apr-00,27258.93264
May-00,27261.06573
Jun-00,27449.69931
Jul-00,26911.8953
Aug-00,27484.42137
Sep-00,26949.43965
Oct-00,26815.92367
Nov-00,26705.80254
Dec-00,26664.23609
Jan-01,25956.48153
Feb-01,26912.53338
Mar-01,26738.19163
Apr-01,26317.58833
May-01,23438.25125
Jun-01,19712.06249
Jul-01,19362.00992
Aug-01,19083.96026
Sep-01,19641.5364
Oct-01,20017.99485
Nov-01,21013.09983
Dec-01,21205.42183
Jan-02,24068.6704
Feb-02,24600.46229
Mar-02,26055.44407
Apr-02,27192.63981
May-02,25716.49754
Jun-02,23657.617
Jul-02,23789.71139
Aug-02,25091.61722
Sep-02,24618.37089
Oct-02,26499.90832
Nov-02,25544.82549
Dec-02,25408.85793
Jan-03,25974.2345
Feb-03,29038.99616
Mar-03,27023.83577
Apr-03,27622.39233
May-03,26360.00746
Jun-03,26586.85657
Jul-03,27663.55871
Aug-03,28604.84667
Sep-03,29532.57724
Oct-03,30331.4952
Nov-03,30270.53331
Dec-03,29174.03017
Jan-04,27213.24656
Feb-04,28055.39254
Mar-04,30088.15358
Apr-04,29697.55621
May-04,28561.69048
Jun-04,28701.61391
Jul-04,27243.0624
Aug-04,28305.87488
Sep-04,30142.06779
Oct-04,28016.31538
Nov-04,27976.72755
Dec-04,28909.41984
Jan-05,30877.42484
Feb-05,30771.98278
Mar-05,31536.31922
Apr-05,32086.80042
May-05,29704.28629
Jun-05,28768.58352
Jul-05,27607.65315
Aug-05,30089.22589
Sep-05,27723.66365
Oct-05,28634.47746
Nov-05,29096.40547
Dec-05,30661.2676
Jan-06,31392.78999
Feb-06,31608.6583
Mar-06,33177.70776
Apr-06,31554.05765
May-06,30876.1403
Jun-06,31782.34704
Jul-06,32707.59522
Aug-06,33794.27005
Sep-06,32688.70581
Oct-06,32113.05633
Nov-06,33227.80448
Dec-06,32764.9228
Jan-07,33539.40173
Feb-07,34280.22374
Mar-07,33739.08584
Apr-07,31580.06961
May-07,28019.47681
Jun-07,28758.52965
Jul-07,30012.91622
Aug-07,31714.08703
Sep-07,32792.37507
Oct-07,32872.95635
Nov-07,32226.49494
Dec-07,33466.24715
Jan-08,33370.41755
Feb-08,33096.30062
Mar-08,35924.66899
Apr-08,36481.52937
May-08,33450.77448
Jun-08,34013.6776
Jul-08,33626.60632
Aug-08,35467.39966
Sep-08,34210.38925
Oct-08,34378.60271
Nov-08,31255.3046
Dec-08,31332.33954
Jan-09,31586.57332
Feb-09,34074.67384
Mar-09,35134.24204
Apr-09,34482.11683
May-09,32584.10723
Jun-09,32168.68879
Jul-09,32030.38222
Aug-09,29332.83133
Sep-09,31062.55533
Oct-09,31165.79025
Nov-09,33882.84296
Dec-09,32946.00454
Jan-10,34091.5019
Feb-10,34371.47295
Mar-10,34220.00477
Apr-10,32243.03942
May-10,31621.92007
Jun-10,32439.86268
Jul-10,33569.55047
Aug-10,33975.25989
Sep-10,35968.12365
Oct-10,35215.57046
Nov-10,37208.01958
Dec-10,36727.9504
Jan-11,35911.16402
Feb-11,34539.08624
Mar-11,33985.21215
Apr-11,33623.8094
May-11,32377.71015
Jun-11,34300.90151
Jul-11,33574.03694
Aug-11,34044.81343
Sep-11,33539.88201
Oct-11,33378.26888
Nov-11,35556.511
Dec-11,37228.57845
Jan-12,38047.61265
Feb-12,38798.25816
Mar-12,39012.43284
Apr-12,39705.22374
May-12,39475.27805
Jun-12,37518.50445
Jul-12,36926.77286
Aug-12,36739.73611
Sep-12,38134.30128
Oct-12,40199.45731
Nov-12,40339.03016
Dec-12,40075.46541
Jan-13,37010.32476
Feb-13,38439.05749
Mar-13,36647.12895
Apr-13,35516.82779
May-13,34697.8914
Jun-13,36093.53716
Jul-13,35761.36681
Aug-13,35575.29616
Sep-13,35221.57982
Oct-13,36118.72952
Nov-13,37803.22227
Dec-13,38878.43171
Jan-14,38023.06907
Feb-14,40544.62873
Mar-14,36731.81258
Apr-14,34812.05399
May-14,32400.01253
Jun-14,31200.15038
Jul-14,31358.98699
Aug-14,31824.51582
Sep-14,33065.09763
Oct-14,34892.67491
Nov-14,34361.27379
Dec-14,36232.29776
Jan-15,37017.52654
Feb-15,35630.54352
Mar-15,36331.0544
Apr-15,36212.6415
May-15,35786.20081
Jun-15,34791.6008
Jul-15,34317.6343
Aug-15,33864.68893
Sep-15,34931.49467
Oct-15,37461.6107
Nov-15,38245.6854
Dec-15,37272.60086
Jan-16,38625.8432
Feb-16,38975.14731
Mar-16,38227.12797
Apr-16,37994.25348
May-16,37266.55044
Jun-16,37294.30724
Jul-16,36345.02015
Aug-16,37381.59181
Sep-16,37397.85986
Oct-16,37808.62848
Nov-16,38156.73819
Dec-16,39148.27194
Jan-17,40544.86334
Feb-17,41399.54525
Mar-17,41944.34252
Apr-17,40010.03279
May-17,39046.78798
Jun-17,34929.38979
Jul-17,35740.95039
Aug-17,36892.15259
Sep-17,38003.2622
Oct-17,38446.38305
Nov-17,38804.92814
Dec-17,41285.81921
Jan-18,40391.47549
Feb-18,40296.87312
Mar-18,42931.37943
Apr-18,39794.19619
May-18,37352.5312
Jun-18,37515.06296
Jul-18,36798.06992
Aug-18,36691.22002
Sep-18,34782.54455
Oct-18,38164.71432
Nov-18,38966.19014
Dec-18,38849.63808
Jan-19,40747.25596
Feb-19,40842.55284
Mar-19,38441.74235
Apr-19,38804.89308
May-19,35800.6856
Jun-19,33896.82235
Jul-19,33666.91856
Aug-19,35320.04185
Sep-19,38791.49949
Oct-19,40529.66331
Nov-19,37601.67158
Dec-19,40307.36475
Jan-20,43196.68314
Feb-20,42373.66063
Mar-20,40680.06012
Apr-20,36780.05906
May-20,35866.29532
Jun-20,34591.17589
Jul-20,33940.58761
Aug-20,33668.01884
Sep-20,36442.88578
Oct-20,39355.75458
Nov-20,39803.98729
Dec-20,38317.98973
Jan-21,38810.14684
Feb-21,38897.73576
Mar-21,37685.48508
Apr-21,35426.19984
May-21,35678.98421
Jun-21,34575.13238
