Date,MarginalCost
1/1/05,0
1/8/05,6.34
1/15/05,0.47
1/22/05,0
1/29/05,0
2/5/05,0
2/12/05,0
2/19/05,0
2/26/05,6.31
3/5/05,0
3/12/05,16.45
3/19/05,17.2
3/26/05,0
4/2/05,0
4/9/05,17.06
4/16/05,21.82
4/23/05,28.76
4/30/05,41.99
5/7/05,36.92
5/14/05,44.42
5/21/05,39.22
5/28/05,25.74
6/4/05,14.83
6/11/05,28.67
6/18/05,26.42
6/25/05,20.87
7/2/05,23.27
7/9/05,29.52
7/16/05,31.86
7/23/05,30.81
7/30/05,28.52
8/6/05,28.33
8/13/05,38.15
8/20/05,34.13
8/27/05,43.22
9/3/05,36.2
9/10/05,29.39
9/17/05,25.35
9/24/05,21.82
10/1/05,32.98
10/8/05,35.39
10/15/05,37.9
10/22/05,45.54
10/29/05,43.35
11/5/05,29.17
11/12/05,30.16
11/19/05,34.25
11/26/05,30.13
12/3/05,15
12/10/05,6.89
12/17/05,0.31
12/24/05,1.69
12/31/05,0
1/7/06,0
1/14/06,0
1/21/06,36.73
1/28/06,57.86
2/4/06,48.77
2/11/06,81.07
2/18/06,27.76
2/25/06,34.8
3/4/06,40.85
3/11/06,0
3/18/06,0
3/25/06,39.06
4/1/06,21.55
4/8/06,20.83
4/15/06,16.79
4/22/06,15.97
4/29/06,34.54
5/6/06,47.26
5/13/06,54.28
5/20/06,53.59
5/27/06,57.51
6/3/06,59.59
6/10/06,62.39
6/17/06,72.62
6/24/06,71.72
7/1/06,90.89
7/8/06,86.27
7/15/06,83.44
7/22/06,89.74
7/29/06,105.66
8/5/06,98.34
8/12/06,97.64
8/19/06,96.65
8/26/06,124.74
9/2/06,122.69
9/9/06,115.01
9/16/06,125.44
9/23/06,127.63
9/30/06,107.73
10/7/06,113.03
10/14/06,83.56
10/21/06,82.6
10/28/06,69.32
11/4/06,94.2
11/11/06,68.17
11/18/06,78.19
11/25/06,85.16
12/2/06,77.9
12/9/06,68.29
12/16/06,51.58
12/23/06,35.61
12/30/06,35.65
1/6/07,31.65
1/13/07,0.02
1/20/07,0
1/27/07,0
2/3/07,0
2/10/07,0
2/17/07,0
2/24/07,0
3/3/07,0
3/10/07,0
3/17/07,0
3/24/07,0
3/31/07,0
4/7/07,70.46
4/14/07,61.6
4/21/07,63.14
4/28/07,56.05
5/5/07,36.65
5/12/07,47.2
5/19/07,52.65
5/26/07,122.95
6/2/07,106.66
6/9/07,120.32
6/16/07,74.67
6/23/07,81.37
6/30/07,133.67
7/7/07,135.88
7/14/07,126.13
7/21/07,114.93
7/28/07,67.1
8/4/07,27.23
8/11/07,28.21
8/18/07,37.81
8/25/07,61.32
9/1/07,123.32
9/8/07,127.32
9/15/07,143.39
9/22/07,185.36
9/29/07,159.95
10/6/07,163.96
10/13/07,198.12
10/20/07,202.33
10/27/07,222.97
11/3/07,214.31
11/10/07,172.38
11/17/07,143.09
11/24/07,163.09
12/1/07,190.53
12/8/07,211.22
12/15/07,198.64
12/22/07,197.67
12/29/07,248.79
1/5/08,472.1
1/12/08,637.23
1/19/08,581.48
1/26/08,554.98
2/2/08,257.49
2/9/08,121.07
2/16/08,159.14
2/23/08,212.17
3/1/08,146.83
3/8/08,138.19
3/15/08,173.86
3/22/08,78.05
3/29/08,83.26
4/5/08,115.82
4/12/08,66.87
4/19/08,25.95
4/26/08,34.91
5/3/08,23.29
5/10/08,0
5/17/08,27.27
5/24/08,42.89
5/31/08,80.01
6/7/08,78.62
6/14/08,72.24
6/21/08,78.13
6/28/08,87.27
7/5/08,90.55
7/12/08,101.41
7/19/08,108.01
7/26/08,143.78
8/2/08,136.81
8/9/08,118.1
8/16/08,79.45
8/23/08,72
8/30/08,89.91
9/6/08,102.95
9/13/08,116.27
9/20/08,118.34
9/27/08,100.63
10/4/08,97.68
10/11/08,75.64
10/18/08,92.39
10/25/08,99.53
11/1/08,104.07
11/8/08,114.95
11/15/08,109.82
11/22/08,92.51
11/29/08,95.08
12/6/08,104.2
12/13/08,115.29
12/20/08,92.28
12/27/08,76.51
1/3/09,41.95
1/10/09,67.69
1/17/09,139.8
1/24/09,111.54
1/31/09,66.01
2/7/09,65.81
2/14/09,66.58
2/21/09,16.38
2/28/09,61.39
3/7/09,81.37
3/14/09,107.67
3/21/09,95.54
3/28/09,104.81
4/4/09,23.39
4/11/09,48.45
4/18/09,37.15
4/25/09,44.1
5/2/09,45.77
5/9/09,35.71
5/16/09,35.83
5/23/09,36.72
5/30/09,39.03
6/6/09,35.96
6/13/09,42.83
6/20/09,44.62
6/27/09,49.33
7/4/09,37.19
7/11/09,29.94
7/18/09,19.47
7/25/09,20.29
8/1/09,10.69
8/8/09,9.74
8/15/09,9.96
8/22/09,11.7
8/29/09,7.87
9/5/09,7.66
9/12/09,3.87
9/19/09,3.98
9/26/09,1.99
10/3/09,2.36
10/10/09,3.06
10/17/09,2.46
10/24/09,1.4
10/31/09,0.52
11/7/09,0.44
11/14/09,0.34
11/21/09,0.66
11/28/09,1.17
12/5/09,0.52
12/12/09,0
12/19/09,0
12/26/09,0.29
1/2/10,0
1/9/10,0
1/16/10,0
1/23/10,0
1/30/10,20.69
2/6/10,0
2/13/10,0
2/20/10,10.15
2/27/10,20.69
3/6/10,11.4
3/13/10,16.06
3/20/10,33.4
3/27/10,35.97
4/3/10,16.28
4/10/10,10.52
4/17/10,23.11
4/24/10,22.46
5/1/10,18.14
5/8/10,25.25
5/15/10,31.04
5/22/10,32.89
5/29/10,54.67
6/5/10,58.78
6/12/10,57.89
6/19/10,63.27
6/26/10,97.53
7/3/10,99.92
7/10/10,93.14
7/17/10,82.16
7/24/10,72.78
7/31/10,102.68
8/7/10,124.66
8/14/10,113.83
8/21/10,123.39
8/28/10,103.82
9/4/10,122.96
9/11/10,115.08
9/18/10,127.69
9/25/10,165.87
10/2/10,156.04
10/9/10,129.36
10/16/10,149.34
10/23/10,152.82
10/30/10,147.04
11/6/10,120.96
11/13/10,125.63
11/20/10,104.62
11/27/10,84.16
12/4/10,91.49
12/11/10,73.46
12/18/10,62.09
12/25/10,51.71
1/1/11,53.74
1/8/11,17.27
1/15/11,25.42
1/22/11,21.12
1/29/11,11.85
2/5/11,36.2
2/12/11,47.82
2/19/11,57.19
2/26/11,79.69
3/5/11,0
3/12/11,33.4
3/19/11,10.71
3/26/11,0
4/2/11,0
4/9/11,0
4/16/11,0
4/23/11,7.01
4/30/11,14.69
5/7/11,13.3
5/14/11,14.57
5/21/11,15.88
5/28/11,27.74
6/4/11,30.19
6/11/11,32.12
6/18/11,27.55
6/25/11,28.22
7/2/11,27.08
