Date,Storable_ENA
Jan-00,43944
Feb-00,54746
Mar-00,48380
Apr-00,30203
May-00,20144
Jun-00,17648
Jul-00,16532
Aug-00,16000
Sep-00,25138
Oct-00,15284
Nov-00,23338
Dec-00,35205
Jan-01,31595
Feb-01,30296
Mar-01,29972
Apr-01,23050
May-01,18862
Jun-01,17245
Jul-01,14705
Aug-01,12544
Sep-01,13340
Oct-01,19515
Nov-01,22088
Dec-01,33992
Jan-02,47351
Feb-02,51362
Mar-02,38187
Apr-02,26381
May-02,24159
Jun-02,18707
Jul-02,16402
Aug-02,14844
Sep-02,15824
Oct-02,11692
Nov-02,20079
Dec-02,29527
Jan-03,50885
Feb-03,50089
Mar-03,37602
Apr-03,35568
May-03,24088
Jun-03,20717
Jul-03,17855
Aug-03,14156
Sep-03,13681
Oct-03,14080
Nov-03,19433
Dec-03,30316
Jan-04,40623
Feb-04,59424
Mar-04,50838
Apr-04,38418
May-04,31688
Jun-04,28720
Jul-04,24188
Aug-04,17730
Sep-04,13942
Oct-04,18841
Nov-04,22364
Dec-04,35769
Jan-05,48683
Feb-05,40483
Mar-05,44419
Apr-05,32534
May-05,27971
Jun-05,25490
Jul-05,19696
Aug-05,15647
Sep-05,18442
Oct-05,18553
Nov-05,24573
Dec-05,45234
Jan-06,40263
Feb-06,44033
Mar-06,44788
Apr-06,39117
May-06,26859
Jun-06,21968
Jul-06,19362
Aug-06,15291
Sep-06,16388
Oct-06,23496
Nov-06,25944
Dec-06,50837
Jan-07,75576
Feb-07,52922
Mar-07,40488
Apr-07,33112
May-07,26885
Jun-07,22863
Jul-07,22400
Aug-07,18193
Sep-07,12360
Oct-07,11539
Nov-07,22561
Dec-07,27820
Jan-08,35805
Feb-08,60387
Mar-08,59230
Apr-08,43105
May-08,33861
Jun-08,27367
Jul-08,20584
Aug-08,21125
Sep-08,15387
Oct-08,20019
Nov-08,23952
Dec-08,34939
Jan-09,49840
Feb-09,56906
Mar-09,42576
Apr-09,42143
May-09,29867
Jun-09,24717
Jul-09,26791
Aug-09,23439
Sep-09,26833
Oct-09,28027
Nov-09,30600
Dec-09,40137
Jan-10,42219
Feb-10,40243
Mar-10,43436
Apr-10,34102
May-10,25786
Jun-10,22127
Jul-10,19672
Aug-10,14987
Sep-10,13080
Oct-10,19689
Nov-10,27813
Dec-10,40893
Jan-11,70445
Feb-11,44451
Mar-11,61709
Apr-11,44230
May-11,32263
Jun-11,27357
Jul-11,23129
Aug-11,20546
Sep-11,14920
Oct-11,22825
Nov-11,24136
Dec-11,40879
Jan-12,64765
Feb-12,46365
Mar-12,34834
Apr-12,30987
May-12,29030
Jun-12,34258
Jul-12,25380
Aug-12,16789
Sep-12,13446
Oct-12,12573
Nov-12,21522
Dec-12,26942
Jan-13,48118
Feb-13,58108
Mar-13,50612
Apr-13,52677
May-13,30371
Jun-13,35499
Jul-13,27939
Aug-13,19851
Sep-13,17584
Oct-13,24663
Nov-13,23734
Dec-13,39902
Jan-14,29529
Feb-14,21777
Mar-14,33421
Apr-14,32541
May-14,22034
Jun-14,23021
Jul-14,17587
Aug-14,14842
Sep-14,14205
Oct-14,13505
Nov-14,17780
Dec-14,34236
Jan-15,21910
Feb-15,34103
Mar-15,41865
Apr-15,36106
May-15,29555
Jun-15,22734
Jul-15,26383
Aug-15,15822
Sep-15,20728
Oct-15,19012
Nov-15,25785
Dec-15,32500
Jan-16,61060
Feb-16,50064
Mar-16,49916
Apr-16,32725
May-16,30245
Jun-16,30894
Jul-16,22053
Aug-16,20143
Sep-16,17963
Oct-16,19256
Nov-16,26473
Dec-16,35332
Jan-17,42643
Feb-17,47068
Mar-17,39937
Apr-17,35001
May-17,35191
Jun-17,28689
Jul-17,19660
Aug-17,16831
Sep-17,12295
Oct-17,15256
Nov-17,31112
Dec-17,43493
Jan-18,55881
Feb-18,51149
Mar-18,52324
Apr-18,40948
May-18,27962
Jun-18,23694
Jul-18,17324
Aug-18,16523
Sep-18,15818
Oct-18,25058
Nov-18,39077
Dec-18,43429
Jan-19,37820.46484
Feb-19,40805.16016
Mar-19,58372.34766
Apr-19,47322.60156
May-19,36768.07031
Jun-19,29221.0293
Jul-19,21699.70703
Aug-19,16202.92871
Sep-19,13343.52441
Oct-19,13512.10547
Nov-19,19386.09961
Dec-19,38386.17578
Jan-20,46837
Feb-20,70429
Mar-20,64344
Apr-20,42968
May-20,30475
Jun-20,24741
Jul-20,20111.58594
Aug-20,17250.48242
Sep-20,12422.50293
Oct-20,11953.41699
Nov-20,18098.58984
Dec-20,29347.30273
Jan-21,44548.20313
Feb-21,47729.07813
Mar-21,45780.32422
Apr-21,30093.36914
May-21,23908.02148
Jun-21,21171.8418
