Date,Stored_Energy
Jan-00,45444
Feb-00,70383
Mar-00,90662
Apr-00,92010
May-00,83606
Jun-00,74991
Jul-00,63510
Aug-00,51328
Sep-00,49056
Oct-00,36661
Nov-00,35327
Dec-00,45614
Jan-01,50205
Feb-01,53632
Mar-01,55365
Apr-01,51570
May-01,47701
Jun-01,45827
Jul-01,42866
Aug-01,37450
Sep-01,33036
Oct-01,34927
Nov-01,38341
Dec-01,53771
Jan-02,77797
Feb-02,104684
Mar-02,116326
Apr-02,114449
May-02,115131
Jun-02,110616
Jul-02,105623
Aug-02,95025
Sep-02,87101
Oct-02,72695
Nov-02,68229
Dec-02,73490
Jan-03,104370
Feb-03,120626
Mar-03,132062
Apr-03,137767
May-03,135140
Jun-03,129420
Jul-03,119546
Aug-03,104987
Sep-03,88963
Oct-03,72420
Nov-03,63924
Dec-03,66300
Jan-04,84092
Feb-04,118021
Mar-04,134810
Apr-04,143448
May-04,146823
Jun-04,146290
Jul-04,142867
Aug-04,132503
Sep-04,117244
Oct-04,109894
Nov-04,105462
Dec-04,114789
Jan-05,134743
Feb-05,140032
Mar-05,152784
Apr-05,152492
May-05,151776
Jun-05,146838
Jul-05,139016
Aug-05,124603
Sep-05,116086
Oct-05,107336
Nov-05,105328
Dec-05,119483
Jan-06,126686
Feb-06,139721
Mar-06,151957
Apr-06,156654
May-06,153616
Jun-06,142051
Jul-06,130067
Aug-06,110122
Sep-06,93419
Oct-06,85598
Nov-06,80292
Dec-06,100672
Jan-07,147361
Feb-07,158729
Mar-07,163820
Apr-07,166150
May-07,164167
Jun-07,157374
Jul-07,150447
Aug-07,136252
Sep-07,117362
Oct-07,97646
Nov-07,91160
Dec-07,87269
Jan-08,96064
Feb-08,124072
Mar-08,148528
Apr-08,155601
May-08,156855
Jun-08,150511
Jul-08,138407
Aug-08,125625
Sep-08,109454
Oct-08,98213
Nov-08,94086
Dec-08,105620
Jan-09,125087
Feb-09,143922
Mar-09,152470
Apr-09,158076
May-09,155502
Jun-09,148658
Jul-09,143991
Aug-09,137143
Sep-09,132861
Oct-09,130931
Nov-09,129937
Dec-09,139562
Jan-10,148451
Feb-10,150673
Mar-10,159719
Apr-10,158356
May-10,152236
Jun-10,143927
Jul-10,131391
Aug-10,117153
Sep-10,98554
Oct-10,86242
Nov-10,81323
Dec-10,89592
Jan-11,126055
Feb-11,136306
Mar-11,165938
Apr-11,175697
May-11,175777
Jun-11,170682
Jul-11,161370
Aug-11,148254
Sep-11,130796
Oct-11,122834
Nov-11,114148
Dec-11,121371
Jan-12,152258
Feb-12,160148
Mar-12,157083
Apr-12,152208
May-12,144931
Jun-12,144981
Jul-12,133897
Aug-12,115108
Sep-12,95852
Oct-12,74098
Nov-12,63831
Dec-12,57899
Jan-13,75166
Feb-13,91484
Mar-13,108668
Apr-13,125496
May-13,125900
Jun-13,127942
Jul-13,122106
Aug-13,110606
Sep-13,97676
Oct-13,90418
Nov-13,83513
Dec-13,86283
Jan-14,80592
Feb-14,69678
Mar-14,72925
Apr-14,76293
May-14,75935
Jun-14,74076
Jul-14,69783
Aug-14,61628
Sep-14,51179
Oct-14,38104
Nov-14,32164
Dec-14,39261
Jan-15,34644
Feb-15,42080
Mar-15,58037
Apr-15,68274
May-15,73329
Jun-15,73501
Jul-15,76088
Aug-15,69723
Sep-15,65634
Oct-15,56405
Nov-15,55920
Dec-15,60580
Jan-16,90350
Feb-16,103557
Mar-16,118510
Apr-16,117344
May-16,115591
Jun-16,114155
Jul-16,104905
Aug-16,93418
Sep-16,81654
Oct-16,70826
Nov-16,68055
Dec-16,68612
Jan-17,75909
Feb-17,82112
Mar-17,84294
Apr-17,85117
May-17,88088
Jun-17,85638
Jul-17,77600
Aug-17,66083
Sep-17,49225
Oct-17,35804
Nov-17,38098
Dec-17,45936
Jan-18,63104.61328
Feb-18,74668.02344
Mar-18,85872.14844
Apr-18,89158.63281
May-18,86266.82031
Jun-18,80490.625
Jul-18,69420.23438
Aug-18,56718.85938
Sep-18,46480.75391
Oct-18,40992.12109
Nov-18,48697.26953
Dec-18,55661.85156
Jan-19,54298.86719
Feb-19,59558.4375
Mar-19,81148.35156
Apr-19,91469.85156
May-19,95507.14844
Jun-19,95855.99219
Jul-19,90933.59375
Aug-19,79776.79688
Sep-19,62785.77734
Oct-19,45523.58984
Nov-19,38409.40625
Dec-19,41099.57031
Jan-20,50308.54688
Feb-20,80592.46094
Mar-20,103852.8594
Apr-20,110969.2734
May-20,111741.5
Jun-20,107290.3281
Jul-20,97850.5625
Aug-20,86186.57031
Sep-20,66981.08594
Oct-20,48199.49609
Nov-20,36331.20313
Dec-20,38001.62891
Jan-21,47497.07031
Feb-21,60139.30469
Mar-21,71745.41406
Apr-21,70610.02344
May-21,65295.50781
Jun-21,59156.35938
