Month,Reservoir,Vol_Uti_percent
Jan-99,TRÊS MARIAS,39.98
Feb-99,TRÊS MARIAS,40.89
Mar-99,TRÊS MARIAS,62.31
Apr-99,TRÊS MARIAS,61.12
May-99,TRÊS MARIAS,55.59
Jun-99,TRÊS MARIAS,49.17
Jul-99,TRÊS MARIAS,41.58
Aug-99,TRÊS MARIAS,32.89
Sep-99,TRÊS MARIAS,25.42
Oct-99,TRÊS MARIAS,18.81
Nov-99,TRÊS MARIAS,21.57
Dec-99,TRÊS MARIAS,24.49
Jan-00,TRÊS MARIAS,35.88
Feb-00,TRÊS MARIAS,62.91
Mar-00,TRÊS MARIAS,78.19
Apr-00,TRÊS MARIAS,79.81
May-00,TRÊS MARIAS,75.29
Jun-00,TRÊS MARIAS,68.73
Jul-00,TRÊS MARIAS,60.58
Aug-00,TRÊS MARIAS,50.62
Sep-00,TRÊS MARIAS,42.62
Oct-00,TRÊS MARIAS,31.65
Nov-00,TRÊS MARIAS,28.87
Dec-00,TRÊS MARIAS,33.78
Jan-01,TRÊS MARIAS,38.43
Feb-01,TRÊS MARIAS,35.45
Mar-01,TRÊS MARIAS,35.07
Apr-01,TRÊS MARIAS,31.49
May-01,TRÊS MARIAS,27.3
Jun-01,TRÊS MARIAS,24.15
Jul-01,TRÊS MARIAS,20.55
Aug-01,TRÊS MARIAS,16.98
Sep-01,TRÊS MARIAS,13.38
Oct-01,TRÊS MARIAS,10.15
Nov-01,TRÊS MARIAS,9.87
Dec-01,TRÊS MARIAS,18.87
Jan-02,TRÊS MARIAS,35.5
Feb-02,TRÊS MARIAS,59.06
Mar-02,TRÊS MARIAS,70.32
Apr-02,TRÊS MARIAS,71.86
May-02,TRÊS MARIAS,69.66
Jun-02,TRÊS MARIAS,65.41
Jul-02,TRÊS MARIAS,59.44
Aug-02,TRÊS MARIAS,51.43
Sep-02,TRÊS MARIAS,41.84
Oct-02,TRÊS MARIAS,30.44
Nov-02,TRÊS MARIAS,24.45
Dec-02,TRÊS MARIAS,27.03
Jan-03,TRÊS MARIAS,43.87
Feb-03,TRÊS MARIAS,52.01
Mar-03,TRÊS MARIAS,56.28
Apr-03,TRÊS MARIAS,55.11
May-03,TRÊS MARIAS,51.63
Jun-03,TRÊS MARIAS,46.57
Jul-03,TRÊS MARIAS,41.36
Aug-03,TRÊS MARIAS,34.73
Sep-03,TRÊS MARIAS,28.22
Oct-03,TRÊS MARIAS,20.32
Nov-03,TRÊS MARIAS,15.36
Dec-03,TRÊS MARIAS,19.22
Jan-04,TRÊS MARIAS,33.04
Feb-04,TRÊS MARIAS,56.17
Mar-04,TRÊS MARIAS,81.83
Apr-04,TRÊS MARIAS,92.33
May-04,TRÊS MARIAS,92.98
Jun-04,TRÊS MARIAS,92.08
Jul-04,TRÊS MARIAS,88.54
Aug-04,TRÊS MARIAS,81.83
Sep-04,TRÊS MARIAS,73.56
Oct-04,TRÊS MARIAS,65.47
Nov-04,TRÊS MARIAS,60.15
Dec-04,TRÊS MARIAS,68.84
Jan-05,TRÊS MARIAS,82.34
Feb-05,TRÊS MARIAS,84.37
Mar-05,TRÊS MARIAS,93.36
Apr-05,TRÊS MARIAS,94
May-05,TRÊS MARIAS,93.68
Jun-05,TRÊS MARIAS,91
Jul-05,TRÊS MARIAS,85.59
Aug-05,TRÊS MARIAS,79.02
Sep-05,TRÊS MARIAS,72.68
Oct-05,TRÊS MARIAS,64.49
Nov-05,TRÊS MARIAS,65.79
Dec-05,TRÊS MARIAS,74.62
Jan-06,TRÊS MARIAS,75.68
Feb-06,TRÊS MARIAS,78.47
Mar-06,TRÊS MARIAS,92.85
Apr-06,TRÊS MARIAS,95.86
May-06,TRÊS MARIAS,93.62
Jun-06,TRÊS MARIAS,89.59
Jul-06,TRÊS MARIAS,83.69
Aug-06,TRÊS MARIAS,76.51
Sep-06,TRÊS MARIAS,70.6
Oct-06,TRÊS MARIAS,66.77
Nov-06,TRÊS MARIAS,65.95
Dec-06,TRÊS MARIAS,79.08
Jan-07,TRÊS MARIAS,85.77
Feb-07,TRÊS MARIAS,89.77
Mar-07,TRÊS MARIAS,93.23
Apr-07,TRÊS MARIAS,93.68
May-07,TRÊS MARIAS,91.25
Jun-07,TRÊS MARIAS,87.19
Jul-07,TRÊS MARIAS,82.34
Aug-07,TRÊS MARIAS,76.24
Sep-07,TRÊS MARIAS,68.73
Oct-07,TRÊS MARIAS,59.82
Nov-07,TRÊS MARIAS,50.37
Dec-07,TRÊS MARIAS,45.27
Jan-08,TRÊS MARIAS,46.18
Feb-08,TRÊS MARIAS,72.57
Mar-08,TRÊS MARIAS,89.83
Apr-08,TRÊS MARIAS,97.95
May-08,TRÊS MARIAS,97.53
Jun-08,TRÊS MARIAS,94.84
Jul-08,TRÊS MARIAS,90.26
Aug-08,TRÊS MARIAS,83.92
Sep-08,TRÊS MARIAS,77.18
Oct-08,TRÊS MARIAS,66.88
Nov-08,TRÊS MARIAS,61.5
Dec-08,TRÊS MARIAS,76.24
Jan-09,TRÊS MARIAS,87.68
Feb-09,TRÊS MARIAS,93.49
Mar-09,TRÊS MARIAS,100.08
Apr-09,TRÊS MARIAS,99.92
May-09,TRÊS MARIAS,99.7
Jun-09,TRÊS MARIAS,96.31
Jul-09,TRÊS MARIAS,90.32
Aug-09,TRÊS MARIAS,81.61
Sep-09,TRÊS MARIAS,72.41
Oct-09,TRÊS MARIAS,66.39
Nov-09,TRÊS MARIAS,60.26
Dec-09,TRÊS MARIAS,68.07
Jan-10,TRÊS MARIAS,72.08
Feb-10,TRÊS MARIAS,67.85
Mar-10,TRÊS MARIAS,76.35
Apr-10,TRÊS MARIAS,76.4
May-10,TRÊS MARIAS,70.16
