Month,Reservoir,Water_Level
Jan-99,VOLTA GRANDE,494.37
Feb-99,VOLTA GRANDE,494.28
Mar-99,VOLTA GRANDE,494.02
Apr-99,VOLTA GRANDE,494.16
May-99,VOLTA GRANDE,494.11
Jun-99,VOLTA GRANDE,494.02
Jul-99,VOLTA GRANDE,494.09
Aug-99,VOLTA GRANDE,493.68
Sep-99,VOLTA GRANDE,493.89
Oct-99,VOLTA GRANDE,494.08
Nov-99,VOLTA GRANDE,493.63
Dec-99,VOLTA GRANDE,494.01
Jan-00,VOLTA GRANDE,494.26
Feb-00,VOLTA GRANDE,494.22
Mar-00,VOLTA GRANDE,493.65
Apr-00,VOLTA GRANDE,494.27
May-00,VOLTA GRANDE,493.81
Jun-00,VOLTA GRANDE,493.76
Jul-00,VOLTA GRANDE,493.83
Aug-00,VOLTA GRANDE,493.88
Sep-00,VOLTA GRANDE,493.97
Oct-00,VOLTA GRANDE,493.55
Nov-00,VOLTA GRANDE,493.74
Dec-00,VOLTA GRANDE,494.05
Jan-01,VOLTA GRANDE,494.1
Feb-01,VOLTA GRANDE,494.07
Mar-01,VOLTA GRANDE,494.39
Apr-01,VOLTA GRANDE,494.25
May-01,VOLTA GRANDE,494.15
Jun-01,VOLTA GRANDE,494.2
Jul-01,VOLTA GRANDE,494.14
Aug-01,VOLTA GRANDE,494.23
Sep-01,VOLTA GRANDE,494.2
Oct-01,VOLTA GRANDE,493.98
Nov-01,VOLTA GRANDE,494.1
Dec-01,VOLTA GRANDE,494.01
Jan-02,VOLTA GRANDE,494.06
Feb-02,VOLTA GRANDE,494.03
Mar-02,VOLTA GRANDE,493.97
Apr-02,VOLTA GRANDE,493.9
May-02,VOLTA GRANDE,494.13
Jun-02,VOLTA GRANDE,494.09
Jul-02,VOLTA GRANDE,493.98
Aug-02,VOLTA GRANDE,494.01
Sep-02,VOLTA GRANDE,493.81
Oct-02,VOLTA GRANDE,493.92
Nov-02,VOLTA GRANDE,493.85
Dec-02,VOLTA GRANDE,493.84
Jan-03,VOLTA GRANDE,494.28
Feb-03,VOLTA GRANDE,493.87
Mar-03,VOLTA GRANDE,494.14
Apr-03,VOLTA GRANDE,493.9
May-03,VOLTA GRANDE,494.2
Jun-03,VOLTA GRANDE,494.19
Jul-03,VOLTA GRANDE,494.19
Aug-03,VOLTA GRANDE,494.15
Sep-03,VOLTA GRANDE,493.92
Oct-03,VOLTA GRANDE,494.21
Nov-03,VOLTA GRANDE,493.95
