"","date","energy_charge","Energy_Exchange.FromN.","Energy_Exhange.Export.","Energy_Exchange.fromNE.","Energy_Generated","sum(Hourly_Load)","MarginalCost","Maximum_Demand","Storable_ENA","Stored_Energy"
"1",1999-01-01,434.6805,NA,2182.65,NA,24847.44274,434680.5,NA,NA,NA,NA
"2",1999-01-02,468.9269,NA,NA,NA,NA,468926.9,NA,NA,NA,NA
"3",1999-01-03,456.2706,NA,NA,NA,NA,456270.6,NA,NA,NA,NA
"4",1999-01-04,562.3646,NA,NA,NA,NA,562364.6,NA,NA,NA,NA
"5",1999-01-05,588.9164,NA,NA,NA,NA,588916.4,NA,NA,NA,NA
"6",1999-01-06,590.5349,NA,NA,NA,NA,590534.9,NA,NA,NA,NA
"7",1999-01-07,584.5736,NA,NA,NA,NA,584573.6,NA,NA,NA,NA
"8",1999-01-08,589.5664,NA,NA,NA,NA,589566.4,NA,NA,NA,NA
"9",1999-01-09,535.5908,NA,NA,NA,NA,535590.8,NA,NA,NA,NA
"10",1999-01-10,483.815,NA,NA,NA,NA,483815,NA,NA,NA,NA
"11",1999-01-11,590.1639,NA,NA,NA,NA,590163.9,NA,NA,NA,NA
"12",1999-01-12,602.1987,NA,NA,NA,NA,602198.7,NA,NA,NA,NA
"13",1999-01-13,601.7371,NA,NA,NA,NA,601737.1,NA,NA,NA,NA
"14",1999-01-14,611.5148,NA,NA,NA,NA,611514.8,NA,NA,NA,NA
"15",1999-01-15,609.9516,NA,NA,NA,NA,609951.6,NA,NA,NA,NA
"16",1999-01-16,544.3699,NA,NA,NA,NA,544369.9,NA,NA,NA,NA
"17",1999-01-17,492.4527,NA,NA,NA,NA,492452.7,NA,NA,NA,NA
"18",1999-01-18,606.9837,NA,NA,NA,NA,606983.7,NA,NA,NA,NA
"19",1999-01-19,628.4884,NA,NA,NA,NA,628488.4,NA,NA,NA,NA
"20",1999-01-20,626.8673,NA,NA,NA,NA,626867.3,NA,NA,NA,NA
"21",1999-01-21,643.1292,NA,NA,NA,NA,643129.2,NA,NA,NA,NA
"22",1999-01-22,636.4958,NA,NA,NA,NA,636495.8,NA,NA,NA,NA
"23",1999-01-23,566.9227,NA,NA,NA,NA,566922.7,NA,NA,NA,NA
"24",1999-01-24,502.4327,NA,NA,NA,NA,502432.7,NA,NA,NA,NA
"25",1999-01-25,594.0422,NA,NA,NA,NA,594042.2,NA,NA,NA,NA
"26",1999-01-26,631.3178,NA,NA,NA,NA,631317.8,NA,NA,NA,NA
"27",1999-01-27,387.682,NA,NA,NA,NA,387682,NA,NA,NA,NA
"28",1999-01-28,516.0256,NA,NA,NA,NA,516025.6,NA,NA,NA,NA
"29",1999-01-29,620.3785,NA,NA,NA,NA,620378.5,NA,NA,NA,NA
"30",1999-01-30,564.9339,NA,NA,NA,NA,564933.9,NA,NA,NA,NA
"31",1999-01-31,491.7644,NA,NA,NA,NA,491764.4,NA,NA,NA,NA
"32",1999-02-01,603.9405,NA,1725.6,NA,26535.49152,603940.5,NA,NA,NA,NA
"33",1999-02-02,622.6649,NA,NA,NA,NA,622664.9,NA,NA,NA,NA
"34",1999-02-03,632.5436,NA,NA,NA,NA,632543.6,NA,NA,NA,NA
"35",1999-02-04,638.7203,NA,NA,NA,NA,638720.3,NA,NA,NA,NA
"36",1999-02-05,635.1916,NA,NA,NA,NA,635191.6,NA,NA,NA,NA
"37",1999-02-06,576.9046,NA,NA,NA,NA,576904.6,NA,NA,NA,NA
"38",1999-02-07,504.8792,NA,NA,NA,NA,504879.2,NA,NA,NA,NA
"39",1999-02-08,619.1701,NA,NA,NA,NA,619170.1,NA,NA,NA,NA
"40",1999-02-09,638.1241,NA,NA,NA,NA,638124.1,NA,NA,NA,NA
"41",1999-02-10,636.646,NA,NA,NA,NA,636646,NA,NA,NA,NA
"42",1999-02-11,636.1025,NA,NA,NA,NA,636102.5,NA,NA,NA,NA
"43",1999-02-12,619.183,NA,NA,NA,NA,619183,NA,NA,NA,NA
"44",1999-02-13,550.5934,NA,NA,NA,NA,550593.4,NA,NA,NA,NA
"45",1999-02-14,494.2338,NA,NA,NA,NA,494233.8,NA,NA,NA,NA
"46",1999-02-15,532.4187,NA,NA,NA,NA,532418.7,NA,NA,NA,NA
"47",1999-02-16,526.6086,NA,NA,NA,NA,526608.6,NA,NA,NA,NA
"48",1999-02-17,589.6409,NA,NA,NA,NA,589640.9,NA,NA,NA,NA
"49",1999-02-18,627.4665,NA,NA,NA,NA,627466.5,NA,NA,NA,NA
"50",1999-02-19,621.6528,NA,NA,NA,NA,621652.8,NA,NA,NA,NA
"51",1999-02-20,562.7461,NA,NA,NA,NA,562746.1,NA,NA,NA,NA
"52",1999-02-21,505.2661,NA,NA,NA,NA,505266.1,NA,NA,NA,NA
"53",1999-02-22,619.5492,NA,NA,NA,NA,619549.2,NA,NA,NA,NA
"54",1999-02-23,631.8748,NA,NA,NA,NA,631874.8,NA,NA,NA,NA
"55",1999-02-24,630.384,NA,NA,NA,NA,630384,NA,NA,NA,NA
"56",1999-02-25,633.8263,NA,NA,NA,NA,633826.3,NA,NA,NA,NA
"57",1999-02-26,624.034,NA,NA,NA,NA,624034,NA,NA,NA,NA
"58",1999-02-27,559.7115,NA,NA,NA,NA,559711.5,NA,NA,NA,NA
"59",1999-02-28,498.0091,NA,NA,NA,NA,498009.1,NA,NA,NA,NA
"60",1999-03-01,607.6461,NA,1437.55,NA,26832.44677,607646.1,NA,33496,NA,NA
"61",1999-03-02,618.651,NA,NA,NA,NA,618651,NA,NA,NA,NA
"62",1999-03-03,618.8838,NA,NA,NA,NA,618883.8,NA,NA,NA,NA
"63",1999-03-04,622.4852,NA,NA,NA,NA,622485.2,NA,NA,NA,NA
"64",1999-03-05,621.0049,NA,NA,NA,NA,621004.9,NA,NA,NA,NA
"65",1999-03-06,562.8032,NA,NA,NA,NA,562803.2,NA,NA,NA,NA
"66",1999-03-07,505.1667,NA,NA,NA,NA,505166.7,NA,NA,NA,NA
"67",1999-03-08,610.8885,NA,NA,NA,NA,610888.5,NA,NA,NA,NA
"68",1999-03-09,638.3921,NA,NA,NA,NA,638392.1,NA,NA,NA,NA
"69",1999-03-10,642.3908,NA,NA,NA,NA,642390.8,NA,NA,NA,NA
"70",1999-03-11,612.1327,NA,NA,NA,NA,612132.7,NA,NA,NA,NA
"71",1999-03-12,592.7092,NA,NA,NA,NA,592709.2,NA,NA,NA,NA
"72",1999-03-13,553.8453,NA,NA,NA,NA,553845.3,NA,NA,NA,NA
"73",1999-03-14,492.4509,NA,NA,NA,NA,492450.9,NA,NA,NA,NA
"74",1999-03-15,598.4035,NA,NA,NA,NA,598403.5,NA,NA,NA,NA
"75",1999-03-16,616.7807,NA,NA,NA,NA,616780.7,NA,NA,NA,NA
"76",1999-03-17,624.6026,NA,NA,NA,NA,624602.6,NA,NA,NA,NA
"77",1999-03-18,625.951,NA,NA,NA,NA,625951,NA,NA,NA,NA
"78",1999-03-19,627.5683,NA,NA,NA,NA,627568.3,NA,NA,NA,NA
"79",1999-03-20,570.4762,NA,NA,NA,NA,570476.2,NA,NA,NA,NA
"80",1999-03-21,522.7535,NA,NA,NA,NA,522753.5,NA,NA,NA,NA
"81",1999-03-22,632.9462,NA,NA,NA,NA,632946.2,NA,NA,NA,NA
"82",1999-03-23,639.781,NA,NA,NA,NA,639781,NA,NA,NA,NA
"83",1999-03-24,635.8949,NA,NA,NA,NA,635894.9,NA,NA,NA,NA
"84",1999-03-25,643.7991,NA,NA,NA,NA,643799.1,NA,NA,NA,NA
"85",1999-03-26,648.1571,NA,NA,NA,NA,648157.1,NA,NA,NA,NA
"86",1999-03-27,588.0875,NA,NA,NA,NA,588087.5,NA,NA,NA,NA
"87",1999-03-28,538.0875,NA,NA,NA,NA,538087.5,NA,NA,NA,NA
"88",1999-03-29,655.0865,NA,NA,NA,NA,655086.5,NA,NA,NA,NA
"89",1999-03-30,662.4495,NA,NA,NA,NA,662449.5,NA,NA,NA,NA
"90",1999-03-31,651.0134,NA,NA,NA,NA,651013.4,NA,NA,NA,NA
"91",1999-04-01,629.2275,NA,1133.67,NA,25993.01117,629227.5,NA,NA,NA,NA
"92",1999-04-02,513.6376,NA,NA,NA,NA,513637.6,NA,NA,NA,NA
"93",1999-04-03,545.447,NA,NA,NA,NA,545447,NA,NA,NA,NA
"94",1999-04-04,519.8056,NA,NA,NA,NA,519805.6,NA,NA,NA,NA
"95",1999-04-05,635.4005,NA,NA,NA,NA,635400.5,NA,NA,NA,NA
"96",1999-04-06,651.7377,NA,NA,NA,NA,651737.7,NA,NA,NA,NA
"97",1999-04-07,650.4866,NA,NA,NA,NA,650486.6,NA,NA,NA,NA
"98",1999-04-08,643.1826,NA,NA,NA,NA,643182.6,NA,NA,NA,NA
"99",1999-04-09,634.8687,NA,NA,NA,NA,634868.7,NA,NA,NA,NA
"100",1999-04-10,567.3564,NA,NA,NA,NA,567356.4,NA,NA,NA,NA
"101",1999-04-11,501.2563,NA,NA,NA,NA,501256.3,NA,NA,NA,NA
"102",1999-04-12,609.5173,NA,NA,NA,NA,609517.3,NA,NA,NA,NA
"103",1999-04-13,635.8236,NA,NA,NA,NA,635823.6,NA,NA,NA,NA
"104",1999-04-14,641.9646,NA,NA,NA,NA,641964.6,NA,NA,NA,NA
"105",1999-04-15,636.8662,NA,NA,NA,NA,636866.2,NA,NA,NA,NA
"106",1999-04-16,636.2455,NA,NA,NA,NA,636245.5,NA,NA,NA,NA
"107",1999-04-17,562.1167,NA,NA,NA,NA,562116.7,NA,NA,NA,NA
"108",1999-04-18,487.3721,NA,NA,NA,NA,487372.1,NA,NA,NA,NA
"109",1999-04-19,585.904,NA,NA,NA,NA,585904,NA,NA,NA,NA
"110",1999-04-20,610.1847,NA,NA,NA,NA,610184.7,NA,NA,NA,NA
"111",1999-04-21,547.2633,NA,NA,NA,NA,547263.3,NA,NA,NA,NA
"112",1999-04-22,620.4304,NA,NA,NA,NA,620430.4,NA,NA,NA,NA
"113",1999-04-23,620.6787,NA,NA,NA,NA,620678.7,NA,NA,NA,NA
"114",1999-04-24,560.4828,NA,NA,NA,NA,560482.8,NA,NA,NA,NA
"115",1999-04-25,500.7528,NA,NA,NA,NA,500752.8,NA,NA,NA,NA
"116",1999-04-26,601.5007,NA,NA,NA,NA,601500.7,NA,NA,NA,NA
"117",1999-04-27,616.2628,NA,NA,NA,NA,616262.8,NA,NA,NA,NA
"118",1999-04-28,615.2999,NA,NA,NA,NA,615299.9,NA,NA,NA,NA
"119",1999-04-29,621.9569,NA,NA,NA,NA,621956.9,NA,NA,NA,NA
"120",1999-04-30,619.77184,NA,NA,NA,NA,619771.84,NA,NA,NA,NA
"121",1999-05-01,520.3192,NA,1426.7,NA,25710.94629,520319.2,NA,34065,NA,NA
"122",1999-05-02,493.8062,NA,NA,NA,NA,493806.2,NA,NA,NA,NA
"123",1999-05-03,601.196,NA,NA,NA,NA,601196,NA,NA,NA,NA
"124",1999-05-04,620.2475,NA,NA,NA,NA,620247.5,NA,NA,NA,NA
"125",1999-05-05,629.4972,NA,NA,NA,NA,629497.2,NA,NA,NA,NA
"126",1999-05-06,632.6351,NA,NA,NA,NA,632635.1,NA,NA,NA,NA
"127",1999-05-07,624.019,NA,NA,NA,NA,624019,NA,NA,NA,NA
"128",1999-05-08,558.48014,NA,NA,NA,NA,558480.14,NA,NA,NA,NA
"129",1999-05-09,489.0062,NA,NA,NA,NA,489006.2,NA,NA,NA,NA
"130",1999-05-10,593.4962,NA,NA,NA,NA,593496.2,NA,NA,NA,NA
"131",1999-05-11,613.4081,NA,NA,NA,NA,613408.1,NA,NA,NA,NA
"132",1999-05-12,620.4229,NA,NA,NA,NA,620422.9,NA,NA,NA,NA
"133",1999-05-13,616.0507,NA,NA,NA,NA,616050.7,NA,NA,NA,NA
"134",1999-05-14,602.7739,NA,NA,NA,NA,602773.9,NA,NA,NA,NA
"135",1999-05-15,546.145,NA,NA,NA,NA,546145,NA,NA,NA,NA
"136",1999-05-16,484.7991,NA,NA,NA,NA,484799.1,NA,NA,NA,NA
"137",1999-05-17,586.5853,NA,NA,NA,NA,586585.3,NA,NA,NA,NA
"138",1999-05-18,601.0821,NA,NA,NA,NA,601082.1,NA,NA,NA,NA
"139",1999-05-19,607.1701,NA,NA,NA,NA,607170.1,NA,NA,NA,NA
"140",1999-05-20,602.7826,NA,NA,NA,NA,602782.6,NA,NA,NA,NA
"141",1999-05-21,598.9643,NA,NA,NA,NA,598964.3,NA,NA,NA,NA
"142",1999-05-22,547.5963,NA,NA,NA,NA,547596.3,NA,NA,NA,NA
"143",1999-05-23,483.3787,NA,NA,NA,NA,483378.7,NA,NA,NA,NA
"144",1999-05-24,586.4387,NA,NA,NA,NA,586438.7,NA,NA,NA,NA
"145",1999-05-25,607.3013,NA,NA,NA,NA,607301.3,NA,NA,NA,NA
"146",1999-05-26,611.0865,NA,NA,NA,NA,611086.5,NA,NA,NA,NA
"147",1999-05-27,619.7517,NA,NA,NA,NA,619751.7,NA,NA,NA,NA
"148",1999-05-28,628.5032,NA,NA,NA,NA,628503.2,NA,NA,NA,NA
"149",1999-05-29,571.5456,NA,NA,NA,NA,571545.6,NA,NA,NA,NA
"150",1999-05-30,503.613,NA,NA,NA,NA,503613,NA,NA,NA,NA
"151",1999-05-31,586.8477,NA,NA,NA,NA,586847.7,NA,NA,NA,NA
"152",1999-06-01,597.3057,NA,1698.57,NA,26210.22,597305.7,NA,NA,NA,NA
"153",1999-06-02,607.0477,NA,NA,NA,NA,607047.7,NA,NA,NA,NA
"154",1999-06-03,527.1543,NA,NA,NA,NA,527154.3,NA,NA,NA,NA
"155",1999-06-04,583.7995,NA,NA,NA,NA,583799.5,NA,NA,NA,NA
"156",1999-06-05,546.5778,NA,NA,NA,NA,546577.8,NA,NA,NA,NA
"157",1999-06-06,496.0224,NA,NA,NA,NA,496022.4,NA,NA,NA,NA
"158",1999-06-07,591.396,NA,NA,NA,NA,591396,NA,NA,NA,NA
"159",1999-06-08,610.8559,NA,NA,NA,NA,610855.9,NA,NA,NA,NA
"160",1999-06-09,612.6762,NA,NA,NA,NA,612676.2,NA,NA,NA,NA
"161",1999-06-10,616.1844,NA,NA,NA,NA,616184.4,NA,NA,NA,NA
"162",1999-06-11,618.0896,NA,NA,NA,NA,618089.6,NA,NA,NA,NA
"163",1999-06-12,563.9836,NA,NA,NA,NA,563983.6,NA,NA,NA,NA
"164",1999-06-13,494.484,NA,NA,NA,NA,494484,NA,NA,NA,NA
"165",1999-06-14,604.7879,NA,NA,NA,NA,604787.9,NA,NA,NA,NA
"166",1999-06-15,613.6852,NA,NA,NA,NA,613685.2,NA,NA,NA,NA
"167",1999-06-16,616.043,NA,NA,NA,NA,616043,NA,NA,NA,NA
"168",1999-06-17,618.552,NA,NA,NA,NA,618552,NA,NA,NA,NA
"169",1999-06-18,619.8792,NA,NA,NA,NA,619879.2,NA,NA,NA,NA
"170",1999-06-19,567.806,NA,NA,NA,NA,567806,NA,NA,NA,NA
"171",1999-06-20,507.7324,NA,NA,NA,NA,507732.4,NA,NA,NA,NA
