,date,energy_generated,effluent_flow,maximum_demand,total_rain,max_temp,min_temp
0,2007-01-01,1.06777,331.0,29543.36,40.600000000000016,21.6,19.4
1,2007-01-02,1.1674,320.0,34154.77,48.800000000000004,22.3,19.6
2,2007-01-03,1.66798,402.0,34614.46,18.200000000000003,23.2,20.6
3,2007-01-04,2.83025,716.0,35560.36,1.4000000000000001,22.9,20.3
4,2007-01-05,2.8396,717.0,35353.15,29.4,21.9,20.2
5,2007-01-06,2.87771,812.0,34414.32,32.6,21.4,20.9
6,2007-01-07,2.88947,1441.0,32298.97,14.999999999999996,24.1,20.2
7,2007-01-08,2.848,1932.0,36219.94,6.0,24.2,20.2
8,2007-01-09,2.80764,1969.0,36169.6,12.2,24.4,18.6
9,2007-01-10,2.81592,1927.0,36355.43,0.2,23.2,19.7
10,2007-01-11,2.84712,1656.0,36856.55,0.0,22.2,18.2
11,2007-01-12,2.9029,1283.0,37089.88,3.6,24.2,20.5
12,2007-01-13,2.986,1105.0,34364.35,2.0,23.2,20.1
13,2007-01-14,3.023,1015.0,32022.8,33.0,22.8,19.4
14,2007-01-15,3.002,1047.0,36468.74,0.2,20.0,14.3
15,2007-01-16,2.78849,871.0,36048.0,0.0,19.4,12.1
16,2007-01-17,2.65069,678.0,36801.56,0.0,21.7,14.7
17,2007-01-18,2.28202,561.0,36767.33,39.19999999999999,24.7,19.5
18,2007-01-19,2.16609,826.0,37650.0,37.6,25.6,20.0
19,2007-01-20,2.78732,1440.0,35363.56,11.0,23.7,20.0
20,2007-01-21,2.84241,1454.0,32244.3,1.9999999999999998,23.2,19.6
21,2007-01-22,2.86248,1364.0,36381.98,3.4000000000000004,20.7,18.1
22,2007-01-23,2.88777,1003.0,36475.02,0.0,21.0,16.3
23,2007-01-24,2.87855,685.0,37250.92,0.0,22.4,17.0
24,2007-01-25,2.79763,635.0,36624.29,0.0,23.0,18.8
25,2007-01-26,2.83429,640.0,37003.95,0.0,22.5,20.2
26,2007-01-27,2.49532,620.0,35445.87,26.599999999999998,23.9,21.2
27,2007-01-28,2.84508,829.0,33225.42,23.0,23.2,21.1
28,2007-01-29,2.83139,831.0,37546.99,20.999999999999996,24.4,21.1
29,2007-01-30,2.83646,831.0,36765.71,0.2,22.9,19.0
30,2007-01-31,2.92241,854.0,37158.05,0.0,23.3,18.9
31,2007-02-01,2.9485,720.0,37336.25,0.0,22.3,17.2
32,2007-02-02,2.83061,640.0,36764.34,0.0,22.4,19.3
33,2007-02-03,2.13903,487.0,35470.96,44.400000000000006,24.2,18.9
34,2007-02-04,2.22871,509.0,32918.58,0.0,22.0,16.7
35,2007-02-05,2.2694,510.0,37612.77,1.0,22.1,17.3
36,2007-02-06,1.57603,357.0,37790.15,0.8,23.2,18.5
37,2007-02-07,1.46101,332.0,38056.76,0.0,22.7,20.4
38,2007-02-08,2.02142,489.0,37919.21,98.6,23.4,20.3
39,2007-02-09,2.84607,1285.0,37988.91,20.0,22.8,20.7
40,2007-02-10,2.87325,1337.0,36492.6,0.0,22.8,19.0
41,2007-02-11,2.92306,942.0,33253.74,11.400000000000002,23.5,18.9
42,2007-02-12,2.88169,1115.0,36424.46,7.2,20.0,14.9
43,2007-02-13,2.95274,781.0,36802.82,0.0,17.0,13.3
44,2007-02-14,2.89637,662.0,36997.12,0.0,19.0,14.2
45,2007-02-15,2.87244,655.0,37125.03,0.0,21.0,15.5
46,2007-02-16,2.83157,643.0,38027.77,0.0,22.0,16.9
47,2007-02-17,2.82986,647.0,35339.79,0.0,21.2,16.2
48,2007-02-18,1.86698,435.0,32463.28,0.0,23.1,18.2
49,2007-02-19,2.04573,473.0,33797.55,4.6,22.4,18.5
50,2007-02-20,2.07355,479.0,34980.34,7.4,22.6,18.4
51,2007-02-21,2.04091,469.0,37197.35,3.6,22.7,17.7
52,2007-02-22,2.03211,469.0,38361.98,0.0,21.1,15.7
53,2007-02-23,2.03627,471.0,37933.18,0.0,20.7,14.4
54,2007-02-24,2.04047,476.0,36695.9,0.0,19.3,12.8
55,2007-02-25,2.0423,476.0,33935.34,0.0,20.4,14.6
56,2007-02-26,2.04716,476.0,38262.14,0.0,19.9,15.9
57,2007-02-27,2.03377,469.0,39045.8,6.6,21.9,17.5
58,2007-02-28,2.03289,469.0,39166.75,0.2,21.4,18.0
59,2007-03-01,2.02772,468.0,39135.38,4.8,22.5,19.4
60,2007-03-02,1.93912,445.0,39285.39,0.0,21.5,16.4
61,2007-03-03,1.82753,427.0,37543.88,0.0,19.8,14.3
62,2007-03-04,1.55548,365.0,34462.76,0.0,20.2,15.0
63,2007-03-05,1.87981,438.0,39013.56,0.0,20.0,10.9
64,2007-03-06,1.61028,369.0,39025.43,0.0,19.7,11.8
65,2007-03-07,1.54035,357.0,39191.88,1.4,22.7,14.6
66,2007-03-08,1.5968,371.0,39588.54,1.0,20.9,15.9
67,2007-03-09,1.16397,276.0,39387.89,6.2,23.3,16.6
68,2007-03-10,1.08078,255.0,37712.8,0.0,22.2,17.3
69,2007-03-11,0.92625,219.0,34763.96,7.4,22.9,18.3
70,2007-03-12,1.07555,250.0,39367.97,0.0,21.2,15.5
71,2007-03-13,1.09972,259.0,39845.8,0.0,20.3,16.4
72,2007-03-14,1.06306,249.0,39403.37,0.0,20.8,17.0
73,2007-03-15,1.08056,254.0,40052.06,0.0,20.2,17.8
74,2007-03-16,1.09466,258.0,39234.5,0.2,21.1,18.3
75,2007-03-17,1.08455,256.0,37450.55,4.800000000000001,21.7,18.9
76,2007-03-18,1.04625,240.0,34642.34,22.4,21.7,19.0
77,2007-03-19,1.18723,274.0,38791.7,0.6000000000000001,19.0,14.6
78,2007-03-20,2.81613,612.0,39270.55,0.2,17.7,11.2
79,2007-03-21,2.82159,612.0,39428.57,0.0,17.9,12.9
80,2007-03-22,2.82527,613.0,39590.77,2.6,21.8,14.7
81,2007-03-23,2.82908,612.0,39755.27,0.6000000000000001,22.6,18.4
82,2007-03-24,2.19384,479.0,37969.81,0.0,21.6,17.2
83,2007-03-25,2.10635,453.0,34920.07,0.0,20.6,14.4
84,2007-03-26,2.22532,473.0,39574.7,0.0,21.0,15.9
85,2007-03-27,1.79729,391.0,40457.9,0.0,21.1,16.0
86,2007-03-28,1.6519,356.0,40422.8,0.0,20.6,14.7
87,2007-03-29,1.65334,361.0,40189.33,0.0,20.6,15.1
88,2007-03-30,1.47271,322.0,39969.44,0.0,20.0,14.2
89,2007-03-31,1.16563,255.0,38394.43,0.0,20.6,13.5
90,2007-04-01,1.34473,294.0,35685.12,0.0,20.6,15.0
91,2007-04-02,1.35415,296.0,40131.1,0.0,20.1,14.6
92,2007-04-03,1.1165,248.0,39437.57,0.0,21.5,14.9
93,2007-04-04,1.13026,251.0,40068.07,16.799999999999997,21.1,15.5
94,2007-04-05,1.16562,259.0,38650.43,0.2,21.3,18.5
95,2007-04-06,1.10707,241.0,33805.69,0.0,19.1,15.0
96,2007-04-07,1.16964,257.0,35718.64,0.0,20.9,15.7
97,2007-04-08,1.1541,251.0,33511.26,34.8,21.6,19.4
98,2007-04-09,1.11609,245.0,38263.64,0.2,21.6,14.1
99,2007-04-10,1.11443,244.0,39500.57,0.0,19.3,14.8
100,2007-04-11,1.10494,247.0,39780.7,0.0,19.0,13.7
101,2007-04-12,1.08498,239.0,40000.61,0.0,20.7,15.4
102,2007-04-13,0.48297,121.0,39497.68,0.6000000000000001,21.1,18.1
103,2007-04-14,0.65199,155.0,38081.18,0.0,19.1,15.4
104,2007-04-15,0.58445,133.0,35421.43,0.0,21.3,16.0
105,2007-04-16,1.31023,283.0,39543.4,0.0,19.8,14.6
106,2007-04-17,1.11889,241.0,39482.08,0.0,18.5,14.4
107,2007-04-18,1.08412,237.0,39960.27,0.0,19.0,15.5
108,2007-04-19,1.12378,244.0,40064.26,0.0,18.9,15.9
109,2007-04-20,1.10405,243.0,39388.43,7.4,21.0,16.7
110,2007-04-21,1.1364,246.0,36806.11,0.2,19.9,17.0
111,2007-04-22,1.11687,241.0,34830.78,0.0,21.6,16.9
112,2007-04-23,1.03476,245.0,39510.71,0.0,21.6,17.2
113,2007-04-24,0.97386,274.0,40795.0,0.0,20.0,16.5
114,2007-04-25,1.36096,289.0,40995.9,0.2,20.9,18.0
115,2007-04-26,1.07118,237.0,40324.4,4.2,22.0,19.3
116,2007-04-27,1.09261,237.0,37975.41,7.4,20.8,14.2
117,2007-04-28,1.11283,243.0,36780.62,0.0,15.1,11.2
118,2007-04-29,1.11703,241.0,34167.53,0.0,17.1,12.7
119,2007-04-30,1.0972,238.0,37112.56,0.2,18.2,15.2
120,2007-05-01,1.10443,238.0,35011.09,0.2,17.4,11.8
121,2007-05-02,1.08306,231.0,38513.22,0.0,15.7,8.1
122,2007-05-03,1.103,237.0,39053.89,0.0,17.1,9.4
123,2007-05-04,1.08909,240.0,38403.67,0.0,17.7,15.3
124,2007-05-05,1.034,226.0,36700.27,0.0,16.7,12.5
125,2007-05-06,1.10118,237.0,35142.54,0.0,15.3,11.3
126,2007-05-07,1.1228,240.0,38868.5,0.0,16.7,11.1
127,2007-05-08,1.25099,270.0,39533.9,0.0,16.8,11.1
128,2007-05-09,1.10987,236.0,36817.52,4.200000000000001,19.3,7.2
129,2007-05-10,1.08601,235.0,37052.12,0.2,11.1,3.6
130,2007-05-11,1.05554,227.0,38678.11,0.0,15.0,9.6
131,2007-05-12,1.1163,241.0,37351.4,0.0,17.1,12.4
132,2007-05-13,1.12249,237.0,33907.83,0.0,16.9,14.6
133,2007-05-14,1.21614,261.0,38992.18,2.4,21.6,14.6
134,2007-05-15,1.12398,213.0,39556.26,0.0,17.4,13.6
135,2007-05-16,1.12442,245.0,39977.6,0.0,15.8,12.1
136,2007-05-17,1.15871,252.0,40538.5,0.0,16.6,12.8
137,2007-05-18,1.28444,258.0,39557.41,0.0,17.2,12.4
138,2007-05-19,1.1687,254.0,37538.85,0.0,16.6,14.5
139,2007-05-20,1.2356,265.0,34744.34,0.0,17.9,13.5
140,2007-05-21,1.17335,249.0,39327.45,0.0,17.4,11.8
141,2007-05-22,1.23003,268.0,39320.4,12.400000000000002,18.6,14.2
142,2007-05-23,1.16559,255.0,38833.41,24.2,17.3,14.8
143,2007-05-24,1.18706,256.0,38031.59,0.2,14.9,2.1
144,2007-05-25,1.14105,245.0,37885.41,0.0,10.3,4.5
145,2007-05-26,1.12531,245.0,37019.07,0.0,11.7,6.6
146,2007-05-27,1.1372,245.0,33546.96,5.800000000000001,14.3,8.1
147,2007-05-28,1.20038,258.0,38136.37,0.4,15.9,13.1
148,2007-05-29,1.15751,247.0,38363.14,1.2000000000000002,16.8,8.2
149,2007-05-30,1.16498,241.0,37845.82,0.0,9.2,5.9
150,2007-05-31,1.66558,361.0,38430.52,0.0,13.3,5.8
151,2007-06-01,1.41204,304.0,38429.45,0.0,16.4,9.8
152,2007-06-02,1.5144,326.0,36487.34,3.1999999999999997,18.0,16.0
153,2007-06-03,1.52378,326.0,34139.03,0.8,16.2,7.2
154,2007-06-04,1.54277,332.0,37467.7,0.0,7.7,2.5
155,2007-06-05,1.68504,361.0,38515.18,0.0,9.5,2.7
156,2007-06-06,1.7005,367.0,38263.06,0.0,10.1,2.5
