Date,Maximum_Demand
Mar-99,33496
May-99,34065
Jul-99,34360
Aug-99,34281
Oct-99,34075
Dec-99,32165
Mar-00,34348
May-00,35602
Jul-00,35503
Aug-00,35689.9
Oct-00,35083.2
Dec-00,34038
Mar-01,35463.9
May-01,35655.4
Jul-01,26675.9
Aug-01,26438.5
Oct-01,26534
Dec-01,26826.7
Mar-02,31232.26001
May-02,32384.03001
Jul-02,31995.92999
Aug-02,32587.30001
Oct-02,33228.87
Dec-02,32372.04999
Mar-03,33908.86
May-03,34955.14999
Jul-03,34475.55999
Aug-03,34463.44
Oct-03,34702.89003
Dec-03,33973.09
Mar-04,35570.49
May-04,36575.53998
Jul-04,36533.56997
Aug-04,37321.29999
Oct-04,36960.17
Dec-04,35447.64001
Mar-05,37782.40002
May-05,38381.09998
Jul-05,36746.70999
Aug-05,38287.4
Oct-05,38002
Dec-05,36544
Mar-06,38882
May-06,38960.5
Jul-06,39067.14
Aug-06,39339.61
Oct-06,39037.43
Dec-06,37297.61
Mar-07,40457.9
May-07,40538.5
Jul-07,39578.34
Aug-07,39594.52
Oct-07,40515.3
Dec-07,39626.06
Mar-08,40154.38
May-08,40923.64
Jul-08,41136.99
Aug-08,41310.42
Oct-08,41165.16
Dec-08,37503.77
Mar-09,40163.1
May-09,39709.42
Jul-09,39674.04
Aug-09,40490.8
Oct-09,40373.36
Dec-09,41590.33
Mar-10,43310.12
May-10,42098.53
Jul-10,41612.48
Aug-10,42399.21
Oct-10,41526.9
Dec-10,43162.28
Mar-11,43597.72
May-11,42551.35
Jul-11,42664.2
Aug-11,43855.12
Oct-11,43526.17
Dec-11,43777.77
Mar-12,47177.24
May-12,43816.25
Jul-12,43424.04
Aug-12,43454.61
Oct-12,47423.74
Dec-12,47138.3
Mar-13,48099.36
May-13,44713.99
Jul-13,43720.49
Aug-13,44950.94
Oct-13,46784.18
Dec-13,48941.29
Mar-14,49555.78
May-14,45574.84
Jul-14,45118.746
Aug-14,45101.4
Oct-14,49026.238
Dec-14,45728.973
Mar-15,48338.141
May-15,43577.738
Jul-15,42484.074
Aug-15,43355.602
Oct-15,48330.113
Dec-15,46886.242
Mar-16,47868.102
May-16,43345.86
Jul-16,42713.75
Aug-16,43329.45
Oct-16,47858.93
Dec-16,44595.41
Mar-17,49893.582
May-17,42970.52
Jul-17,42305.31
Aug-17,42972.203
Oct-17,47528.09
Dec-17,46501.223
Mar-18,50026.875
May-18,43903.781
Jul-18,43353.723
Aug-18,43431.52
Oct-18,47135.57
Dec-18,50595.57
Mar-19,49703.19
May-19,44807.582
Jul-19,43536.969
Aug-19,42831.914
Oct-19,48269.223
Dec-19,47810.23
Mar-20,48960.641
May-20,41355.891
Jul-20,43901.758
Aug-20,45730.16
Oct-20,51557.928
Dec-20,49203.254
Mar-21,49655.855
May-21,48496.024
