Data Escala de Tempo 1 GE Simp 4,cod_aneel (tb_referenciacegusina (Usina)),cod_nucleoaneel (tb_referenciacegusina (Usina)),Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina2,Período Exibido GE,Selecione Tipo de GE Simp 4
1/1/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,1/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7324
1/2/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,2/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7371
1/3/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,3/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.5538
1/4/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,4/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.653
1/5/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,5/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.5833
1/6/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,6/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.702
1/7/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,7/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.549
1/8/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,8/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.58
1/9/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,9/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.5401
1/10/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,10/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.5284
1/11/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,11/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.4686
1/12/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,12/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.4749
1/13/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,13/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.4646
1/14/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,14/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.4615
1/15/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,15/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.4977
1/16/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,16/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.5507
1/17/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,17/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.4703
1/18/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,18/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.4783
1/19/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,19/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.4793
1/20/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,20/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.5695
1/21/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,21/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.6978
1/22/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,22/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7432
1/23/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,23/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7445
1/24/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,24/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.5655
1/25/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,25/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7227
1/26/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,26/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.5919
1/27/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,27/1/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,0
