date,date,year,month,Total_accumulate
2000-06-01,2000-06-01,2000,6,438.51
2000-07-01,2000-07-01,2000,7,1226.07
2000-08-01,2000-08-01,2000,8,1879.6000000000001
2000-09-01,2000-09-01,2000,9,4350.47
2000-10-01,2000-10-01,2000,10,2472.9100000000003
2000-11-01,2000-11-01,2000,11,7980.42
2000-12-01,2000-12-01,2000,12,8890.34
2001-01-01,2001-01-01,2001,1,6131.929999999999
2001-02-01,2001-02-01,2001,2,5509.67
2001-03-01,2001-03-01,2001,3,6678.379999999999
2001-04-01,2001-04-01,2001,4,2011.0500000000002
2001-05-01,2001-05-01,2001,5,2974.83
2001-06-01,2001-06-01,2001,6,861.2099999999999
2001-07-01,2001-07-01,2001,7,754.48
2001-08-01,2001-08-01,2001,8,1499.7400000000002
2001-09-01,2001-09-01,2001,9,2531.0299999999997
2001-10-01,2001-10-01,2001,10,4666.700000000001
2001-11-01,2001-11-01,2001,11,7498.329999999999
2001-12-01,2001-12-01,2001,12,9371.1
2002-01-01,2002-01-01,2002,1,9134.820000000002
2002-02-01,2002-02-01,2002,2,8948.01
2002-03-01,2002-03-01,2002,3,4904.169999999999
2002-04-01,2002-04-01,2002,4,1506.68
2002-05-01,2002-05-01,2002,5,2697.850000000001
2002-06-01,2002-06-01,2002,6,261.69
2002-07-01,2002-07-01,2002,7,930.15
2002-08-01,2002-08-01,2002,8,1180.39
2002-09-01,2002-09-01,2002,9,3267.5299999999997
2002-10-01,2002-10-01,2002,10,2453.3700000000003
2002-11-01,2002-11-01,2002,11,6701.91
2002-12-01,2002-12-01,2002,12,8066.1
2003-01-01,2003-01-01,2003,1,13176.28
2003-02-01,2003-02-01,2003,2,5077.25
2003-03-01,2003-03-01,2003,3,6744.42
2003-04-01,2003-04-01,2003,4,3296.1400000000003
2003-05-01,2003-05-01,2003,5,1432.1
2003-06-01,2003-06-01,2003,6,694.4300000000002
2003-07-01,2003-07-01,2003,7,673.6399999999999
2003-08-01,2003-08-01,2003,8,1069.82
2003-09-01,2003-09-01,2003,9,1539.7200000000005
